FilingID,Initial SEC Registration Request,Annual Updating Amendment for Registered Adviser,Other-Than Anual Amendment For Registered Adviser,Initial State Registration Request,Initial SEC ERA Report,Annual Updating Amendment ERA Report,Other-Than Annual Amendment ERA Report,Initial State ERA Report,Final State ERA Report, Final SEC ERA Report,Annual Updating Amendment Fiscal Year
1935230,"","","","","","Y","","","","",2025
1937210,"Y","","","","","","","","","",
1941413,"Y","","","","","","","","","",
1952269,"Y","","","","","","","","","",
1953602,"Y","","","","","","","","","",
1955715,"","","","","","Y","","","","",2024
1959465,"","","Y","","","","","","","",
1960359,"Y","","","","","","","","","",
1961147,"","","Y","","","","","","","",
1962656,"","Y","","","","","","","","",2025
1963424,"","","","","","Y","","","","",2025
1964940,"","","Y","","","","","","","",
1965270,"","","","","","Y","","Y","","",2025
1966424,"","","","Y","","","","","","",
1966964,"Y","","","","","","","","","Y",
1966971,"Y","","","","","","","","","",
1968154,"","Y","","","","","","","","",2025
1968226,"","Y","","","","","","","","",2025
1969897,"","Y","","","","","","","","",2024
1971533,"Y","","","","","","","","","",
1972417,"","","Y","","","","","","","",
1973439,"","Y","","","","","","","","",2025
1973839,"","","Y","","","","","","","",
1974493,"","","","","","Y","","","","",2024
1974935,"","","","","","Y","","","","",2025
1975025,"","","Y","","","","","","","",
1975062,"Y","","","","","","","","","Y",
1975319,"","Y","","","","","","","","",2025
1975388,"","","","","Y","","","","","",
1975529,"Y","","","","","","","","","",
1975919,"","","Y","","","","","","","",
1976738,"","","Y","","","","","","","",
1977184,"","","Y","","","","","","","",
1977404,"Y","","","","","","","","","Y",
1977416,"Y","","","","","","","","","Y",
1977466,"Y","","","","","","","","","",
1977622,"Y","","","","","","","","","Y",
1977946,"","","Y","","","","","","","",
1978161,"Y","","","","","","","","","Y",
1978245,"Y","","","","","","","","","",
1978393,"","","Y","","","","","","","",
1978426,"","","Y","","","","","","","",
1978446,"Y","","","","","","","","","",
1979190,"","","","","Y","","","Y","","",
1979368,"Y","","","","","","","","","Y",
1979447,"","","Y","","","","","","","",
1979584,"","","","","","Y","","","","",2025
1979592,"","Y","","","","","","","","",2025
1979704,"","","Y","","","","","","","",
1979812,"Y","","","","","","","","","",
1979938,"","Y","","","","","","","","",2025
1979959,"","Y","","","","","","","","",2025
1980020,"","","Y","","","","","","","",
1980142,"","","Y","","","","","","","",
1980403,"Y","","","","","","","","","",
1980557,"","","Y","","","","","","","",
1980701,"","Y","","","","","","","","",2025
1980827,"Y","","","","","","","","","",
1980828,"Y","","","","","","","","","",
1980978,"Y","","","","","","","","","",
1981106,"","","Y","","","","","","","",
1981132,"","","Y","","","","","","","",
1981186,"","Y","","","","","","","","",2025
1981296,"","","Y","","","","","","","",
1981298,"","","","","Y","","","","","",
1981322,"","Y","","","","","","","","",2025
1981380,"","","Y","","","","","","","",
1981468,"","","","","Y","","","","","",
1981499,"Y","","","","","","","","","",
1981657,"","Y","","","","","","","","",2025
1981727,"","","Y","","","","","","","",
1981910,"","","Y","","","","","","","",
1981966,"Y","","","","","","","","Y","Y",
1981979,"Y","","","","","","","","","",
1982082,"","","","","","Y","","","","",2025
1982178,"","","","","","Y","","","","",2025
1982378,"Y","","","","","","","","","Y",
1982406,"Y","","","","","","","","","Y",
1982432,"","","Y","","","","","","","",
1982486,"","","Y","","","","","","","",
1982565,"","","Y","","","","","","","",
1982745,"Y","","","","","","","","","",
1982757,"","Y","","","","","","","","",2025
1982790,"","","Y","","","","","","","",
1982834,"","","","","Y","","","","","",
1982843,"","","","","Y","","","","","",
1982874,"Y","","","","","","","","Y","Y",
1982901,"Y","","","","","","","","","",
1982999,"Y","","","","","","","","","",
1983004,"","","Y","","","","","","","",
1983033,"","","Y","","","","","","","",
1983084,"","","","","Y","","","","","",
1983103,"","Y","","","","","","","","",2025
1983309,"","","Y","","","","","","","",
1983424,"Y","","","","","","","","","",
1983567,"","","","","","","Y","","","",
1983591,"","","","","Y","","","","","",
1983601,"","","","","","","Y","","","",
1983605,"","","","","","","Y","","","",
1983612,"","","","","","","Y","","","",
1983684,"","Y","","","","","","","","",2025
1983709,"","","","","","Y","","","","",2025
1983827,"","Y","","","","","","","","",2025
1983958,"","","Y","","","","","","","",
1983998,"Y","","","","","","","","Y","Y",
1984098,"","","Y","","","","","","","",
1984213,"","","Y","","","","","","","",
1984282,"Y","","","","","","","","","",
1984358,"","","Y","","","","","","","",
1984434,"","","","","","Y","","","","",2025
1984435,"","","","","","Y","","","","",2025
1984455,"Y","","","","","","","","","",
1984509,"","Y","","","","","","","","",2025
1984698,"","Y","","","","","","","","",2025
1984706,"","","","","","Y","","","","",2025
1984711,"","","","","","Y","","","","",2025
1984886,"","","Y","","","","","","","",
1985053,"","","","","","","Y","","","",
1985147,"","","Y","","","","","","","",
1985171,"","","","","Y","","","","","",
1985312,"","","","","Y","","","","","",
1985361,"","","","","","Y","","","","",2025
1985379,"","","","","","Y","","","","",2025
1985415,"","","Y","","","","","","","",
1985428,"","","Y","","","","","","","",
1985549,"","","Y","","","","","","","",
1985865,"","","","","","Y","","","","",2024
1986010,"Y","","","","","","","","","Y",
1986058,"","","Y","","","","","","","",
1986161,"","","Y","","","","","","","",
1986325,"Y","","","","","","","","","",
1986529,"","","","","","Y","","","","",2025
1986540,"","","Y","","","","","","","",
1986543,"","Y","","","","","","","","",2025
1986626,"Y","","","","","","","","","",
1986771,"","","Y","","","","","","","",
1986781,"","","Y","","","","","","","",
1986937,"","","","","","Y","","","","",2025
1987031,"","","","","","Y","","","","",2025
1987066,"Y","","","","","","","","","",
1987113,"Y","","","","","","","","","Y",
1987125,"","","Y","","","","","","","",
1987161,"","","","","","Y","","","","",2025
1987189,"","","Y","","","","","","","",
1987270,"","","","","","Y","","","","",2025
1987279,"","","Y","","","","","","","",
1987286,"","","Y","","","","","","","",
1987299,"","","","","","Y","","","","",2025
1987315,"","","","","Y","","","","","",
1987347,"Y","","","","","","","","","",
1987353,"","","","","","Y","","","","",2024
1987356,"","","Y","","","","","","","",
1987361,"","","Y","","","","","","","",
1987444,"Y","","","","","","","","","",
1987484,"","","","","Y","","","","","",
1987486,"","","Y","","","","","","","",
1987535,"Y","","","","","","","","","",
1987579,"","","Y","","","","","","","",
1987586,"","","Y","","","","","","","",
1987614,"","","","","","Y","","","","",2025
1987638,"Y","","","","","","","","","Y",
1987641,"Y","","","","","","","","","Y",
1987737,"","","","","Y","","","","","",
1987799,"","Y","","","","","","","","",2025
1987814,"","","Y","","","","","","","",
1987826,"","","Y","","","","","","","",
1987835,"","","Y","","","","","","","",
1987900,"","","Y","","","","","","","",
1987921,"","","","","","Y","","","","",2025
1987924,"","","Y","","","","","","","",
1987930,"","Y","","","","","","","","",2024
1987936,"","","","","Y","","","","","",
1987940,"","","","","","Y","","","","",2025
1987941,"","","","","","Y","","","","",2025
1987946,"","","","","Y","","","","","",
1987984,"","","Y","","","","","","","",
1988012,"Y","","","","","","","","","",
1988026,"","","","","","Y","","","","",2025
1988032,"","Y","","","","","","","","",2025
1988082,"Y","","","","","","","","","",
