"FilingID","CIK"
1931644,1728370
1934051,1759705
1939305,1715579
1945027,868598
1942908,80277265
1909013,1767393
1943488,1536061
1929803,2013334
1946417,1978599
1935530,1694081
1936545,1816749
1939565,1050459
1935474,1719174
1939653,1525092
1941774,1902740
1944286,1864794
1936518,1816678
1936530,2054478
1925055,1838289
1935779,802107147
1941296,1758049
1930385,1787206
1935538,2006122
1939845,1652062
1929491,1661817
1947055,1581079
1933352,2030580
1935083,2052529
1936213,1620943
1936535,1816312
1939557,1388401
1927698,1402418
1938699,1896108
1937291,80274798
1945023,5898574
1945023,593985
1944283,1901613
1931868,1716737
1931868,1855671
1931868,1893142
1931868,1755553
1945892,1822044
1934669,1519428
1934669,1530611
1934669,1519381
1934669,1553614
1936844,1733685
1936599,2036659
1934353,1969770
1938182,1872890
1942857,1956014
1942857,1793263
1942857,1747853
1938984,314796
1938524,3423112
1938524,431353
1938524,564656
1933198,3421026378
1935937,1803120
1941508,2044796
1941936,1759792
1933788,1377817
1938188,1136704
1936282,1990849
1938697,1822044
1941045,1747744
1944661,1828654
1947817,1608618
1946103,1767619
1943679,1483727
1947719,1694780
1923136,2036764
1935911,2054353
1938765,1777874
1934644,1007399
1938068,1771621
1933223,1342939
1942987,2044796
1934959,1635118
1918226,1911807
1924642,1852062
