FilingID,FormVersion,DateSubmitted,1A,1B1,1C-Legal,1C-Business,1C-New Name,1D,1E1,1F1-Street 1,1F1-Street 2,1F1-City,1F1-State,1F1-Country,1F1-Postal,1F1-Private,1F2-M-F,1F2-Other,1F2-Hours,1F3,1F4,1F5,1G-Street 1,1G-Street 2,1G-City,1G-State,1G-Country,1G-Postal,1G-Private,1I,1L,1M,1N,1O,1OAmount,1P,2B1,2B2,2B3,2B-Assets,3A,3A-Other,3B,3C-State,3C-Country,6A1,6A2,6A3,6A4,6A5,6A6,6A7,6A8,6A9,6A10,6A11,6A12,6A13,6A14,6A14-Other,6B1,6B2,6B3,7A1,7A2,7A3,7A4,7A5,7A6,7A7,7A8,7A9,7A10,7A11,7A12,7A13,7A14,7A15,7A16,7B,10A,11,11A1,11A2,11B1,11B2,11C1,11C2,11C3,11C4,11C5,11D1,11D2,11D3,11D4,11D5,11E1,11E2,11E3,11E4,11F,11G,11H1a,11H1b,11H1c,11H2,Execution Type,Signatory,Execution Date,Title
2004778,Oct-21,7/21/2025,"RED SWAN VENTURES MANAGEMENT, LLC","RED SWAN VENTURES MANAGEMENT, LLC",N,N,,802-123699,319063,,,,,,,Y,Monday - Friday,,9AM - 6PM,213-321-5364,,0,,,,,,,,Y,N,N,N,N,,,Y,Y,N,28201535,Limited Liability Company,,DECEMBER,Delaware,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,,N,,N,N,N,N,N,N,N,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Domestic,PHILIP CASS,7/21/2025,MANAGING PARTNER
2003730,Oct-21,7/28/2025,HONGSHAN CAPITAL ADVISORS LIMITED,HONGSHAN CAPITAL ADVISORS LIMITED,N,N,,802-75998,161562,"3613, 36/F, TWO PACIFIC PLACE","88 QUEENSWAY, HONG KONG",HONG KONG,,Hong Kong,,N,Monday - Friday,,9AM-6PM,852-250-18971,852-250-15249,6,,,,,,,,Y,,Y,N,N,,,N,Y,N,0,Corporation,,DECEMBER,,Cayman Islands,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,,Y,,N,N,N,N,N,N,N,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Non-Resident,EVA SIU WAI IP,7/28/2025,CFO
1981548,Oct-21,7/2/2025,"BONSIDE ADVISOR, LLC","BONSIDE ADVISOR, LLC",N,N,,802-134086,322359,159 W 25TH ST.,SUITE 513,NEW YORK,NY,United States,10011,N,Monday - Friday,,9:00 AM TO 5:00 PM,2698060201,,0,,,,,,,,Y,Y,N,N,N,,,N,Y,N,25145725,Limited Liability Company,,DECEMBER,Delaware,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,,N,,N,N,N,N,N,N,N,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Domestic,NEHA GOVINDRAJ,6/30/2025,CHIEF EXECUTIVE OFFICER
1999165,Oct-21,7/2/2025,GOFF FOCUSED STRATEGIES LLC,GOFF FOCUSED STRATEGIES LLC,N,N,,802-111801,284910,3230 CAMP BOWIE BLVD,SUITE 800,FORT WORTH,TX,United States,76107,N,Monday - Friday,,8:30AM- 5:30PM,817-509-3964,817-882-8900,0,,,,,,,,N,N,N,N,N,,,N,Y,N,65491168,Limited Liability Company,,DECEMBER,Texas,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,,Y,,N,N,N,N,N,N,Y,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Domestic,/S/ JENNIFER TERRELL,7/2/2025,CHIEF FINANCIAL OFFICER/ CHIEF COMPLIANCE OFFICER
2004033,Oct-21,7/16/2025,SISU CAPITAL LIMITED,SISU CAPITAL LIMITED,N,N,,802-75618,160958,96 KENSINGTON HIGH STREET,,LONDON,,United Kingdom,W8 4SG,N,Monday - Friday,,0800 TO 1800 GMT,44 207 290 5450,,0,,,,,,,,N,Y,N,N,N,,549300WC23DQWUWXH219,,,,,Corporation,,MARCH,,United Kingdom,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,,N,,N,N,N,N,N,N,N,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Non-Resident,PJ SYMONS,7/16/2025,ACCOUNTANT
2003449,Oct-21,7/16/2025,PRUDENTIAL CAPITAL GROUP INC.,PRUDENTIAL CAPITAL GROUP INC.,N,N,,802-134173,337894,100 WALL ST,,NEW YORK,NY,United States,10005,N,Monday - Friday,,9AM-5PM,1-416-800-1625,,0,,,,,,,,N,N,N,N,N,,,N,Y,N,25000000,Limited Liability Company,,DECEMBER,Colorado,United States,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,Y,,Y,,N,N,N,N,N,N,N,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Domestic,DOV SCHERTZER,7/14/2025,DIRECTOR
1985702,Oct-21,7/2/2025,"PILATUS CAPITAL, LLC","PILATUS CAPITAL, LLC",N,N,,,322873,2200 POWELL ST,SUITE 1200,EMERYVILLE,CA,United States,94608,N,Monday - Friday,,9:00 AM - 6:00 PM,415-701-4903,,0,,,,,,,,Y,Y,N,N,N,,,Y,Y,N,6143159,Limited Liability Company,,DECEMBER,Delaware,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,,N,,N,N,N,N,N,N,N,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Domestic,ADAM KROTMAN,7/2/2025,GENERAL COUNSEL
1996769,Oct-21,7/2/2025,AFI CAPITAL PARTNERS LLC,AFI CAPITAL PARTNERS LLC,N,N,,802-121107,299317,1101 W 34TH ST.,#347,AUSTIN,TX,United States,78705,N,Monday - Friday,,8:00AM - 6:00PM,818-817-6540,,1,,,,,,,,Y,Y,N,N,N,,,Y,N,N,,Limited Liability Company,,DECEMBER,Delaware,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,,N,,N,N,N,N,N,N,N,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Domestic,CHI-CHIEN HOU,7/2/2025,MANAGING MEMBER
2003307,Oct-21,7/13/2025,NORDSTERN KAPITALMANAGEMENT GMBH LTD,NORDSTERN KAPITALMANAGEMENT GMBH LTD,N,N,,802-134161,337924,1312 17TH STREET,SUITE 692,DENVER,CO,United States,80202,N,Monday - Friday,,9:00-17:00,+1 752 583 9984,,0,,,,,,,,N,N,N,N,N,,,N,Y,N,1000000,Corporation,,NOVEMBER,Colorado,United States,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,,Y,,N,N,N,N,N,N,N,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Domestic,JACKSON REDMOND,7/11/2025,CEO
1996531,Oct-21,7/13/2025,"STEALTHPOINT, LLC","STEALTHPOINT, LLC",N,N,,802-127149,324180,,,,,,,Y,Monday - Friday,,8:00 AM - 5:00 PM,(650) 322-2500,,0,,,,,,,,Y,N,N,N,N,,,Y,N,N,,Limited Liability Company,,DECEMBER,Delaware,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,,N,,N,N,N,N,N,N,N,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Domestic,MICHAEL SHEPHERD,6/6/2025,CHIEF COMPLIANCE OFFICER
