"FilingID","Initial/Amended","11.C(1)","11.C(2)","11.C(3)","11.C(4)","11.C(5)","11.D(1)","11.D(2)","11.D(3)","11.D(4)","11.D(5)","11.E(1)","11.E(2)","11.E(3)","11.E(4)","11.F.","11.G.","Filed Against","ReferenceID","Remove-Affiliate","Remove-Expired","Remove-Filed in Error","Error Explantion","Affiliate Submitted","Initiator Type","Initiated By","Principal Sanction","Other Sanctions","Date Initiated","Date Initiated Exact","Date Initiated Explanation","Case Number","Employing Firm","Principal Product","Other Product","Allegations","Status","Appeal Details","Resolution","Resolution Date","Resolution Date Exact","Resolution Date Explanation","Monetary Sanction","Monetary Amount","Revocation/Expulsion/Denial","Censure","Bar","Disgorgement/Restitution","Cease and Desist/Injunction","Suspension","Other Sanctions Ordered","Sanction Detail","Summary"
1913250,"AMENDED","","","","","","","","","","","","Y","","","","","Affiliates","1678387","","","","","Y","","","","","","","","","","","","","","","","","","","N","","N","N","N","N","N","N","","",""
1913250,"AMENDED","","","","","","","","","","","","Y","","","","","Affiliates","1678388","","","","","Y","","","","","","","","","","","","","","","","","","","N","","N","N","N","N","N","N","","",""
1913250,"AMENDED","","","","","","","Y","","","","","Y","","","","","Affiliates","1678389","","","","","Y","","","","","","","","","","","","","","","","","","","N","","N","N","N","N","N","N","","",""
1925410,"AMENDED","","","","","","","","","","","","","","","","Y","Affiliates","1686176","Y","","","","Y","","","","","","","","","","","","","","","","","","","N","","N","N","N","N","N","N","","",""
1925410,"AMENDED","","","","","","","Y","","","","","","","","","","Affiliates","1686178","Y","","","","Y","","","","","","","","","","","","","","","","","","","N","","N","N","N","N","N","N","","",""
1925410,"AMENDED","","","","","","","Y","","Y","","","","","","","","Affiliates","1686177","Y","","","","Y","","","","","","","","","","","","","","","","","","","N","","N","N","N","N","N","N","","",""
1929623,"AMENDED","","","","","","","","","","","","Y","","Y","","","Affiliates","1688437","","","","","N","SRO","NATIONAL ASSOCIATION OF SECURITIES DEALERS, INC. (K.N.A. FINRA)","Bar","BARRED FROM ASSOCIATION WITH ANY NASD MEMBER IN ANY CAPACITY AND FINED $50,000 FOR FALSIFYING RECORDS CONCERNING A CUSTOMER'S ACCOUNT AND FOR PROVIDING FALSE INFORMATION TO THE NASD. ALSO SUSPENDED FROM ASSOCIATION WITH ANY NASD MEMBER IN ANY CAPACITY FOR SIX MONTHS, FINED $30,000 FOR PRE-SELLING THE AFTERMARKET OF AN IPO STOCK, AND ORDERED TO PAY $8,647.95 PLUS INTEREST IN RESTITUTION TO A CUSTOMER FOR FAILING TO EXECUTE A LIMIT ORDER.","03/20/2000","Y","","NASD CASE #C9B000007","","Equity - OTC","","RESPONDENTS FRANK CARDIA & ROBERT LOUIS CAUSED THEIR MEMBER FIRM TO FAIL TO MAINTAIN ACCURATE BOOKS & RECORDS, LOUIS PERMITTED CARDIA TO USE HIS ACCOUNT EXECUTIVE NUMBER TO ENTER TRANSACTIONS IN A CUSTOMER'S ACCOUNT WHEN THE TRANSACTIONS WERE SOLICITED BY AND EXECUTED AT THE DIRECTION OF CARDIA IN SOLICITING THE PURCHASE OF SHARES OF AN IPO, CARDIA RECKLESSLY INFORMED THE CUSTOMER HE WOULD HAVE TO COMMIT TO BUYING SHARES IN THE AFTERMARKET. CARDIA FAILED TO EXECUTE A CUSTOMER'S SELL LIMIT ORDER. CARDIA FAILED TO RESPOND TRUTHFULLY TO AN NASD REQUEST FOR INFORMATION. CARDIA AND LOUIS PROVIDED FALSE AND OR MISLEADING TESTIMONY DURING THE NASD INTERVIEW.","Final","","Decision","02/15/2001","Y","","Y","50000","N","N","Y","Y","N","Y","FINED AN ADDITIONAL $30,000 AND ORDERED TO PAY $8,647.95 IN RESTITUTION AND INTEREST.","SUSPENDED FROM ASSOCIATION WITH ANY NASD MEMBER IN ANY CAPACITY FOR SIX MONTHS.","IN 1998 OR 1999, WHEN I WAS IN MY MID-TWENTIES, ANOTHER BROKER ASKED ME TO COVER AN ACCOUNT THAT RESIDED IN NEW MEXICO. HE WAS REGISTERED IN NEW MEXICO, BUT I WAS NOT. SO, I ASKED MY FIRM TO REGISTER ME, AND MY FIRM'S COMPLIANCE OFFICER AT ONE POINT TOLD ME THAT MY APPLICATION TO NEW MEXICO HAD BEEN ACCEPTED. I THEN COMMUNICATED WITH THE CUSTOMER THINKING I WAS REGISTERED IN NEW MEXICO, BUT IT TURNED OUT THAT MY REGISTRATION DID NOT BECOME EFFECTIVE UNTIL LATER.  I WAS FULLY REGISTERED IN NEW MEXICO BEFORE I EXECUTED MY FIRST TRADE WITH THE CUSTOMER, SO THE DISCLOSURE ABOVE, THAT I USED ANOTHER BROKER'S REGISTRATION NUMBER IN EXECUTING A TRADE, IS INCORRECT. NEVERTHELESS, THE NASD FOUND THAT MY COMMUNICATION WITH THE CUSTOMER BEFORE MY OWN REGISTRATION WAS EFFECTIVE WAS A VIOLATION AND THAT MY INSISTENCE THAT I WAS REGISTERED AMOUNTED TO LYING TO THE NASD ABOUT IT.  THE NASD OFFERED TO SETTLE FOR A MILD 30-DAY SUSPENSION AND A $10,000 FINE, SHOWING THAT THIS WAS NOT CONSIDERED A SERIOUS VIOLATION AT THE TIME.  WE REJECTED THE SETTLEMENT ONLY BECAUSE MY ATTORNEY ADVISED ME THAT THE NASD HAD A WEAK CASE AND THAT I SHOULD FIGHT IT.  UNFORTUNATELY, I LOST, AND THEN COULD NOT AFFORD TO APPEAL IT. THE CURRENT BAR IS THE CONTINUING CONSEQUENCE OF A BAD TRIAL DECISION.  UNTIL THEN, I ONLY HAD ONE CUSTOMER COMPLAINT FOR FAILING TO EXECUTE A TRADE THAT RESULTED IN A LOSS OF UNDER $200.  SINCE 2011, I HAVE MAINTAINED MY SERIES 65 ( FINANCIAL ADVISOR'S LICENSE ) WITH NO CUSTOMER COMPLAINTS OR REGULATORY ISSUES."
1932930,"AMENDED","","","","","","","","","","","","","","Y","","","Affiliates","1690563","","","","","Y","","","","","","","","","","","","","","","","","","","N","","N","N","N","N","N","N","","",""
1932930,"AMENDED","","Y","","Y","Y","","","","Y","","","","","","","","Affiliates","1690561","","","","","Y","","","","","","","","","","","","","","","","","","","N","","N","N","N","N","N","N","","",""
1932930,"AMENDED","Y","","","","","Y","Y","","Y","","Y","Y","","","","","Affiliates","1690562","","","","","Y","","","","","","","","","","","","","","","","","","","N","","N","N","N","N","N","N","","",""
