"FilingID","SchA-3","Schedule","Full Legal Name","DE/FE/I","Entity in Which","Title or Status","Status Acquired","Ownership Code","Control Person","PR","OwnerID"
1999631,"Y","A","TREHAN, ABHISHEK, NMN","I","","DIRECTOR AND CHIEF INVESTMENT OFFICER",11/2020,"NA","Y","N",7258741
1999631,"Y","A","DGM HOLDINGS","FE","","SOLE SHAREHOLDER",11/2020,"E","Y","N",
1999631,"","B","TREHAN, ABHISHEK, NMN","I","DGM HOLDINGS","SOLE SHAREHOLDER",11/2020,"E","Y","N",7258741
1999631,"Y","A","LEGGE, JOHN, HENDRIKUS","I","","DIRECTOR, CHIEF FINANCIAL OFFICER, CHIEF OPERATING OFFICER",11/2020,"NA","Y","N",6177423
1999631,"Y","A","BRYANT, JAMES, GWYN","I","","DIRECTOR",11/2020,"NA","N","N",7330443
1999631,"","B","Grobler, Charl, Michael","I","DGM HOLDINGS","DIRECTOR",11/2024,"F","Y","N",8027079
1999631,"Y","A","Monime, Sarah, Elizabeth","I","","CHIEF COMPLIANCE OFFICER",07/2025,"NA","Y","N",8130562
1995264,"Y","A","JSB EQUITY PARTNERS LLC","DE","","MEMBER",02/2025,"C","Y","N",
1995264,"Y","A","VBS ACQUISITION PTY LTD","FE","","MEMBER",02/2025,"A","N","N",
1995264,"Y","A","ALLIVEN JSB ACQUISITION, LLC","DE","","MEMBER",02/2025,"A","N","N",
1995264,"","B","LOBEL, JONAH, JAY","I","JSB EQUITY PARTNERS LLC","SOLE MEMBER AND PRESIDENT",02/2025,"E","Y","N",4929597
1995264,"","B","JSB ALLIVEN INVESTOR LLC","DE","ALLIVEN JSB ACQUISITION, LLC","MEMBER",03/2025,"D","Y","N",
1995264,"","B","ALLIVEN JSB MEMBER LLC","DE","ALLIVEN JSB ACQUISITION, LLC","MEMBER",02/2025,"D","Y","N",
1995264,"","B","THE ALLIVEN GROUP","DE","ALLIVEN JSB ACQUISITION, LLC","MANAGER",02/2025,"F","N","N",
2007737,"Y","A","LULLA, ANIL","I","","MEMBER",11/2020,"B","N","N",7026850
2007737,"Y","A","Liberman, Yan","I","","MEMBER; MANAGER",01/2020,"B","Y","N",7531111
2007737,"Y","A","Shaughnessy, Thomas","I","","MEMBER; MANAGER",11/2020,"B","Y","N",7531122
2007737,"Y","A","DeMarco, Medio","I","","MEMBER",11/2020,"B","Y","N",7531123
2007737,"Y","A","Kelly, Kevin","I","","MEMBER",11/2020,"B","N","N",7531135
2007737,"Y","A","Saunders, Luke","I","","MEMBER",11/2020,"B","N","N",7531155
2007737,"Y","A","JIMMYGATZ FOUNDATION","FE","","MEMBER",12/2021,"B","N","N",
2007737,"","B","Maria Macedo, Jose","I","JIMMYGATZ FOUNDATION","ENTITY OWNER",11/2022,"E","Y","N",7531137
2007737,"Y","A","BURLAGE, PAUL","I","","MEMBER",11/2020,"NA","N","N",8063975
2007737,"Y","A","BUCKLEY, COLM","I","","MEMBER",11/2020,"NA","N","N",8063980
2007737,"Y","A","KUBERA LABS LLC","DE","","MEMBER",11/2020,"NA","N","N",
2007737,"Y","A","SARROW, ROBERT, LOUIS","I","","MEMBER",06/2021,"NA","N","N",6554629
2007737,"Y","A","HENDERSON, DREW","I","","MEMBER",06/2021,"NA","N","N",8063988
2007737,"Y","A","MEHTA, AANSH","I","","MEMBER",06/2021,"NA","N","N",8063990
2007737,"Y","A","BRENNAN, SARAH","I","","MEMBER",10/2021,"NA","N","N",8063991
2007737,"Y","A","Merlo, Augustus","I","","CHIEF COMPLIANCE OFFICER",07/2025,"NA","Y","N",8145291
2007737,"Y","A","Shaughnessy, Thomas","I","","SHAREHOLDER OF DV ADVISORY LTD.",08/2025,"B","N","N",7531122
2007737,"Y","A","HENDERSON, DREW","I","","SHAREHOLDER OF DV ADVISORY LTD.",08/2025,"B","N","N",8063988
2007737,"Y","A","BRENNAN, SARAH","I","","SHAREHOLDER OF DV ADVISORY LTD.",08/2025,"A","N","N",8063991
2007737,"Y","A","YAN LIBERMAN REVOCABLE TRUST","DE","","SHAREHOLDER OF DV ADVISORY LTD.",08/2025,"B","N","N",
2007737,"Y","A","LULLA, ANIL","I","","SHAREHOLDER OF DV ADVISORY LTD.",08/2025,"B","N","N",7026850
2007737,"Y","A","HUXWELL LIMITED","FE","","SHAREHOLDER OF DV ADVISORY LTD.",08/2025,"A","N","N",
2007737,"Y","A","JIMMYGATZ TRADING LTD","FE","","SHAREHOLDER OF DV ADVISORY LTD.",08/2025,"B","N","N",
2006870,"Y","A","SOLANO, STEVE, NMN","I","","CCO",08/2025,"NA","N","N",1650853
2006870,"Y","A","PORTERFIELD, ALFRED, DOUGLAS","I","","CEO",08/2025,"NA","Y","N",4478888
2006870,"Y","A","FLINT STUDIO LLC","DE","","HOLDING COMPANY",08/2025,"D","N","N",
2006870,"","B","PEARSON, JOHN, DEXTER","I","FLINT STUDIO LLC","SOLE SHAREHOLDER",08/2025,"F","Y","N",6093501
2006870,"Y","A","VARIANT ADVISORS LLC","DE","","HOLDING COMPANY",08/2025,"D","N","N",
2006870,"","B","bloom, skyler, alexander","I","VARIANT ADVISORS LLC","SOLE SHAREHOLDER",08/2025,"F","Y","N",8145477
2007887,"Y","A","Dubini, Federico","I","","MANAGING MEMBER",07/2025,"C","Y","N",8143692
2007887,"Y","A","Caovilla, Edoardo","I","","MANAGING MEMBER",07/2025,"C","Y","N",8143685
2007887,"Y","A","TRAMONTO LLC","DE","","MANAGING MEMBER",07/2025,"C","Y","N",
2007887,"","B","Maestri, Luca","I","TRAMONTO LLC","MANAGING MEMBER",07/2025,"E","Y","N",8144104
2013131,"Y","A","ELLIOTT, KAREN, MARIE","I","","CHIEF OPERATING OFFICER",12/2020,"NA","Y","N",6630020
2013131,"Y","A","DAVIDE LEONE AND PARTNERS (CAYMAN) LTD","FE","","SHAREHOLDER - SENIOR AND FOUNDER SHARES",02/2011,"E","Y","N",
2013131,"Y","A","LEONE, DAVIDE","I","","DIRECTOR AND CHIEF INVESTMENT OFFICER",02/2011,"NA","Y","N",5069595
2013131,"","B","LEONE, DAVIDE","I","DAVIDE LEONE AND PARTNERS (CAYMAN) LTD","SHAREHOLDER",02/2011,"E","Y","N",5069595
2013131,"Y","A","Mazziotti di Celso, Andrea","I","","DIRECTOR",01/2019,"NA","N","N",7082648
2013131,"Y","A","O'Flaherty, Stephen, John","I","","DIRECTOR",10/2022,"NA","Y","N",7743681
2012117,"N","A","Lee, Matthew, Yen Shen","I","","MEMBER & CHIEF COMPLIANCE OFFICER",07/2025,"B","Y","N",7298198
2012117,"N","A","Aguhob, John","I","","MEMBER",07/2025,"B","Y","N",7298204
2012117,"N","A","DIALLO, VINCENT, NMN","I","","MEMBER",07/2025,"B","Y","N",8155173
2012117,"N","A","VERALDI, JAMES, MICHAEL","I","","MEMBER",07/2025,"B","Y","N",8155713
2012117,"N","A","Ogawa, Tomoya","I","","MEMBER",07/2025,"B","Y","N",7535949
2013190,"N","A","FRASER, ALICE","I","","DIRECTOR",08/2025,"E","Y","N",8156662
2013257,"Y","A","CARUSI, MICHAEL, A.","I","","PRESIDENT, DIRECTOR OF ATV CAPITAL MANAGEMENT",09/2003,"B","Y","N",6038711
2013257,"Y","A","WIBERG, WILLIAM, C.","I","","VICE PRESIDENT, TREASURER & SECRETARY, DIRECTOR OF ATV CAPITAL MANAGEMENT",01/2006,"B","Y","N",6038713
2013257,"Y","A","GEORGE, JEAN, M.","I","","DIRECTOR OF ATV CAPITAL MANAGEMENT",06/2004,"B","Y","N",6038716
2013257,"Y","A","BALOFF, STEVEN, NICHOLAS","I","","DIRECTOR OF ATV CAPITAL MANAGEMENT",09/1998,"B","Y","N",863144
2013257,"Y","A","HOWER, ROBERT, C.","I","","DIRECTOR OF ATV CAPITAL MANAGEMENT",01/2006,"B","Y","N",6038718
2013257,"Y","A","CARUSI, MICHAEL, A.","I","","MANAGING DIRECTOR OF ATV ASSOCIATES VII, LLC",02/2001,"NA","Y","N",6038711
