"FilingID","Full Legal Name","CIK Number"
1938433,"ROYAL BANK OF CANADA",1000275
1936690,"DOMINARI HOLDINGS INC.",12239
1982267,"M&T BANK CORP",36270
1977059,"PATRIA INVESTMENTS LIMITED",1825570
1980029,"DOMINARI HOLDINGS INC.",12239
1981481,"TRIP.COM GROUP LTD.",1269238
1981480,"TRIP.COM GROUP LTD",1269238
1983216,"AON PLC",315293
1984440,"DEUTSCHE BANK AG",948046
1978302,"JEFFERIES FINANCIAL GROUP INC.",96226
1977456,"PATRIA INVESTMENTS LIMITED",1825570
1982197,"STARTENGINE CROWDFUNDING, INC.",1661779
1976614,"AON PLC",315293
1980218,"APPLIED MATERIALS, INC.",6951
1965854,"AIRBUS SE",1378580
1933124,"XP INC.",1787425
1977041,"PÁTRIA INVESTMENTS LIMITED",1825570
1967981,"NOAH HOLDINGS LIMITED",1499543
