"FilingID","Full Legal Name","CIK Number"
2006694,"BLACKROCK, INC.",2012383
2006704,"BLACKROCK, INC.",2012383
2006705,"BLACKROCK, INC.",2012383
2004556,"BNP PARIBAS SA",872786
2000189,"BNP PARIBAS SA",872786
2001853,"AIR T, INC.",353184
1992519,"JANUS HENDERSON GROUP PLC",1274173
2004048,"DEUTSCHE BANK AG",948046
2004547,"AFFILIATED MANAGERS GROUP, INC.",1004434
2001783,"BNP PARIBAS SA",872786
2000957,"PATRIA INVESTMENTS LIMITED",1825570
2000948,"PÁTRIA INVESTMENTS LIMITED",1825570
2002635,"ROYAL BANK OF CANADA",1000275
2006713,"BLACKROCK, INC.",2012383
2004549,"AFFILIATED MANAGERS GROUP, INC.",1004434
2000975,"PATRIA INVESTMENTS LIMITED",1825570
2006919,"FRANKLIN RESOURCES, INC.",38777
1975951,"AON PLC",1183186
