"FilingID","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","Telephone Number","Facsimile Number","Branch Number","Employees","BD","Bank","Insurance","Commodity","Municipal","Accounting","Law","Other"
1933701,"","","","","","","Y","310-975-9132","",,1,"N","N","N","N","N","N","N",""
1942291,"300 PARK AVENUE","5TH FLOOR","NEW YORK","NY","United States","10022","N","N/A","",,4,"N","N","N","N","N","N","N","RESEARCH AND ANALYSIS FOR THE FUND MANAGED BY THE FIRM."
1940703,"750 LEXINGTON AVE, 9TH FLOOR","","NEW YORK","NY","United States","10022","N","(908) 376-6304","",,1,"N","N","N","N","N","N","N",""
1933835,"SUITE 1507, CHANGFENG INTERNATIONAL MANSION","NO. 89 EAST YUNLING ROAD","SHANGHAI","","China","200062","N","+862162889998","+862162889166",,3,"N","N","N","N","N","N","N",""
1939305,"25 GREAT PULTENEY STREET","","LONDON","","United Kingdom","W1F 9LT","N","00442071542020","00442071542021",,3,"N","N","N","N","N","N","N",""
1935397,"VIA SAN DAMIANO 7","","MILAN","","Italy","20122","N","+39 02 76415 8","",,2,"N","N","N","N","N","N","N",""
1935397,"82 AVENUE MARCEAU","","PARIS","","France","75008","N","+33 (0) 1 87 1","",,4,"N","N","N","N","N","N","N",""
1935397,"ANNA VAN BUERENPLEIN 50","NEW BABYLON, CENTER OFFICES 1","THE HAGUE","","Netherlands","2595","N","+31 70 777 955","",,13,"N","N","N","N","N","N","N",""
1927107,"853 BROADWAY","SUITE 1109","NEW YORK","NY","United States","10003","N","3475733220","",,1,"N","N","N","N","N","N","N",""
1938515,"SONATUS BUILDING, 25TH FLOOR","15 LE THANH TON, DISTRICT 1","HO CHI MINH CITY","","Vietnam","700000","N","+842838273161","",,31,"N","N","N","N","N","N","N",""
1938515,"LOTTE HANOI CENTRE, 12TH FLOOR, EAST TOWER","54 LIEU GIAI, BA DINH DISTRICT","HANOI","","Vietnam","100000","N","+842437724888","",,6,"N","N","N","N","N","N","N",""
1945084,"522 CONGRESS AVENUE","SUITE 400","AUSTIN","TX","United States","78701","N","720-955-9211","",,5,"N","N","N","N","N","N","N",""
1924509,"CRAIGMUIR CHAMBERS","PO BOX 71","ROAD TOWN TORTOLA","","British Virgin Islands","VG1110","N","203-297-9236","",,0,"N","N","N","N","N","N","N",""
1924509,"","","","","","","Y","203-297-9236","",,1,"N","N","N","N","N","N","N",""
