"FilingID","Other Name","BD","RR","Pool","FCM","Real Estate","Insurance","Bank","Trust","Municipal","Swap Dealer","Swap Participant","Accountant","Lawyer","Other","Other Description"
1959168,"FIRST ATLANTIC REAL ESTATE LLC","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
1947385,"PROUD AMERICAN TAX","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1947385,"CHRIS MOBILE NOTARY","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","NOTARY"
1947385,"PROUD AMERICAN REAL ESTATE","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
1949024,"CORINTHIA GLOBAL MANAGEMENT","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
1948423,"JPB REAL ESTATE SERVICES","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
1965668,"HD SPECIAL-SITUATIONS III, LP","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","FUND MANAGEMENT"
1965668,"HD SPECIAL-SITUATIONS II, LP","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","FUND MANAGEMENT"
1949961,"MBNA","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
1949961,"MAYFAIR PRIVATE BANKING","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
1949961,"LLOYDS BANK","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
1949961,"LLOYDS BANK 360","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
1949961,"LLOYDS BANK CARDNET","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","PAYMENTS MERCHANT"
1949961,"LLOYDS BANK INTERNATIONAL","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
1949961,"LLOYDS BANK PRIVATE BANKING","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
1949961,"LLOYDS BANK SPECIALIST MORTGAGE SOLUTIONS","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
1949961,"BLACKHORSE SPECIALIST MORTGAGES","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
1949961,"SCOTTISH WIDOWS BANK","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
1949961,"LLOYDS PRIVATE BANKING","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
1949961,"LLOYDS","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
1949961,"LLOYDS 360","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
1949961,"LLOYDS CARDNET","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","PAYMENT MERCHANT"
1949961,"LLOYDS SPECIALIST MORTGAGE SOLUTIONS","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
1959063,"ACA MIRABELLA","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","BRAND NAME"
1926901,"ARDENT GB HOLDINGS, LP","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","VENTURE CAPITAL"
1926901,"ARDENT MFI HOLDINGS, LP","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","VENTURE CAPITAL"
1950079,"SCENIC ADVISEMENT","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
1959997,"ABODE RESIDENTIAL","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
1972418,"EGATEWAY CAPITAL ADVISORY, LLC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","CONSULTING FIRM"
1972418,"EGATEWAY ADVISORS, LLC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","CONSULTANT"
1948342,"EHRENBERG CHESLER INTERESTS LLC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","CONSULTING"
1966720,"BRAZIL REAL ESTATE PARTNERS GP LTD,","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","SERVING AS GENERAL PARTNER AND MANAGER OF PRIVATE FUNDS DOMICILIED OUTSIDE THE US AND CONDUCING BUSINESS OUTSIDE OF  THE US"
1966720,"BRAZIL REAL ESTATE MANAGER LTD","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","SERVING AS GENERAL PARTNER AND MANAGER OF PRIVATE FUNDS DOMICILIED OUTSIDE THE US AND CONDUCING BUSINESS OUTSIDE OF THE US"
1966720,"BRAZIL REAL ESTATE MANAGER II LTD","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","SERVING AS GENERAL PARTNER AND MANAGER OF PRIVATE FUNDS DOMICILIED OUTSIDE THE US AND CONDUCING BUSINESS OUTSIDE OF THE US"
1966720,"BRAZIL REAL ESTATE PARTNERS GP LTD II LTD","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","SERVING AS GENERAL PARTNER AND MANAGER OF PRIVATE FUNDS DOMICILIED OUTSIDE THE US AND CONDUCING BUSINESS OUTSIDE OF THE US"
1966720,"BRAZIL REAL ESTATE MANAGER III LTD","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","SERVING AS GENERAL PARTNER AND MANAGER OF PRIVATE FUNDS DOMICILIED OUTSIDE THE US AND CONDUCING BUSINESS OUTSIDE OF THE US"
1966720,"VBI AMERICA LLC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","SERVING AS GENERAL PARTNER AND MANAGER OF PRIVATE FUNDS DOMICILIED OUTSIDE THE US AND CONDUCING BUSINESS OUTSIDE OF THE US"
1966720,"BPM2 INC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","SERVING AS GENERAL PARTNER AND MANAGER OF PRIVATE FUNDS DOMICILIED OUTSIDE THE US AND CONDUCING BUSINESS OUTSIDE OF THE US"
