"FilingID","Primary Business","Business Name"
1969554,"ALTERNATIVE INVESTMENT FUND MANAGER",""
1973777,"EARLY-STAGE VENTURE CAPITAL FIRM ACCELERATING NEW TECHNOLOGIES",""
1981287,"REAL ESTATE AGENT, CPA TAX SERVICES, NOTARY SERVICES","PROUD AMERICAN REAL ESTATE PROUD AMERICAN TAX  CHRIS MOBILE NOTARY"
1965262,"INVESTMENT MANAGER INVESTING IN MENA PUBLIC EQUITIES. AJEEJ CATERS ONLY TO INSTITUTIONAL AND PROFESSIONAL INVESTORS AS PER ITS DFSA LICENCE.",""
1976627,"VIUK ACTS AS CORPORATE DIRECTOR AND MANAGER OF UK DOMICILED COLLECTIVE INVESTMENT SCHEMES AND IS AUTHORISED AND REGULATED BY THE FINANCIAL CONDUCT AUTHORITY.",""
1982115,"VIUK ACTS AS CORPORATE DIRECTOR AND MANAGER OF UK DOMICILED COLLECTIVE INVESTMENT SCHEMES AND IS AUTHORISED AND REGULATED BY THE FINANCIAL CONDUCT AUTHORITY.",""
1978191,"COMMERCIAL REAL ESTATE LENDING, COMMERCIAL REAL ESTATE LOAN SERVICING AND COMMERCIAL REAL ESTATE ASSET MANAGEMENT",""
1985830,"PRIVATE FUND MANAGEMENT","N/A"
1983014,"ATLAS CREDIT PARTNERS IS CURRENTLY A CREDIT ASSET MANAGER. THE FIRM SOURCES, ORIGINATES, NEGOTIATES, STRUCTURES, AND MANAGES CREDIT SOLUTIONS FOR MIDDLE MARKET AND LOWER MIDDLE MARKET COMPANIES.","ATLAS CREDIT PARTNERS LLC"
1976657,"VANGUARD INVESTMENTS CANADA INC. IS RESPONSIBLE FOR PROVIDING OR CAUSING TO BE PROVIDED MANAGEMENT, ADMINISTRATIVE, PORTFOLIO ADVISORY, & INVESTMENT MANAGEMENT SERVICES TO THE FUNDS.",""
1976595,"VANGUARD GROUP (IRELAND) LIMITED ACTS AS MANAGER OF IRISH-DOMICILED MUTUAL FUNDS.",""
1970456,"THE INVESTMENT ADVISER'S PRINCIPAL BUSINESS IS TO PROVIDE REAL ESTATE FINANCINGS SECURED BY INVESTMENT PROPERTIES AND REAL ESTATE DEVELOPMENTS THROUGHOUT THE UNITED STATES AND CANADA.",""
1982091,"VANGUARD GROUP (IRELAND) LIMITED ACTS AS MANAGER OF IRISH-DOMICILED MUTUAL FUNDS.",""
1962465,"TGR IS A FUND MANAGEMENT COMPANY ESTABLISHED ON AUGUST 31, 2012, FOLLOWING A CORPORATE RESTRUCTURING INVOLVING ITS PARENT COMPANY, TARPON INVESTIMENTOS S.A., WITH A FOCUS ON PRIVATE EQUITY FUNDS, AS WELL AS EQUITY INVESTMENT FUNDS",""
1963361,"PODCASTER",""
1975461,"REAL ESTATE LENDING; FINANCE AND INVESTMENTS; AND THE SALE (UNDER EXEMPTION) OF LOANS SECURED BY DEEDS OF TRUST",""
1975752,"DISCRETIONARY ASSET MANAGEMENT",""
1977714,"REAL ESTATE AGENT, CPA TAX SERVICES, NOTARY SERVICES","PROUD AMERICAN REAL ESTATE PROUD AMERICAN TAX  CHRIS MOBILE NOTARY"
1976956,"WESTBRIDGE CAPITAL IS PRIMARILY A MANAGER OF PRIVATE EQUITY FUNDS WHICH ARE ORGANISED IN AND INVEST IN THE UK",""
1977521,"MANAGEMENT",""
1982123,"VANGUARD INVESTMENTS CANADA INC. IS RESPONSIBLE FOR PROVIDING OR CAUSING TO BE PROVIDED MANAGEMENT, ADMINISTRATIVE, PORTFOLIO ADVISORY, & INVESTMENT MANAGEMENT SERVICES TO THE FUNDS.",""
