"FilingID","Other Products and Services","Business Name"
1936518,"SAME AS 6.B.(2).",""
1940074,"IN ADDITION TO PROVIDING INVESTMENT ADVICE, MISSION DRIVEN FINANCE, LLC ALSO PROVIDES FUND ADMINISTRATOR SERVICES TO OUR PRIVATE FUND CLIENTS.",""
1937291,"NONE",""
1936535,"SAME AS 6.B.(2)",""
1936545,"SAME AS 6.B.(2).",""
1939557,"BLACKROCK INVESTMENT MANAGEMENT (UK) LTD. PROVIDES REAL ESTATE INVESTMENT SERVICES. THE REAL ESTATE SERVICES ARE PRINCIPALLY RELATED TO THE ACQUISITION, DISPOSITION AND SUPERVISION OF MANAGEMENT AND IMPROVEMENT OF REAL ESTATE INVESTMENTS FOR ITS CLIENTS.",""
1935900,"OPERATIONS SUPPORT",""
1940359,"FUND MANAGEMENT INDUSTRY INFORMATIONAL AND BUSINESS CREATION SERVICES",""
1940366,"FUND MANAGEMENT, INDUSTRY INFORMATIONAL, AND BUSINESS CREATION SERVICES",""
1942210,"TAX SERVICES  NOTARY SERVICES  REAL ESTATE AGENT","PROUD AMERICAN TAX CHRIS MOBILE NOTARY  PROUD AMERICAN REAL ESTATE"
1943889,"ALGORITHMIC RISK ASSESSMENT TOOLS",""
1940347,"FUND MANAGEMENT",""
1944286,"VENTURE CAPITAL INVESTMENT AND MANAGEMENT OF BLACK OWNED LED AND/OR OWNED STARTUP COMPANIES.",""
1934677,"CONSULTING",""
1935474,"WE SELL PRIVATE SHARES OF OUR FUND (COMMODITY POOLED FUND), MAY BE THE SAME AS FINANCIAL ADVICE.","N/A"
1923136,"PROMISSORY NOTE, WHICH FUNDS ARE THEN INVESTED INTO THE PREVIOUSLY MENTIONED PRIVATE FUND.",""
