"FilingID","ReferenceID","Foreign Regulatory Authority"
1930486,115632,"Guernsey - Guernsey Financial Services Commission"
1930486,115633,"Guernsey - Guernsey Financial Services Commission"
1930486,115636,"Guernsey - Guernsey Financial Services Commission"
1930486,115638,"Guernsey - Guernsey Financial Services Commission"
1930486,115640,"Guernsey - Guernsey Financial Services Commission"
1930486,115641,"Guernsey - Guernsey Financial Services Commission"
1930486,115643,"Guernsey - Guernsey Financial Services Commission"
1930486,115646,"Guernsey - Guernsey Financial Services Commission"
1930486,115648,"Guernsey - Guernsey Financial Services Commission"
1930486,115649,"Guernsey - Guernsey Financial Services Commission"
1930486,115657,"Canada - Ontario Securities Commission"
1930486,115657,"Canada - Alberta Securities Commission"
1930486,115657,"Canada - British Columbia Securities Commission"
1930486,115657,"Canada - New Brunswick Securities Commission"
1930486,115657,"Canada - Nova Scotia Securities Commission"
1930486,115657,"Canada - Quebec, Financial Markets Authority"
1930486,115657,"Canada - Manitoba Securities Commission"
1930486,122056,"Guernsey - Guernsey Financial Services Commission"
1930486,122130,"Guernsey - Guernsey Financial Services Commission"
1930486,145182,"Guernsey - Guernsey Financial Services Commission"
1930486,172735,"United Kingdom - Financial Conduct Authority"
1930486,172736,"United Kingdom - Financial Conduct Authority"
1930486,205376,"Singapore - Monetary Authority of Singapore"
1930486,264988,"Other-JAPAN - KANTO LOCAL FINANCE BUREAU (KLFB)"
1930486,264988,"Japan - Financial Services Agency"
1930486,265031,"Australia - Australian Securities and Investments Commission"
1930486,265149,"Dubai - Dubai Financial Services Authority"
1930486,265645,"Cayman Islands - Cayman Islands Monetary Authority"
1930486,286165,"Germany - German Federal Financial Supervisory Agency"
1930486,286167,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1930486,286176,"Guernsey - Guernsey Financial Services Commission"
1930486,286180,"Guernsey - Guernsey Financial Services Commission"
1930486,286181,"Guernsey - Guernsey Financial Services Commission"
1920903,186565,"United Kingdom - Financial Conduct Authority"
1920903,186565,"Ireland -  Central Bank of Ireland"
1920903,186566,"United Kingdom - Financial Conduct Authority"
1920903,256709,"Ireland -  Central Bank of Ireland"
1920903,300319,"United Kingdom - Financial Conduct Authority"
1920903,300334,"Singapore - Monetary Authority of Singapore"
1920903,350861,"Japan - Financial Services Agency"
1920903,372768,"Bermuda - Bermuda Monetary Authority"
1920155,383950,"Germany - German Federal Financial Supervisory Agency"
1926749,333981,"Cayman Islands - Cayman Islands Monetary Authority"
1926749,355404,"Bahamas - Securities Commission of the Bahamas"
1924170,265693,"Australia - Australian Securities and Investments Commission"
1924170,265695,"Germany - German Federal Financial Supervisory Agency"
1924170,265699,"United Kingdom - Financial Conduct Authority"
1924170,265703,"Singapore - Monetary Authority of Singapore"
1924170,265703,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1924170,265710,"Hong Kong - Securities and Futures Commission"
1924170,265713,"Japan - Financial Services Agency"
1924170,265718,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1924170,265723,"Germany - German Federal Financial Supervisory Agency"
1924170,265723,"United Kingdom - Prudential Regulation Authority"
1924170,265723,"United Kingdom - Financial Conduct Authority"
1924170,265725,"Switzerland - Swiss Financial Market Supervisory Authority"
1924170,265726,"Canada - Quebec, Financial Markets Authority"
1924170,265726,"Canada - British Columbia Securities Commission"
1924170,265726,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1924170,265726,"Canada - Ontario Securities Commission"
1924170,265730,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1924170,265732,"United Kingdom - Financial Conduct Authority"
1924170,265771,"Germany - German Federal Financial Supervisory Agency"
1905173,381762,"United Kingdom - Financial Conduct Authority"
1905173,381765,"United Kingdom - Financial Conduct Authority"
1919668,383590,"United Kingdom - Financial Conduct Authority"
1933275,354191,"Other-CAYMAN - REGISTRAR OF EXEMPTED LIMITED PARTNERSHIPS"
1927879,354383,"United Kingdom - Financial Conduct Authority"
1927879,354385,"Other-THE OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS, CANADA"
1930982,289002,"Other-FRANCE - AUTORITÉ DE CONTRÔLE PRUDENTIEL ET DE RÉSOLUTION (ACPR)"
1930982,289007,"Australia - Australian Securities and Investments Commission"
1930982,289011,"United Kingdom - Financial Conduct Authority"
1930982,289013,"France - Financial Markets Authority"
1930982,315863,"Bermuda - Bermuda Monetary Authority"
1930982,316429,"Other-THAILAND - OFFICE OF INSURANCE COMMISSION"
1930982,362812,"France - Financial Markets Authority"
1930982,384375,"France - Financial Markets Authority"
1930982,384376,"Other-SPAIN - DIRECCION GENERAL DE SEGUROS Y FONDOS DE PENSIONES ( DGSFP)"
1932701,202165,"Guernsey - Guernsey Financial Services Commission"
1932701,202169,"Guernsey - Guernsey Financial Services Commission"
1930872,384397,"Hong Kong - Securities and Futures Commission"
1930872,384398,"United Kingdom - Financial Conduct Authority"
1930872,384399,"Singapore - Monetary Authority of Singapore"
1929230,157005,"Japan - Financial Services Agency"
1929230,157359,"Japan - Financial Services Agency"
1929230,157359,"Japan - Financial Services Agency"
1929230,157362,"Japan - Financial Services Agency"
1929230,206264,"Japan - Financial Services Agency"
1929230,232009,"Singapore - Monetary Authority of Singapore"
1929230,233490,"Japan - Financial Services Agency"
1929230,259829,"Japan - Financial Services Agency"
1929230,322630,"Japan - Financial Services Agency"
1929230,344443,"Malaysia - Securities Commission"
1929230,369902,"Other-KOREAN MINISTRY OF SMES AND STARTUPS"
1929543,233264,"Australia - Australian Securities and Investments Commission"
1929543,233265,"United Kingdom - Financial Conduct Authority"
1929543,233266,"United Kingdom - Financial Conduct Authority"
1929543,301855,"Mexico - National Commission for Banking and Securities"
1929543,348685,"Germany - German Federal Financial Supervisory Agency"
1929543,348686,"Australia - Australian Securities and Investments Commission"
1929543,348686,"Other-AUSTRALIAN PRUDENTIAL REGULATION AUTHORITY"
1929543,351396,"Canada - Ontario Securities Commission"
1930641,378959,"Japan - Financial Services Agency"
1927329,345077,"Singapore - Monetary Authority of Singapore"
1925186,219630,"Guernsey - Guernsey Financial Services Commission"
1922171,382910,"Singapore - Monetary Authority of Singapore"
1922171,382911,"India - Securities and Exchange Board of India"
1922171,382912,"India - Securities and Exchange Board of India"
1922171,382914,"India - Securities and Exchange Board of India"
1922171,382915,"India - Securities and Exchange Board of India"
1922171,382917,"Other-THE RESERVE BANK OF INDIA"
1922171,382917,"India - Securities and Exchange Board of India"
1922171,383064,"India - Securities and Exchange Board of India"
1922171,383065,"India - Securities and Exchange Board of India"
1901771,291327,"Guernsey - Guernsey Financial Services Commission"
1901771,312623,"Guernsey - Guernsey Financial Services Commission"
1925579,308046,"Jersey - Jersey Financial Services Commission"
1925579,308056,"Singapore - Monetary Authority of Singapore"
1925579,308057,"Hong Kong - Securities and Futures Commission"
1925579,308058,"United Kingdom - Financial Conduct Authority"
1925579,372490,"Cayman Islands - Cayman Islands Monetary Authority"
1925583,362585,"Jersey - Jersey Financial Services Commission"
1925583,362587,"Singapore - Monetary Authority of Singapore"
1925583,362588,"Hong Kong - Securities and Futures Commission"
1925583,362589,"Jersey - Jersey Financial Services Commission"
1925583,362590,"United Kingdom - Financial Conduct Authority"
1922807,127369,"Brazil - Securities and Exchange Commission"
1922807,127374,"Brazil - Securities and Exchange Commission"
1922807,127378,"Brazil - Securities and Exchange Commission"
1922807,127389,"Brazil - Securities and Exchange Commission"
1922807,266809,"Brazil - Securities and Exchange Commission"
1922807,266810,"Brazil - Securities and Exchange Commission"
1922807,331495,"Brazil - Securities and Exchange Commission"
1922807,347190,"Other-SUPERINTENDÊNCIA DE SEGUROS PRIVADOS (BRAZIL - SUPERINTENDENT OFPRIVATE INSURANCE)"
1922807,353053,"Brazil - Securities and Exchange Commission"
1922807,353055,"Brazil - Securities and Exchange Commission"
1921726,383882,"Hong Kong - Securities and Futures Commission"
1921726,383883,"Japan - Financial Services Agency"
1921726,383884,"Cayman Islands - Cayman Islands Monetary Authority"
1921726,383885,"Singapore - Monetary Authority of Singapore"
1923017,223262,"Japan - Financial Services Agency"
1923017,258652,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1923020,223262,"Japan - Financial Services Agency"
1923020,258652,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1925577,362585,"Jersey - Jersey Financial Services Commission"
1925577,362587,"Singapore - Monetary Authority of Singapore"
1925577,362588,"Hong Kong - Securities and Futures Commission"
1925577,362589,"Jersey - Jersey Financial Services Commission"
1925577,362590,"United Kingdom - Financial Conduct Authority"
1929107,142429,"Other-PRUDENTIAL REGULATION AUTHORITY"
1929107,142429,"Other-JERSEY FINANCIAL SERVICES COMMISSION"
1929107,142429,"United Kingdom - Financial Conduct Authority"
1929107,142429,"India - Securities and Exchange Board of India"
1929107,142439,"United Kingdom - Financial Conduct Authority"
1929107,142567,"Guernsey - Guernsey Financial Services Commission"
1929107,142568,"Ireland -  Central Bank of Ireland"
1929107,157092,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1929107,208436,"United Kingdom - Financial Conduct Authority"
1929107,210548,"United Kingdom - Financial Conduct Authority"
1929107,210552,"Hong Kong - Securities and Futures Commission"
1929107,258450,"South Africa - Financial Services Board"
1929107,286058,"Other-JAPAN - KANTO LOCAL FINANCIAL BUREAU"
1929107,286061,"Other-NAMIBIA - THE NAMIBIA FINANCIAL INSTITUTIONS SUPERVISORY AUTHORITY"
1929107,286064,"Other-SOUTH AFRICA - FINANCIAL SECTOR CONDUCT AUTHORITY"
1929107,286066,"Other-NAMIBIA - THE NAMIBIA FINANCIAL INSTITUTIONS SUPERVISORY AUTHORITY"
1929107,286068,"Other-SOUTH AFRICA - FINANCIAL SECTOR CONDUCT AUTHORITY AND PRUDENTIAL AUTHORITY SOUTH AFRICA"
1929107,350811,"Switzerland - Swiss Financial Market Supervisory Authority"
1929107,366122,"Singapore - Monetary Authority of Singapore"
1929107,366123,"Taiwan - Financial Supervisory Commission"
1929107,366124,"Guernsey - Guernsey Financial Services Commission"
1929107,366125,"United Kingdom - Financial Conduct Authority"
1929107,366126,"Other-JAPAN - KANTO KANTO LOCAL FINANCE BUREAU (""KLFB"")"
1929173,205665,"United Kingdom - Financial Conduct Authority"
1929173,205667,"Ireland -  Central Bank of Ireland"
1929173,205682,"Italy - National Stock Exchange Commission"
1929173,205682,"China, People's Republic of - China Securities Regulatory Commission "
1929173,205682,"United Kingdom - Financial Conduct Authority"
1929173,205682,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1929173,207748,"Other-UNITED KINGDOM - PRUDENTIAL REGULATION AUTHORITY"
1929173,207748,"Other-INDIA- SEBI"
1929173,207748,"United Kingdom - Financial Conduct Authority"
1929173,207748,"Jersey - Jersey Financial Services Commission"
1929173,210646,"Singapore - Monetary Authority of Singapore"
1929173,219590,"United Kingdom - Financial Conduct Authority"
1929173,219598,"Hong Kong - Securities and Futures Commission"
1929173,219607,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1929173,219608,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1929173,285965,"Other-JAPAN - KANTO LOCAL FINANCIAL BUREAU"
1929173,285984,"Other-NAMIBIA - THE NAMIBIA FINANCIAL INSTITUTIONS SUPERVISORY AUTHORITY"
1929173,285990,"Other-SOUTH AFRICA - FINANCIAL SECTOR CONDUCT AUTHORITY"
1929173,285994,"Other-NAMIBIA - THE NAMIBIA FINANCIAL INSTITUTIONS SUPERVISORY AUTHORITY"
1929173,286006,"Other-SOUTH AFRICA - FINANCIAL SECTOR CONDUCT AUTHORITY AND PRUDENTIAL AUTHORITY SOUTH AFRICA"
1929173,350959,"Other-OTHER - SOUTH AFRICA - FINANCIAL SECTOR CONDUCT AUTHORITY"
1929173,351188,"Guernsey - Guernsey Financial Services Commission"
1929173,369684,"Switzerland - Swiss Financial Market Supervisory Authority"
1929173,369686,"Singapore - Monetary Authority of Singapore"
1929173,369687,"Taiwan - Financial Supervisory Commission"
1929173,369689,"Guernsey - Guernsey Financial Services Commission"
1929173,369690,"United Kingdom - Financial Conduct Authority"
1929173,369691,"Other-JAPAN - KANTO KANTO LOCAL FINANCE BUREAU (""KLFB"")"
1927355,384327,"Guernsey - Guernsey Financial Services Commission"
1929302,265693,"Australia - Australian Securities and Investments Commission"
1929302,265695,"Germany - German Federal Financial Supervisory Agency"
1929302,265699,"United Kingdom - Financial Conduct Authority"
1929302,265703,"Singapore - Monetary Authority of Singapore"
1929302,265703,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1929302,265710,"Hong Kong - Securities and Futures Commission"
1929302,265713,"Japan - Financial Services Agency"
1929302,265718,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1929302,265723,"Germany - German Federal Financial Supervisory Agency"
1929302,265723,"United Kingdom - Prudential Regulation Authority"
1929302,265723,"United Kingdom - Financial Conduct Authority"
1929302,265725,"Switzerland - Swiss Financial Market Supervisory Authority"
1929302,265726,"Canada - Quebec, Financial Markets Authority"
1929302,265726,"Canada - British Columbia Securities Commission"
1929302,265726,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1929302,265726,"Canada - Ontario Securities Commission"
1929302,265730,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1929302,265732,"United Kingdom - Financial Conduct Authority"
1929302,265771,"Germany - German Federal Financial Supervisory Agency"
1933747,277585,"United Kingdom - Financial Conduct Authority"
1921370,255390,"Australia - Australian Securities and Investments Commission"
1920816,251789,"Hong Kong - Securities and Futures Commission"
1914491,382920,"Cayman Islands - Cayman Islands Monetary Authority"
1923756,378340,"Singapore - Monetary Authority of Singapore"
1923686,378327,"Hong Kong - Securities and Futures Commission"
1919411,383558,"United Kingdom - Financial Conduct Authority"
1932029,283018,"Other-JAPAN KANTO LOCAL FINANCE BUREAU"
1932029,283020,"Other-JAPAN KANTO LOCAL FINANCE BUREAU"
1932029,283021,"Other-JAPAN KANTO LOCAL FINANCE BUREAU"
1932029,365560,"Japan - Financial Services Agency"
1933388,140577,"United Kingdom - Financial Conduct Authority"
1933388,276923,"Ireland -  Central Bank of Ireland"
1933388,340809,"Dubai - Dubai Financial Services Authority"
1933388,340810,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1933388,340811,"Ireland -  Central Bank of Ireland"
1933388,340812,"Ireland -  Central Bank of Ireland"
