"FilingID","ReferenceID","Legal Name","Business Name","SEC Number or Other","CRD Number","Type","5a","5b","5c","5d","5e","5f","5g","5h","5i","5j","5k","5l","5m","5n","5o","5p","Control/Controlled","Common Control","Custodian","Exam Exempt","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","IA Exempt","Exemption","Foreign Registered","Share Persons","Share Location"
1996832,356026,"TRIUM CAPITAL LLP","TRIUM CAPITAL LLP","801-122997",306112,"","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","N","","Y","Y","Y"
1996340,398107,"BAILLIE GIFFORD ASIA (SINGAPORE) PRIVATE LIMITED","BAILLIE GIFFORD ASIA (SINGAPORE) PRIVATE LIMITED","",,"","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","Y","FOREIGN PRIVATE ADVISER","Y","N","N"
1996340,378985,"BAILLIE GIFFORD OVERSEAS INVESTMENT FUND MANAGEMENT (SHANGHAI) LIMITED","BAILLIE GIFFORD OVERSEAS INVESTMENT FUND MANAGEMENT (SHANGHAI) LIMITED","",,"","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","Y","FOREIGN PRIVATE ADVISER","Y","N","N"
1996340,270216,"MITSUBISHI UFJ BAILLIE GIFFORD ASSET MANAGEMENT LIMITED","MITSUBISHI UFJ BAILLIE GIFFORD ASSET MANAGEMENT LIMITED","",,"","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","Y","FOREIGN PRIVATE ADVISER","Y","Y","Y"
1996340,270214,"BAILLIE GIFFORD FUNDS SERVICES LLC","BAILLIE GIFFORD FUNDS SERVICES LLC","8-69448",171147,"","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","","","N","Y","N"
1996340,270215,"BAILLIE GIFFORD OVERSEAS LTD","BAILLIE GIFFORD OVERSEAS LTD","801-21051",110296,"","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","N","","Y","Y","Y"
1996340,270213,"BAILLIE GIFFORD & CO","BAILLIE GIFFORD & CO","",,"","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","","","","","","","","N","Y","FOREIGN PRIVATE ADVISER","Y","Y","Y"
1996340,270247,"BAILLIE GIFFORD INVESTMENT MANAGEMENT (EUROPE) LIMITED","BAILLIE GIFFORD INVESTMENT MANAGEMENT (EUROPE) LIMITED","",,"","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","Y","FOREIGN PRIVATE ADVISER","Y","Y","N"
1996340,290119,"BAILLIE GIFFORD INTERNATIONAL LLC","BAILLIE GIFFORD INTERNATIONAL LLC","801-118239",305849,"","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","N","","Y","Y","N"
1996340,290120,"BAILLIE GIFFORD INVESTMENT MANAGEMENT (SHANGHAI) LIMITED","BAILLIE GIFFORD INVESTMENT MANAGEMENT (SHANGHAI) LIMITED","",,"","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","Y","FOREIGN PRIVATE ADVISER","Y","Y","N"
1996340,270217,"BAILLIE GIFFORD ASIA (HONG KONG) LIMITED","BAILLIE GIFFORD ASIA (HONG KONG) LIMITED","",,"","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","","","Y","Y","N"
1988527,378336,"HSBC TRUSTEES (INDIA) PRIVATE LIMITED","HSBC TRUSTEES (INDIA) PRIVATE LIMITED","",,"","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","N","","Y","N","N"
1988527,356009,"HSBC GLOBAL ASSET MANAGEMENT (UK) LIMITED","HSBC GLOBAL ASSET MANAGEMENT (UK) LIMITED","801-71863",154700,"","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","N","","Y","N","N"
1988527,339530,"HSBC SECURITIES AND CAPITAL MARKETS (INDIA) PRIVATE LIMITED","HSBC SECURITIES AND CAPITAL MARKETS (INDIA) PRIVATE LIMITED","",,"","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","","","","","","","","N","N","","Y","N","N"
1988527,339529,"THE HONGKONG AND SHANGHAI BANKING CORPORATION INDIA BRANCH","THE HONGKONG AND SHANGHAI BANKING CORPORATION INDIA BRANCH","",,"","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","N","","Y","N","Y"
1999111,340148,"EPIQ CAPITAL GP, LLC","EPIQ CAPITAL GP, LLC","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","N","N"
1999111,339882,"EPIQ CAPITAL MANAGEMENT LLC","EPIQ CAPITAL MANAGEMENT LLC","802-117019",304625,"","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","Y","VENTURE CAPITAL FUND ADVISER","N","N","N"
1990404,213695,"LIGHTBOX INDIA ADVISORS PRIVATE LIMITED","LIGHTBOX INDIA ADVISORS PRIVATE LIMITED","",,"","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","","","","","","","","N","Y","EXEMPT REPORTING ADVISOR EXEMPTION","N","Y","N"
1996833,339187,"UNIFI CAPITAL PRIVATE LIMITED","UNIFI CAPITAL PRIVATE LIMITED","",,"","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","","","","","","","","N","Y","FOREIGN PRIVATE ADVISER","Y","N","N"
1997208,282843,"VERDANE CAPITAL ADVISORS AS","VERDANE CAPITAL ADVISORS","802-108496",283272,"","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","Y","INVESTMENT ADVISERS ACT SECTION 203(M)","N","Y","N"
