"FilingID","ReferenceID","Name of Adviser","SEC File Number","CRD Number"
1946541,357296,"M1 CAPITAL, LLC","",
1946548,357307,"LAUREATE CAPITAL REAL ESTATE MANAGEMENT, LLC","",
1946715,265967,"SSVL (MONACO) S.A.M.","802-114049",298210
1955844,458717,"INNOVATIONSKAPITAL /INNKAP","802-76846",164128
1936990,224675,"CDH INVESTMENT ADVISORY PRIVATE LIMITED","801-108635",163756
1960727,252751,"WAYSTONE","",
1935381,291813,"RRW SAS","",
1935381,192116,"RRW SAS","",
1935381,361379,"RRW SAS","",
1933333,182749,"503 PARTNERS, LLC","802-107547",283349
1933333,182748,"503 PARTNERS, LLC","802-107547",283349
1943539,229207,"GENESIS CAPITAL II LTD","802-118607",308384
1943539,229206,"GENESIS CAPITAL LTD","802-118608",308386
1943539,285301,"GENESIS CAPITAL III LTD","",319354
1963102,477226,"MAKERS INVESTMENT ADVISOR II SG PTE. LTD.","",
1963102,477230,"MAKERS INVESTMENT ADVISOR II SG PTE. LTD.","",
1963102,254447,"MAKERS INVESTMENT ADVISOR II SG PTE. LTD.","",
1963102,355286,"MAKERS INVESTMENT ADVISOR II SG PTE. LTD.","",
1963102,355241,"MAKERS INVESTMENT ADVISOR II SG PTE. LTD.","",
1963102,355254,"MAKERS INVESTMENT ADVISOR II SG PTE. LTD.","",
1963102,355283,"MAKERS INVESTMENT ADVISOR II SG PTE. LTD.","",
1963102,287411,"MAKERS INVESTMENT ADVISOR II SG PTE. LTD.","",
1963102,287967,"MAKERS INVESTMENT ADVISOR II SG PTE. LTD.","",
1947490,447721,"ORDER OF MAGNITUDE LLC","",
1958151,60744,"BEIDMCI LIMITED","",
1959690,422414,"HUAXING ASSOCIATES III, L.P.","",330910
1955793,210436,"GEOMATRIX","",290058
1955793,210437,"GEOMATRIX","",290058
1955793,251768,"GEOMATRIX","",290058
1955793,251769,"GEOMATRIX","",290058
1955793,251770,"GEOMATRIX","",290058
1935930,370057,"PAI PARTNERS","",335169
1935930,317128,"PAI PARTNERS","",335169
1935930,317131,"PAI PARTNERS","",335169
1935930,317134,"PAI PARTNERS","",335169
1935930,234965,"PAI PARTNERS","",335169
1940974,422864,"STONESHIELD INVESTMENTS LIMITED","",320933
1940974,422867,"STONESHIELD INVESTMENTS LIMITED","",320933
1940974,422865,"STONESHIELD INVESTMENTS, S.L.","",320942
1940978,422860,"STONESHIELD INVESTMENTS LIMITED","",320933
1940978,422650,"STONESHIELD INVESTMENTS LIMITED","",320933
1940978,422862,"STONESHIELD INVESTMENTS, S.L.","",320942
1961121,199208,"MILLSTONE CAPITAL ADVISORS, LLC","802-107648",167266
1961121,66456,"MILLSTONE CAPITAL ADVISORS, LLC","802-107648",167266
1935930,234973,"PAI PARTNERS","",335169
1935930,234975,"PAI PARTNERS","",307105
1935930,231235,"PAI PARTNERS","",335169
1935930,231236,"PAI PARTNERS","",335169
1935930,231240,"PAI PARTNERS","",335169
1935930,234968,"PAI PARTNERS","",335169
1935930,231239,"PAI PARTNERS","",335169
1935930,234966,"PAI PARTNERS","",335169
1935930,234971,"PAI PARTNERS","",335169
1935930,284565,"PAI PARTNERS","",335169
1935930,284567,"PAI PARTNERS","",335169
1935930,284572,"PAI PARTNERS","",335169
1935930,370056,"PAI PARTNERS","",335169
1935930,370058,"PAI PARTNERS","",335169
1935930,284570,"PAI PARTNERS","",335169
1935930,284569,"PAI PARTNERS","",335169
1935930,454176,"PAI PARTNERS","",335169
1935930,370054,"PAI PARTNERS","",335169
1944857,257276,"TRINITY ALPS CAPITAL","801-117657",287741
1937415,420985,"GEN II MANAGEMENT COMPANY (LUXEMBOURG) SARL","",
1937415,420987,"GEN II MANAGEMENT COMPANY (LUXEMBOURG) SARL","",
1926655,436306,"INFRANITY S.A.S.","",
1951608,315161,"IQEQ FUND MANAGEMENT (LUXEMBOURG) S.A.","802-122482",316554
1966671,67636,"VISION KNIGHT CAPITAL (CHINA) GP II, L.P.","",307843
1966671,67635,"VISION KNIGHT CAPITAL (CHINA) GP II, L.P.","",307843
1969529,234750,"VISION KNIGHT CAPITAL (CHINA) GP II, L.P.","802-118529",307843
1969529,234499,"VISION KNIGHT CAPITAL (CHINA) GP II, L.P.","802-118529",307843
1969535,234507,"VISION KNIGHT CAPITAL (CHINA) GP II, L.P.","802-118529",307843
1969535,234505,"VISION KNIGHT CAPITAL (CHINA) GP II, L.P.","802-118529",307843
1931982,180856,"WENDEL LUXEMBOURG SA","",
1931982,180880,"WENDEL LUXEMBOURG SA","",
1957924,465745,"M13 VENTURES MANAGEMENT, LLC","802-118096",301245
1957924,376445,"M13 VENTURES MANAGEMENT, LLC","802-118096",301245
1957924,376443,"M13 VENTURES MANAGEMENT, LLC","802-118096",301245
1957924,231106,"M13 VENTURES MANAGEMENT, LLC","802-118096",301245
1957924,264647,"M13 VENTURES MANAGEMENT, LLC","802-118096",301245
1957924,282140,"M13 VENTURES MANAGEMENT, LLC","802-118096",301245
1957924,282139,"M13 VENTURES MANAGEMENT, LLC","802-118096",301245
1957924,308436,"M13 VENTURES MANAGEMENT, LLC","802-118096",301245
1957924,282138,"M13 VENTURES MANAGEMENT, LLC","802-118096",301245
1957924,264617,"M13 VENTURES MANAGEMENT, LLC","802-118096",301245
1957924,264564,"M13 VENTURES MANAGEMENT, LLC","802-118096",301245
1957924,465736,"M13 VENTURES MANAGEMENT, LLC","802-118096",301245
1959479,360038,"500 GLOBAL","802-74642",161526
1959479,196328,"500 GLOBAL","802-74642",161526
1960452,255422,"500 GLOBAL","802-74642",161526
1960452,196357,"500 GLOBAL","802-74642",161526
1937879,373582,"PINEBRIDGE INVESTMENTS IRELAND LIMITED","",
1940016,367878,"GORDIAN CAPITAL SINGAPORE PRIVATE LIMITED","801-114176",281555
1940016,367700,"GORDIAN CAPITAL SINGAPORE PRIVATE LIMITED","801-114176",281555
1951631,244213,"ATLANTIC BRIDGE IV GP LIMITED","",
1946916,256081,"EASTERN BELL CAPITAL II LIMITED","",313363
1946390,356675,"LFE CAPITAL XXI LLC (EXEMPT UNDER SECTION 203(B)(7) OF ADVISORS ACT","",
1963889,363926,"WOORI VENTURE PARTNERS CO. LTD","",
1963889,304141,"WOORI VENTURE PARTNERS CO. LTD","",
1963889,247461,"WOORI VENTURE PARTNERS CO. LTD","",
1963889,363928,"WOORI VENTURE PARTNERS CO. LTD","",
1937879,252955,"PINEBRIDGE INVESTMENTS IRELAND LIMITED","",
1937879,233840,"PINEBRIDGE INVESTMENTS IRELAND LIMITED","",
1937879,237389,"PINEBRIDGE INVESTMENTS IRELAND LIMITED","",
1937879,61512,"PINEBRIDGE INVESTMENTS IRELAND LIMITED","",
1937879,376862,"PINEBRIDGE INVESTMENTS IRELAND LIMITED","",
1937879,376272,"PINEBRIDGE INVESTMENTS IRELAND LIMITED","",
1951566,254189,"SHERPA HEALTHCARE CO-INVESTMENT GP LTD.","",
1951566,230552,"SHERPA HEALTHCARE FUND I GP, LTD.","802-118654",308599
1968117,214830,"OVATA CAPITAL MANAGEMENT SINGAPORE PTE. LTD.","",
1935206,372263,"TOWNSQUARE INVESTMENT MANAGEMENT LIMITED","",
1935206,230105,"MIRAE ASSET GLOBAL INVESTMENTS CO., LTD","",
1945307,268597,"ALTIO CAPITAL LTD.","",
1934927,424436,"ANGELLIST ADVISORS","802-78135",167700
1939296,355251,"HSBC MANAGEMENT (GUERNSEY) LIMITED","802-80648",172522
1939296,252508,"HSBC MANAGEMENT (GUERNSEY) LIMITED","802-80648",172522
1939296,234528,"HSBC MANAGEMENT (GUERNSEY) LIMITED","802-80648",172522
1939296,295957,"HSBC MANAGEMENT (GUERNSEY) LIMITED","802-80648",172522
1942055,371957,"REGAL PARTNERS LIMITED","801-77723",165751
1966647,355465,"PACIFIC ALLIANCE INVESTMENT MANAGEMENT (HK) LIMITED","802-113483",296741
1966647,200573,"PACIFIC ALLIANCE INVESTMENT MANAGEMENT (HK) LIMITED","802-113483",296741
1966647,291239,"PACIFIC ALLIANCE INVESTMENT MANAGEMENT (HK) LIMITED","802-113483",296741
1967153,374750,"ARTEMIS ADVISORY PARTNERS LTD","",
1967153,374757,"ROYALTON PARTNERS S.A.","802-110655",286015
1967153,374763,"ROYALTON PARTNERS S.A.","802-110655",286015
1953687,286309,"BLACKROCK FINANCIAL MANAGEMENT, INC","801-48433",107105
1966437,479918,"B CAPITAL GROUP U.S., LLC","",
1966437,479960,"B CAPITAL GROUP U.S., LLC","",
1945103,438596,"JBF CAPITAL, INC.","801-73999",131277
1949858,449689,"INSIGHT VENTURE PARTNERS","801-67560",142994
1942791,251159,"DOVETAIL INVESTMENT MANAGEMENT LIMITED","",
1947146,211448,"ESD MANAGEMENT VI LLC","",
1947146,65759,"ESD MANAGEMENT V LLC","",
1947146,363805,"BSD ADVISORS LLC","",
1951567,384429,"HONGKONG YANGTZE RIVER ASSET MANAGEMENT COMPANY LIMITED","",
1951567,385292,"HONGKONG YANGTZE RIVER ASSET MANAGEMENT COMPANY LIMITED","",
1949140,447685,"3IQ DIGITAL ASSETS GLOBAL LTD.","",
1949140,447684,"EXPONENTIAL AGE ASSET MANAGEMENT LTD.","",
1965213,355465,"PACIFIC ALLIANCE INVESTMENT MANAGEMENT (HK) LIMITED","802-113483",296741
1965213,200573,"PACIFIC ALLIANCE INVESTMENT MANAGEMENT (HK) LIMITED","802-113483",296741
1965213,291239,"PACIFIC ALLIANCE INVESTMENT MANAGEMENT (HK) LIMITED","802-113483",296741
1953854,46825,"LILLY ASIA VENTURES FUND GP, L.P.","",
1953854,168510,"LAV GP III, L.P.","",
1953854,46823,"LILLY ASIA VENTURES FUND GP, L.P.","",
1953854,168508,"LAV GP III, L.P.","",
1955198,190548,"LAV GP IV, L.P.","",
1968123,285697,"DWS INVESTMENT S.A.","802-115197",300838
1953779,216614,"GRIFFIN ASSET MANAGEMENT LLC","802-110203",268821
1967530,418793,"WILLOW INVESTMENT MANAGEMENT LLC","",
1954995,19413,"SARASIN FUNDS MANAGEMENT (IRELAND) LIMITED","",
1954995,19420,"SARASIN FUNDS MANAGEMENT (IRELAND) LIMITED","",
1954995,19428,"SARASIN FUNDS MANAGEMENT (IRELAND) LIMITED","",
1967185,365417,"HELFORD CAPITAL PARTNERS LLP","802-128429",327219
1967185,365205,"HELFORD CAPITAL PARTNERS LLP","802-128429",327219
1967185,398920,"HELFORD CAPITAL PARTNERS LLP","802-128429",327219
1946067,377627,"RS FUND MANAGER, LP","802-119373",310312
1946067,377626,"RS FUND MANAGER, LP","802-119373",310312
1946067,358809,"RS FUND MANAGER, LP","802-119373",310312
1955910,31241,"SPINNAKER ASSET MANAGEMENT - SAM LIMITED","802-75616",160208
1960547,286310,"CREADOR MANAGEMENT V LTD","",
1960547,77731,"CREADOR MANAGEMENT COMPANY II LTD","",
1960547,57744,"CREADOR MANAGEMENT COMPANY II LTD","",
1960547,164164,"CREADOR MANAGEMENT III LTD","",
1960547,216815,"CREADOR MANAGEMENT IV LTD","",
1960547,476085,"CREADOR MANAGEMENT VI LTD","",
1960688,377322,"500 GLOBAL MANAGEMENT KOREA LC","",
1960688,377330,"500 GLOBAL MANAGEMENT MALAYSIA SDN. BHD.","",
1961536,371383,"MARCH FUND MANAGEMENT LIMITED","",
1961536,309751,"MARCH FUND MANAGEMENT LIMITED","",
1964950,420500,"KSI III GP, LLC","",
1964950,420452,"KSI III GP, LLC","",
1963009,310703,"IQEQ FUND MANAGEMENT (LUXEMBOURG) S.A.","802-122482",316554
1963009,310702,"IQEQ FUND MANAGEMENT (LUXEMBOURG) S.A.","802-122482",316554
1963009,418481,"PLURAL II GP SARL","",
1969070,257153,"IP VENTURES (SCOTLAND) LIMITED","",
1971706,14703,"SEE SCHEDULE D - MISCELLANEOUS","",
1954050,186789,"ANGELLIST ADVISORS","802-78135",167700
1954050,186824,"ANGELLIST ADVISORS","802-78135",167700
1968090,76643,"GINGKO ASSET MANAGEMENT LIMITED","",
1937681,221006,"PANACEA VENTURE HEALTHCARE FUND GP I, L.P.","802-118546",308298
1928578,477252,"STONEHAGE FLEMING","801-122831",313913
1928578,477267,"STONEHAGE FLEMING","801-122831",313913
1964663,418539,"AVERROES PARTNERS LP","",
1952539,396720,"PERMIRA EUROPEAN CLO MANAGER LLP","",
1952539,300385,"PERMIRA EUROPEAN CLO MANAGER LLP","",
1952539,255763,"PERMIRA EUROPEAN CLO MANAGER LLP","",
1952539,200206,"PERMIRA CREDIT GROUP HOLDINGS LIMITED","",
1952539,218235,"PERMIRA CREDIT GROUP HOLDINGS LIMITED","",
1952539,237806,"PERMIRA CREDIT GROUP HOLDINGS LIMITED","",
1952539,237808,"PERMIRA EUROPEAN CLO MANAGER LLP","",
1952539,292740,"PERMIRA EUROPEAN CLO MANAGER LLP","",
1952539,330963,"PERMIRA EUROPEAN CLO MANAGER LLP","",
1952539,396525,"PERMIRA EUROPEAN CLO MANAGER LLP","",
1964196,479921,"CEDAR TREE ADVISORS LLC, A FLORIDA LIMITED LIABILITY COMPANY","",
1964196,479925,"BRIDGESPAN EB SUBADVISOR LLC, A DELAWARE LIMITED LIABILITY COMPANY","",
1967116,484096,"CARLYLE CLO PARTNERS MANAGER L.L.C.","",
1967116,484091,"CARLYLE CLO PARTNERS MANAGER L.L.C.","",
1967116,358678,"CARLYLE CLO MANAGEMENT EUROPE, LLC","",309609
1967116,358674,"CARLYLE CLO MANAGEMENT EUROPE, LLC","",309609
1967116,358676,"CARLYLE CLO MANAGEMENT EUROPE, LLC","",309609
1974081,33374,"HORIZON CAPITAL ASSOCIATES, LLC","",
1974081,201031,"HORIZON CAPITAL ASSOCIATES III, LLC","",
1974081,307910,"HORIZON CAPITAL ASSOCIATES II, LLC","",
1974081,307918,"HORIZON CAPITAL ASSOCIATES II, LLC","",
1974081,419025,"HORIZON CAPITAL ASSOCIATES IV, LLC","",
1974081,419030,"HORIZON CAPITAL GP IV, LLC","",
1957790,191519,"GEN2 FUND SERVICES","",
