"FilingID","ReferenceID","Form D File Number"
2004778,284825,"021-419922"
2004778,356640,"021-478373"
2004778,285250,"021-41992201"
2003730,217753,"021-327911"
2003730,26120,"021-104290"
2003730,77589,"021-223891"
2003730,77592,"021-226251"
2003730,77593,"021-226248"
2003730,26112,"021-87192"
2003730,337256,"021-463894"
2003730,217815,"021-331784"
2003730,337253,"021-450923"
2003730,337491,"021-463883"
2003730,337260,"021-463895"
2003730,337266,"021-450919"
2003730,255310,"021-373899"
2003730,26125,"021-159885"
2003730,291064,"021-416796"
2003730,34109,"021-90456"
2003730,291068,"021-416800"
2003730,26128,"021-159884"
2003730,26132,"021-143051"
2003730,188601,"021-258263"
2003730,77570,"021-211981"
2003730,26145,"021-159890"
2003730,26118,"021-116428"
2003730,337237,"021-450920"
2003730,337269,"021-463878"
2003730,337492,"021-463887"
2003730,337270,"021-463879"
2003730,188602,"021-258265"
2003730,254979,"021-374307"
2003730,337248,"021-463890"
2003730,188595,"021-258257"
2003730,255269,"021-369472"
2003730,255302,"021-375106"
2003730,255304,"021-374306"
2003730,254966,"021-369473"
2003730,255210,"021-374309"
2003730,255201,"021-369475"
2003730,290045,"021-416791"
2003730,217805,"021-331782"
2003730,255305,"021-373898"
2003730,77563,"021-211977"
2003730,26123,"021-143058"
2003730,337240,"021-463889"
2003730,337489,"021-450924"
2003730,26115,"021-90456"
2003730,26116,"021-104289"
2003730,217769,"021-314913"
2003730,77562,"021-211976"
2003730,291070,"021-416041"
2003730,217780,"021-331777"
2003730,50964,"021-186907"
2003730,217714,"021-314912"
2003730,217775,"021-331773"
2003730,255202,"021-375107"
2003730,50966,"021-182763"
2003730,188598,"021-258261"
2003730,188593,"021-258249"
2003730,188596,"021-258253"
2003730,34196,"021-159887"
2003730,50963,"021-182782"
2003730,217801,"021-314911"
1981548,370870,"021-549494"
1981548,370871,"021-549496"
1981548,370872,"021-549497"
1981548,370869,"021-549493"
1981548,370874,"021-549498"
1981548,370865,"021-549486"
1981548,370875,"021-549500"
1981548,370876,"021-550321"
1981548,485423,"021-550320"
1981548,485463,"021-550287"
1981548,485458,"021-549505"
1981548,485460,"021-549509"
1981548,485461,"021-550285"
1981548,485462,"021-550286"
1981548,485424,"021-550304"
1981548,485456,"021-549502"
1981548,485457,"021-549503"
1981548,485459,"021-549506"
1981548,485475,"021-550303"
1981548,485464,"021-550288"
1981548,485465,"021-550290"
1981548,485466,"021-550291"
1981548,485467,"021-550292"
1981548,485468,"021-550293"
1981548,485469,"021-550294"
1981548,485470,"021-550297"
1981548,485471,"021-550298"
1981548,485472,"021-550299"
1981548,485473,"021-550301"
1981548,485431,"021-550306"
1981548,485427,"021-550305"
1981548,485474,"021-550302"
1981548,370867,"021-549491"
1981548,370866,"021-549487"
1981548,370868,"021-549492"
1999165,199162,"021-301974"
1999165,218648,"021-305676"
1996769,229767,"021-327730"
1996769,210884,"021-32363"
