"FilingID","ReferenceID","Name of Auditing Firm","City","State","Country","Independent","PCAOB Registered","PCAOB Number","PCAOB Inspected"
1999631,250267,"BDO USA, LLP","FORT WORTH","Texas","United States","Y","Y",243,"Y"
1999631,250267,"BDO CAYMAN LTD.","GRAND CAYMAN","","Cayman Islands","Y","Y",2162,"Y"
1999631,435879,"BDO USA, LLP","FORT WORTH","Texas","United States","Y","Y",243,"Y"
2007887,491209,"BAKER TILLY","LOS ANGELES","California","United States","Y","Y",23,"Y"
2007887,491209,"MOSS ADAMS","LOS ANGELES","California","United States","Y","Y",659,"Y"
2006870,490782,"EISNERAMPER LLP","NEW YORK","New York","United States","Y","Y",274,"Y"
2013257,23317,"BDO USA LLP","SAN FRANCISCO","California","United States","Y","Y",243,"Y"
2013257,23389,"BDO USA LLP","SAN FRANCISCO","California","United States","Y","Y",243,"Y"
2013257,23396,"BDO USA LLP","SAN FRANCISCO","California","United States","Y","Y",243,"Y"
2013257,23419,"BDO USA LLP","SAN FRANCISCO","California","United States","Y","Y",243,"Y"
2013131,215327,"PRICEWATERHOUSE COOPERS","GEORGETOWN","","Cayman Islands","Y","Y",1266,"Y"
2013190,492240,"INDICATOR GLOBAL","NEW YORK","New York","United States","Y","N",,""
2010625,33292,"ERNST & YOUNG TERCO","SAO PAULO","","Brazil","Y","Y",1448,"Y"
2010625,77313,"ERNST & YOUNG TERCO","SAO PAULO","","Brazil","Y","Y",1448,"Y"
2010625,177047,"ERNST & YOUNG TERCO","BRAZIL","","Brazil","Y","Y",1448,"Y"
2008743,308063,"PRICEWATERHOUSE COOPERS, LTDA.","MONTEVIDEO","","Uruguay","Y","N",,""
2008743,491352,"PRICEWATERHOUSE COOPERS, LTDA.","MONTEVIDEO","","Uruguay","Y","N",,""
2008743,167453,"PRICEWATERHOUSE COOPERS, LTDA.","MONTEVIDEO","","Uruguay","Y","N",,""
2008743,230528,"PRICEWATERHOUSE COOPERS, LTDA.","MONTEVIDEO","","Uruguay","Y","N",,""
2008743,308075,"PRICEWATERHOUSE COOPERS, LTDA.","MONTEVIDEO","","Uruguay","Y","N",,""
2008743,249409,"PRICEWATERHOUSE COOPERS, LTDA.","MONTEVIDEO","","Uruguay","Y","N",,""
2008743,308073,"PRICEWATERHOUSE COOPERS, LTDA.","MONTEVIDEO","","Uruguay","Y","N",,""
2006901,491199,"GRANT THORNTON (CAYMAN) LTD.","GEORGE TOWN","","Cayman Islands","Y","Y",81,"Y"
2011032,492259,"GBQ PARTNERS LLC","COLUMBUS","Ohio","United States","Y","Y",1808,"Y"
2011032,492260,"GBQ PARTNERS LLC","COLUMBUS","Ohio","United States","Y","Y",1808,"Y"
2011032,492043,"GBQ PARTNERS LLC","COLUMBUS","Ohio","United States","Y","Y",1808,"Y"
2011032,492040,"GBQ PARTNERS LLC","COLUMBUS","Ohio","United States","Y","Y",1808,"Y"
2013444,492263,"THE MARSTON GROUP, PLC","MEMPHIS","Tennessee","United States","Y","N",,""
2009722,491423,"FRANK, RIMERMAN + CO. LLP","SAN JOSE","California","United States","Y","Y",1596,"Y"
2008177,487506,"ERNST & YOUNG","GRAND CAYMAN","","Cayman Islands","Y","Y",1438,"Y"
2009919,491717,"INDICATOR GLOBAL","NEW YORK","New York","United States","Y","N",,""
2009690,484044,"ERNST & YOUNG LLP","DUBLIN","","Ireland","Y","Y",42,"Y"
2009010,367989,"BDO AG WIRTSCHAFTSPRUFUNGSGESELLSCHAFT","KASSEL","","Germany","Y","Y",1010,"Y"
2008359,483827,"BDO USA, P.C.","GRAND RAPIDS","Michigan","United States","Y","Y",243,"Y"
2008359,244985,"BDO USA, P.C.","GRAND RAPIDS","Michigan","United States","Y","Y",243,"Y"
2008359,244984,"BDO USA, P.C.","GRAND RAPIDS","Michigan","United States","Y","Y",243,"Y"
2008359,171848,"BDO","GRAND RAPIDS","Michigan","United States","Y","Y",243,"Y"
2008359,182387,"BDO USA, P.C.","GRAND RAPIDS","Michigan","United States","Y","Y",243,"Y"
2006356,18036,"DELOITTE TOUCHE TOHMATSU CERTIFIED PUBLIC ACCOUNTANTS LLP","SHANGHAI","","China","Y","Y",1113,"Y"
2006356,18038,"KPMG","HONG KONG","","Hong Kong","Y","Y",1181,"N"
2006356,198282,"KPMG","CAYMAN ISLANDS","","Cayman Islands","Y","Y",1323,"Y"
2006356,253271,"PRICEWATERHOUSECOOPERS","CAYMAN ISLANDS","","Cayman Islands","Y","Y",1266,"Y"
2006356,450031,"PRICEWATERHOUSECOOPERS","CAYMAN ISLANDS","","Cayman Islands","Y","Y",1266,"Y"
2006356,253273,"PRICEWATERHOUSECOOPERS","CAYMAN ISLANDS","","Cayman Islands","Y","Y",1266,"Y"
2006356,51010,"KPMG","CAYMAN ISLANDS","","Cayman Islands","Y","Y",1323,"Y"
2006356,51005,"PRICEWATERHOUSECOOPERS","CAYMAN ISLANDS","","Cayman Islands","Y","Y",1266,"Y"
2006356,188367,"PRICEWATERHOUSECOOPERS","CAYMAN ISLANDS","","Cayman Islands","Y","Y",1266,"Y"
2006356,18034,"DELOITTE TOUCHE TOHMATSU CERTIFIED PUBLIC ACCOUNTANTS LLP","SHANGHAI","","China","Y","Y",1113,"Y"
2006356,449526,"PRICEWATERHOUSECOOPERS","CAYMAN ISLANDS","","Cayman Islands","Y","Y",1266,"Y"
2010515,491979,"INDICATOR GLOBAL","NEW YORK","New York","United States","Y","N",,""
2009014,491307,"INDICATOR GLOBAL","NEW YORK","New York","United States","Y","N",,""
2005923,490467,"FORVIS MAZARS","HUSTON","Texas","United States","Y","Y",686,"Y"
2004883,490176,"FRANK RIMERMAN + CO. L.L.P.","PALO ALTO","California","United States","Y","Y",1608,"Y"
2007644,425166,"PRICEWATERHOUSECOOPERS","GRAND CAYMAN","","Cayman Islands","Y","Y",1266,"Y"
2007300,491192,"KPMG LLP","GEORGE TOWN","","Cayman Islands","Y","Y",1323,"Y"
2008611,425652,"APRIO, LLP","NEW YORK","New York","United States","Y","Y",926,"Y"
2008611,454417,"APRIO, LLP","NEW YORK","New York","United States","Y","Y",926,"Y"
2004963,437691,"KPMG LLP","BOSTON","Massachusetts","United States","Y","Y",185,"Y"
2012137,273141,"PRICEWATERHOUSECOOPERS LLP","SAN FRANCISCO","California","United States","Y","Y",238,"Y"
2012137,428414,"PRICEWATERHOUSECOOPERS LLP","SAN FRANCISCO","California","United States","Y","Y",238,"Y"
2011357,492068,"WEAVER AND TIDWELL, LLP","WOODLAND HILLS","California","United States","Y","Y",410,"Y"
2009171,250704,"WEAVER & TIDWELL, LLP","MANHATTAN BEACH","California","United States","Y","Y",410,"Y"
2010034,420574,"ERNST & YOUNG LTD.","GRAND CAYMAN","","Cayman Islands","Y","Y",1655,"Y"
2010034,420567,"ERNST & YOUNG LTD.","GRAND CAYMAN","","Cayman Islands","Y","Y",1655,"Y"
2002573,315318,"SENSIBA SAN FILIPPO LLP","PLEASANTON","California","United States","Y","Y",854,"Y"
2002573,376055,"SENSIBA SAN FILIPPO LLP","PLEASANTON","California","United States","Y","Y",854,"Y"
2002573,315315,"SENSIBA SAN FILIPPO LLP","PLEASANTON","California","United States","Y","Y",854,"Y"
2013204,492242,"INDICATOR GLOBAL","NEW YORK","New York","United States","Y","N",,""
2013238,203817,"BDO USA LLP","SAN FRANCISCO","California","United States","Y","Y",243,"Y"
2013238,361991,"BDO USA LLP","SAN FRANCISCO","California","United States","Y","Y",243,"Y"
2013238,288050,"BDO USA LLP","SAN FRANCISCO","California","United States","Y","Y",243,"Y"
2013238,203809,"BDO USA LLP","SAN FRANCISCO","California","United States","Y","Y",243,"Y"
2013238,54780,"BDO USA LLP","SAN FRANCISCO","California","United States","Y","Y",243,"Y"
2013238,54781,"BDO USA LLP","SAN FRANCISCO","California","United States","Y","Y",243,"Y"
2005936,313999,"COHEN & COMPANY, LTD","CLEVELAND","Ohio","United States","Y","Y",925,"Y"
2005936,370384,"COHEN & COMPANY, LTD","CLEVELAND","Ohio","United States","Y","Y",925,"Y"
2005936,370385,"COHEN & COMPANY, LTD","CLEVELAND","Ohio","United States","Y","Y",925,"Y"
2005936,476072,"COHEN & COMPANY, LTD","CLEVELAND","Ohio","United States","Y","Y",925,"Y"
2005936,476075,"COHEN & COMPANY, LTD","CLEVELAND","Ohio","United States","Y","Y",925,"Y"
2006384,490752,"BAKER TILLY, LLP","CHICAGO","Illinois","United States","Y","Y",23,"Y"
2006384,490754,"PWC - PRICEWATERHOUSECOOPERS LLP","CHICAGO","Illinois","United States","Y","Y",238,"Y"
2006384,490755,"BAKER TILLY, LLP","CHICAGO","Illinois","United States","Y","Y",23,"Y"
2006384,490751,"BAKER TILLY, LLP","CHICAGO","Illinois","United States","Y","Y",23,"Y"
2013278,303335,"BAKER TILLY US, LLP","CHICAGO","Illinois","United States","Y","Y",23,"Y"
2013278,235349,"BAKER TILLY US, LLP","CHICAGO","Illinois","United States","Y","Y",23,"Y"
2013278,235351,"BAKER TILLY US, LLP","CHICAGO","Illinois","United States","Y","Y",23,"Y"
2004455,489978,"BERKOWER LLC","ISELIN","New Jersey","United States","Y","Y",217,"Y"
2006160,11415,"MELTON & MELTON LLP","HOUSTON","Texas","United States","Y","Y",777,"Y"
2006681,178435,"DELOITTE & TOUCHE LLP","SAN FRANCISCO","California","United States","Y","Y",34,"Y"
2001541,436204,"DELOITTE LLP","TORONTO, ONTARIO","","Canada","Y","Y",1208,"Y"
2001541,429262,"DELOITTE LLP","TORONTO, ONTARIO","","Canada","Y","Y",1208,"Y"
2012375,286264,"BARNES, DENNIG & CO., LTD.","CINCINNATI","Ohio","United States","Y","Y",642,"Y"
2012375,286266,"BARNES, DENNIG & CO., LTD.","CINCINNATI","Ohio","United States","Y","Y",642,"Y"
2012375,266990,"BARNES, DENNIG & CO., LTD","CINCINNATI","Ohio","United States","Y","Y",642,"Y"
2009836,21264,"ERNST & YOUNG","PHILADELPHIA","Pennsylvania","United States","Y","Y",42,"Y"
2007544,205220,"RSM US LLP","NEW YORK","New York","United States","Y","Y",49,"Y"
2007544,430425,"RSM US LLP","NEW YORK","New York","United States","Y","Y",49,"Y"
2007043,177778,"BAKER TILLY US, LLP","TEWKSBURY","Massachusetts","United States","Y","Y",23,"Y"
2007043,177780,"BAKER TILLY US, LLP","TEWKSBURY","Massachusetts","United States","Y","Y",23,"Y"
2007043,177779,"BAKER TILLY US, LLP","TEWKSBURY","Massachusetts","United States","Y","Y",23,"Y"
2007043,177781,"RSM AUDIT LUXEMBOURG S.A.R.L","LUXEMBOURG CITY","","Luxembourg","Y","N",,""
2005840,490462,"FRANK RIMMERMAN","SAN FRANCISCO","California","United States","Y","Y",1596,"Y"
2010751,485448,"BDO USA, P.C.","BOSTON","Massachusetts","United States","Y","Y",243,"Y"
2008945,277998,"FRANK, RIMERMAN + CO. LLP","SAN FRANCISCO","California","United States","Y","Y",1596,"Y"
2008945,277875,"FRANK, RIMERMAN + CO. LLP","SAN FRANCISCO","California","United States","Y","Y",1596,"Y"
2005831,317667,"RSM","NEW YORK","New York","United States","Y","Y",49,"Y"
2005831,317668,"RSM","NEW YORK","New York","United States","Y","Y",49,"Y"
2010812,211979,"WITHUMSMITH+BROWN, PC","PHILADELPHIA","Pennsylvania","United States","Y","Y",100,"Y"
2010812,257153,"KPMG, LLP","LONDON","","United Kingdom","Y","Y",185,"Y"
2010812,277398,"WITHUMSMITH+BROWN, PC","PHILADELPHIA","Pennsylvania","United States","Y","Y",100,"Y"
2010812,255188,"WITHUMSMITH+BROWN, PC","PENNSYLVANIA","Pennsylvania","United States","Y","Y",100,"Y"
2010826,211979,"WITHUMSMITH+BROWN, PC","PHILADELPHIA","Pennsylvania","United States","Y","Y",100,"Y"
2010826,257153,"KPMG, LLP","LONDON","","United Kingdom","Y","Y",185,"Y"
2010826,277398,"WITHUMSMITH+BROWN, PC","PHILADELPHIA","Pennsylvania","United States","Y","Y",100,"Y"
2010826,255188,"WITHUMSMITH+BROWN, PC","PENNSYLVANIA","Pennsylvania","United States","Y","Y",100,"Y"
2010970,421733,"KPMG LLP","LONDON","","United Kingdom","N","Y",1118,"Y"
2010970,6899,"KPMG LLP","LONDON","","United Kingdom","N","Y",1118,"Y"
2010970,6913,"DELOITTE LLP","LONDON","","United Kingdom","N","Y",1147,"Y"
2010970,364297,"KPMG LLP","LONDON","","United Kingdom","N","Y",1118,"Y"
2010970,364299,"DELOITTE LLP","LONDON","","United Kingdom","N","Y",1147,"Y"
2010970,6932,"KPMG LLP","LONDON","","United Kingdom","N","Y",1118,"Y"
2010970,364298,"DELOITTE LLP","LONDON","","United Kingdom","N","Y",1147,"Y"
