"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
1932050,43960,"UBS AG, LONDON BRANCH","",,"LONDON","","United Kingdom","Y"
1932050,43960,"MORGAN STANLEY & CO. INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1928486,281268,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1928005,181009,"JONESTRADING","8-26089",6888,"NEW YORK","New York","United States","N"
1904925,230936,"CITIBANK, N.A. LONDON BRANCH","",,"LONDON","","United Kingdom","N"
1904925,230936,"STANDARD CHARTERED BANK","",,"LONDON","","United Kingdom","N"
1904925,230936,"DEUTSCHE BANK AG","",,"SINGAPORE","","Singapore","N"
1904925,230936,"GOLDMAN SACHS & CO. LLC","",,"NEW YORK","New York","United States","N"
1904925,230936,"STANDARD CHARTERED BANK (HONG KONG) LIMITED","",,"HONG KONG","","Hong Kong","N"
1904925,230936,"J.P. MORGAN SECURITIES LLC","",,"NEW YORK","New York","United States","N"
1904925,230936,"BANK OF AMERICA SECURITIES INC.","",,"NEW YORK","New York","United States","N"
1904925,230936,"BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","N"
1927419,234643,"PERSHING LLC","8-17574",7560,"JERSEY CITY","New Jersey","United States","Y"
1927419,247208,"PERSHING LLC","8-17574",7560,"JERSEY CITY","New Jersey","United States","Y"
1927187,246238,"VELOCITY CLEARING, LLC","8-65894",126588,"HAZLET","New Jersey","United States","N"
1928900,319171,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1928900,319171,"THE BANK OF NEW YORK MELLON SA/NV, DUBLIN BRANCH","",,"DUBLIN","","Ireland","Y"
1929765,277694,"UBS AG (LONDON BRANCH)","",,"LONDON","","United Kingdom","Y"
1929765,277694,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1929765,277694,"MERRILL LYNCH INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1929765,277694,"GOLDMAN SACHS INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1925594,355403,"INTERACTIVE BROKERS HONG KONG LTD","",,"HONG KONG","","Hong Kong","Y"
1925594,355403,"MORGAN STANLEY & CO. INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1925594,355403,"UBS AG","",,"LONDON","","United Kingdom","Y"
1925588,20406,"DEUTSCHE BANK SECURITIES INC.","8-17822",2525,"NEW YORK","New York","United States","N"
1933340,269620,"BTIG, LLC","8-65473",122225,"SAN FRANCISCO","California","United States","N"
1930872,436934,"BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","Y"
1930872,436934,"BARCLAYS CAPITAL INC.","",,"NEW YORK","New York","United States","Y"
1930872,436934,"CITIGROUP GLOBAL MARKETS LIMITED IPB","",,"LONDON","","United Kingdom","Y"
1930872,436934,"UBS AG LONDON","",,"LONDON","","United Kingdom","Y"
