"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","Legal Entity Identifier"
1922684,357162,"NATIONAL FINANCIAL SERVICES LLC","NATIONAL FINANCIAL SERVICES LLC","BOSTON","Massachusetts","United States","N","8-26740",
1922684,357162,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","California","United States","N","8-16514",
1922684,248633,"NATIONAL FINANCIAL SERVICES LLC","NATIONAL FINANCIAL SERVICES LLC","BOSTON","Massachusetts","United States","N","8-26740",
1922684,248633,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","California","United States","N","8-16514",
1930486,202739,"U.S. BANK NATIONAL ASSOCIATION","U.S. BANK NATIONAL ASSOCIATION","MINNEAPOLIS","Minnesota","United States","N","",
1930486,174573,"NORTHERN TRUST (GUERNSEY) LIMITED","NORTHERN TRUST (GUERNSEY) LIMITED","ST. PETER PORT","","Guernsey","N","",
1927229,5381,"U.S. BANCORP INVESTMENTS, INC.","U.S. BANCORP INVESTMENTS, INC.","PHILADELPHIA","Pennsylvania","United States","N","8-35359",
1927229,5381,"NORTHBROOK BANK","NORTHBROOK BANK","NORTHBROOK","Illinois","United States","N","",
1925588,196341,"SILICON VALLEY BANK, A MEMBER OF SVB FINANCIAL GROUP","SILICON VALLEY BANK, A MEMBER OF SVB FINANCIAL GROUP","SANTA CLARA","California","United States","N","",
1925588,20406,"SILICON VALLEY BANK, A MEMBER OF SVB FINANCIAL GROUP","SILICON VALLEY BANK, A MEMBER OF SVB FINANCIAL GROUP","SANTA CLARA","California","United States","N","",
1929012,55921,"BTIG, LLC","BTIG, LLC","NEW YORK","New York","United States","N","8-65473",
1929012,55921,"CITIBANK, N.A.","CITIBANK, N.A.","GREENWICH","Connecticut","United States","N","",E57ODZWZ7FF32TWEFA76
1929012,55921,"CIBC FIRSTCARIBBEAN INTERNATIONAL BANK","CIBC FIRSTCARIBBEAN","TORTOLA","","British Virgin Islands","N","",
1929012,181178,"BTIG, LLC","BTIG, LLC","NEW YORK","New York","United States","N","8-65473",
1929012,181178,"CITIBANK, N.A.","CITIBANK, N.A.","GREENWICH","Connecticut","United States","N","",E57ODZWZ7FF32TWEFA76
1929012,181178,"CIBC FIRSTCARRIBEAN INTERNATIONAL BANK","CIBC FIRSTCARRIBEAN","TORTOLA","","British Virgin Islands","N","",
1929012,181178,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.","WILMINGTON","Delaware","United States","N","",B4TYDEB6GKMZO031MB27
1911471,435207,"BANCO CARREGOSA, S.A.","BANCO CARREGOSA, S.A.","LISBON","","Portugal","N","",
1911471,435207,"BISON BANK","BISON BANK","LISBOA","","Portugal","N","",
1911471,435199,"BANCO CARREGOSA, S.A.","BANCO CARREGOSA, S.A.","LISBON","","Portugal","N","",
1911471,435199,"MILLENIUM BCP","MILLENIUM BCP","PORTO SALVO","","Portugal","N","",
1911471,435199,"BANKINTER","BANKINTER","LISBOA","","Portugal","N","",
1911471,435199,"SANTANDER","SANTANDER","LISBON","","Portugal","N","",
1911471,435199,"ABANCA","ABANCA","OPORTO","","Portugal","N","",
1911471,432345,"BANCO CARREGOSA, S.A.","BANCO CARREGOSA, S.A.","LISBON","","Portugal","N","",
1911471,432345,"MILLENIUM BCP","MILLENIUM BCP","PORTO SALVO","","Portugal","N","",
1911471,432345,"BANKINTER","BANKINTER","LISBOA","","Portugal","N","",
1911471,432345,"SANTANDER","SANTANDER","LISBON","","Portugal","N","",
1911471,435198,"CRÉDITO AGRÍCOLA","CRÉDITO AGRÍCOLA","LISBON","","Portugal","N","",
1911471,435198,"BANCO CARREGOSA, S.A.","BANCO CARREGOSA, S.A.","LISBON","","Portugal","N","",
1911471,435198,"MILLENIUM BCP","MILLENIUM BCP","PORTO SALVO","","Portugal","N","",
1911471,435198,"BANKINTER","BANKINTER","LISBOA","","Portugal","N","",
1911471,435198,"SANTANDER","SANTANDER","LISBON","","Portugal","N","",
1911471,435200,"BANCO CARREGOSA, S.A","BANCO CARREGOSA, S.A","LISBON","","Portugal","N","",
1911471,435200,"MILLENIUM BCP","MILLENIUM BCP","PORTO SALVO","","Portugal","N","",
1911471,435200,"BANKINTER","BANKINTER","LISBOA","","Portugal","N","",
1911471,435200,"SANTANDER","SANTANDER","LISBON","","Portugal","N","",
1911471,435201,"BANCO CARREGOSA, S.A.","BANCO CARREGOSA, S.A.","LISBON","","Portugal","N","",
1911471,435201,"BANKINTER","BANKINTER","LISBOA","","Portugal","N","",
1906530,428305,"JPMORGAN CHASE & CO.","JPMORGAN CHASE & CO.","HOUSTON","Texas","United States","N","",8I5DZWZKVSZI1NUHU748
1906530,428304,"JPMORGAN CHASE & CO.","JPMORGAN CHASE & CO.","HOUSTON","Texas","United States","N","",8I5DZWZKVSZI1NUHU748
1916276,435259,"CIBC BANK USA","CIBC BANK USA","CHICAGO","Illinois","United States","N","",B4TYDEB6GKMZO031MB2
1919481,234803,"THE ENTRUST GROUP","THE ENTRUST GROUP","OAKLAND","California","United States","N","",
1919481,252719,"THE ENTRUST GROUP","THE ENTRUST GROUP","OAKLAND","California","United States","N","",
1932608,319567,"SIGNATURE BANK","SIGNATURE BANK","NEW YORK","New York","United States","N","",VLP5AP0XK2GM6GKD1007
1922517,435849,"EDB CUSTODIAL SERVICES LIMITED","EDB CUSTODIAL SERVICES LIMITED","DUBLIN","","Ireland","N","",
1928208,316715,"FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",880157485
1928208,278078,"FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",880157485
1928208,316720,"FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",880157485
1928208,281018,"FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",880157485
1928208,316717,"FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",880157485
1928208,316719,"FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",880157485
1928208,316721,"FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",880157485
1932004,436984,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","NEWARK","Delaware","United States","N","",7H6GLXDRUGQFU57RNE97
1932004,436983,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","NEWARK","Delaware","United States","N","",7H6GLXDRUGQFU57RNE97
1932004,436986,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","NEWARK","Delaware","United States","N","",7H6GLXDRUGQFU57RNE97
1932004,363446,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","NEWARK","Delaware","United States","N","",7H6GLXDRUGQFU57RNE97
1932004,378648,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","NEWARK","Delaware","United States","N","",7H6GLXDRUGQFU57RNE97
1932004,378651,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","NEWARK","Delaware","United States","N","",7H6GLXDRUGQFU57RNE97
1932004,378628,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","NEWARK","Delaware","United States","N","",7H6GLXDRUGQFU57RNE97
1933415,357162,"NATIONAL FINANCIAL SERVICES LLC","NATIONAL FINANCIAL SERVICES LLC","BOSTON","Massachusetts","United States","N","8-26740",
1933415,357162,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","California","United States","N","8-16514",
1924040,436150,"CLEAR STREET LLC","CLEAR STREET LLC","NEW YORK","New York","United States","N","8-69972",
1923892,228368,"WELLS FARGO SECURITIES, LLC","WELLS FARGO SECURITIES, LLC","NEW YORK","New York","United States","N","8-65876",
1925098,436259,"JPMORGAN CHASE BANK, N.A.","CHASE BANK","NEW YORK","New York","United States","N","",7H6GLXDRUGQFU57RNE97
1924892,10917,"COMERICA BANK","COMERICA BANK","SAN JOSE","California","United States","N","",
1924170,224126,"EUROPEAN DEPOSITORY BANK SA","EUROPEAN DEPOSITORY BANK SA","LUXEMBOURG","","Luxembourg","N","",
1924170,397306,"AZTEC FINANCIAL SERVICES","AZTEC FINANCIAL SERVICES","LUXEMBOURG","","Luxembourg","N","",
1924170,237419,"AZTEC FINANCIAL SERVICES","AZTEC FINANCIAL SERVICES","LUXEMBOURG","","Luxembourg","N","",
1924170,284615,"AZTEC FINANCIAL SERVICES","AZTEC FINANCIAL SERVICES","LUXEMBOURG","","Luxembourg","N","",
1924170,362544,"AZTEC FINANCIAL SERVICES","AZTEC FINANCIAL SERVICES","LUXEMBOURG","","Luxembourg","N","",
1924170,396641,"AZTEC FINANCIAL SERVICES (LUXEMBOURG) S:A:","8 RUE LOU HEMMER","SENNINGERBERG","","Luxembourg","N","",
1924170,285697,"ALTER DOMUS DEPOSITARY SERVICES S.À R.L.","ALTER DOMUS DEPOSITARY SERVICES S.À R.L.","LUXEMBOURG","","Luxembourg","N","",
1932050,43960,"MITSUBISHI UFJ INVESTOR SERVICES & BANKING ( LUXEMBOURG) S.A., DUBLIN BRANCH","MUFG","DUBLIN 1","","Ireland","N","",
1924453,190113,"WELLS FARGO PRIME SERVICES, LLC","WELLS FARGO PRIME SERVICES, LLC","NEW YORK","New York","United States","N","8-66677",
1924122,309179,"MORGAN STANLEY & CO. INTERNATIONAL PLC","MORGAN STANLEY & CO. INTERNATIONAL PLC","LONDON","","United Kingdom","N","",
1924122,309179,"GOLDMAN SACHS INTERNATIONAL","GOLDMAN SACHS INTERNATIONAL","LONDON","","United Kingdom","N","",
1924122,309179,"MERRILL LYNCH INTERNATIONAL","MERRILL LYNCH INTERNATIONAL","LONDON","","United Kingdom","N","",
1924122,309546,"THE BANK OF NEW YORK MELLON","THE BANK OF NEW YORK MELLON","ORLANDO","Florida","United States","N","",
1917528,435252,"BARCLAYS BANK PLC","BARCLAYS BANK PLC","LONDON","","United Kingdom","N","",
1917528,435252,"CITIBANK NA","CITIBANK NA","NEW YORK","New York","United States","N","",
1917528,435252,"CITIGROUP GLOBAL MARKETS INC.","CITIGROUP GLOBAL MARKETS INC.","NEW YORK","New York","United States","N","8-8177",
1917528,435252,"GOLDMAN SACHS & CO. LLC","GOLDMAN SACHS & CO. LLC","NEW YORK","New York","United States","N","8-129",
1917528,435252,"J.P. MORGAN SECURITIES LLC","J.P. MORGAN SECURITIES LLC","NEW YORK","New York","United States","N","",
1917528,435252,"J.P. MORGAN SECURITIES PLC","J.P. MORGAN SECURITIES PLC","LONDON","","United Kingdom","N","",
1917528,435252,"JPMORGAN CHASE BANK, N.A.","JPMORGAN CHASE BANK, N.A.","NEW YORK","New York","United States","N","",
