"FilingID","ReferenceID","Name of Administrator","City","State","Country","Related Person","Statements","Who Sends Statements"
1922684,357162,"UMB FUND SERVICES","OGDEN","Utah","United States","N","Yes (provided to all investors)",""
1922684,248633,"UMB FUND SERVICES","OGDEN","Utah","United States","N","Yes (provided to all investors)",""
1930486,202739,"U.S. BANCORP FUND SERVICES, LLC","MILWAUKEE","Wisconsin","United States","N","Yes (provided to all investors)",""
1930486,174573,"NORTHERN TRUST INTERNATIONAL FUND ADMINISTRATION SERVICES (GUERNSEY) LIMITED","ST. PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
1930486,259598,"INTERNATIONAL FUND SERVICES (N.A.), L.L.C. (STATE STREET)","BOSTON","Massachusetts","United States","N","Yes (provided to all investors)",""
1927229,5381,"NAV CONSULTING","OAKBROOK TERRACE","Illinois","United States","N","Yes (provided to all investors)",""
1920155,435862,"APEX FUND SERVICES","HAMBURG","","Germany","N","Yes (provided to all investors)",""
1920155,435878,"APEX FUND SERVICES","HAMBURG","","Germany","N","Yes (provided to all investors)",""
1920155,435876,"APEX FUND SERVICES","HAMBURG","","Germany","N","Yes (provided to all investors)",""
1920155,435877,"APEX FUND SERVICES","HAMBURG","","Germany","N","Yes (provided to all investors)",""
1920155,435863,"APEX FUND SERVICES","HAMBURG","","Germany","N","Yes (provided to all investors)",""
1906530,428305,"IQEQ FUND SERVICES","DALLAS","Texas","United States","N","Yes (provided to all investors)",""
1906530,428304,"IQEQ FUND SERVICES","DALLAS","Texas","United States","N","Yes (provided to all investors)",""
1919481,252719,"NAV CONSULTING, INC.","OAKBROOK TERRACE","Illinois","United States","N","Yes (provided to all investors)",""
1928540,209110,"PINNACLE CANADA FUND SERVICES LTD.","VANCOUVER","","Canada","N","Yes (provided to all investors)",""
1928540,63640,"PINNACLE CANADA FUND SERVICES LTD.","VANCOUVER","","Canada","N","Yes (provided to all investors)",""
1928540,63644,"PINNACLE CANADA FUND SERVICES LTD.","VANCOUVER","","Canada","N","Yes (provided to all investors)",""
1922517,435849,"MORGAN STANLEY FUND SERVICES (IRELAND) LIMITED","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
1928208,278078,"CARTA INVESTOR SERVICES, INC","SAN FRANCISCO","California","United States","N","Yes (provided to all investors)",""
1928208,436428,"ADURO ADVISORS, LLC","DENVER","Colorado","United States","N","No (provided to no investors)","NOT APPLICABLE"
1932004,436984,"HOWARD FINANCIAL SERVICES LLC","MIAMI","Florida","United States","N","Yes (provided to all investors)",""
