"FilingID","ReferenceID","SubreferenceID","Related Person","Name of Marketer","SEC Number","CRD Number","City","State","Country","Websites"
1906530,428304,260669,"N","MCCARVILL CAPITAL PARTNERS","",,"NEW YORK","New York","United States","N"
1906530,428305,260670,"N","MCCARVILL CAPITAL PARTNERS","",,"NEW YORK","New York","United States","N"
1928540,209110,86858,"N","GROWTH CAPITAL SERVICES, INC.","",124658,"SAN FRANCISCO","California","United States","N"
1924040,436150,260899,"N","CLEAR STREET LLC","8-69972",288933,"NEW YORK","New York","United States","N"
1920155,435878,260805,"N","ACANTHUS GLOBAL LTD","",,"ST. PETER PORT","","Guernsey","Y"
1924738,436169,260895,"N","ARTIST CAPITAL LLC","8-68598",153937,"NEW YORK","New York","United States","N"
1924738,314532,260896,"N","ARTIST CAPITAL LLC","8-68598",153937,"NEW YORK","New York","United States","N"
1922549,281150,132130,"N","J.P. MORGAN SECURITIES LLC","801-3702",79,"NEW YORK","New York","United States","N"
1929230,287512,134621,"N","MERCURY CAPITAL ADVISORS, LLC","8-68442",152338,"NEW YORK","New York","United States","N"
1933297,311200,151884,"N","INVICTA CAPITAL LLC","8-69923",288101,"MONROEVILLE","Pennsylvania","United States","N"
1933341,228969,97582,"N","BLUETOWER ASSOCIATES LLP","",,"LONDON","","United Kingdom","N"
1933397,194040,77777,"Y","CREDIT SUISSE SECURITIES (USA) LLC","801-56264",816,"NEW YORK","New York","United States","N"
1930872,436925,260973,"N","KKR CAPITAL MARKETS LLC","8-67578",143571,"NEW YORK","New York","United States","N"
1930872,436925,260972,"N","KKR CAPITAL MARKETS LIMITED","",,"NEW YORK","New York","United States","N"
1930872,436933,260974,"N","KKR CAPITAL MARKETS LIMITED","",,"NEW YORK","New York","United States","N"
1930872,436933,260975,"N","KKR CAPITAL MARKETS LLC","8-67578",143571,"NEW YORK","New York","United States","N"
1930872,436997,260980,"N","KKR CAPITAL MARKETS LIMITED","",,"NEW YORK","New York","United States","N"
1930872,436934,260982,"N","KKR CAPITAL MARKETS LIMITED","",,"NEW YORK","New York","United States","N"
1930872,436997,260981,"N","KKR CAPITAL MARKETS LLC","8-67578",143571,"NEW YORK","New York","United States","N"
1930872,436934,260983,"N","KKR CAPITAL MARKETS LLC","8-67578",143571,"NEW YORK","New York","United States","N"
1933356,19191,7427,"N","POTOMAC CAPITAL MARKETS, LLC","8-48848",39800,"FREDERICK","Maryland","United States","N"
1924170,285697,133375,"Y","DWS INVESTMENTS UK LIMITED","",,"LONDON","","United Kingdom","N"
1924170,237419,101658,"N","FIRST AVENUE PARTNERS","",,"NEW YORK","New York","United States","N"
1924170,396641,226585,"Y","DWS INVESTMENTS UK LTD","",,"LONDON","","United Kingdom","N"
1924122,309179,150862,"N","BRIDGEWOOD ALTERNATIVES LTD.","",,"HONG KONG","","Hong Kong","N"
1924122,309179,150863,"N","BRITEHORN SECURITIES","8-47217",36402,"NEW YORK","New York","United States","N"
1932050,43960,201631,"N","MARCO POLO SECURITIES INC.","8-51480",46561,"NEW YORK","New York","United States","N"
1932701,171574,63857,"N","CREDIT SUISSE ASSET MANAGEMENT LIMITED","801-40177",113463,"LONDON","","United Kingdom","N"
1932701,171581,63896,"N","CREDIT SUISSE ASSET MANAGEMENT LIMITED","801-40177",113463,"LONDON","","United Kingdom","N"
1929720,231112,132429,"N","CROSSBOW PARTNERS AG","",,"BAAR","","Switzerland","N"
