"FilingID","ReferenceID","Name of Partner, etc."
1996832,193071,"MR. ROBERT THOMAS - DIRECTOR"
1996832,193071,"MR. PHILIP CRAIG - DIRECTOR"
1999646,484958,"JOHN STEPHEN FAHY"
1999646,484958,"SABINA JERRYBANDAN"
1999646,484958,"HEIDI HEIDEN-BLUNT"
1996340,227314,"DR LINDA YUEH"
1996340,227314,"TRUDI CLARK"
1996340,227314,"JOHN MACKIE CBE"
1996340,227314,"RICHARD HOLMES"
1999673,488178,"JACKY XIE"
1999673,488178,"ABDUL LAKHANI"
1999673,488178,"HAROON CHOHAN"
1999673,488178,"SRIKANTH KAKUMANU"
1988527,487141,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,315438,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,315470,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,315467,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,364289,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,315259,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,315481,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,421050,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,421055,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,364285,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,364239,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,364286,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,364287,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,315439,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,315461,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,315440,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,421056,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,315473,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,315478,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,315515,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
1988527,421058,"HSBC ASSET MANAGEMENT (INDIA) PRIVATE LIMITED"
