"FilingID","ReferenceID","Foreign Regulatory Authority"
1954700,210979,"Netherlands - The Netherlands Authority for the Financial Markets"
1954700,210977,"Netherlands - The Netherlands Authority for the Financial Markets"
1947785,60704,"Cayman Islands - Cayman Islands Monetary Authority"
1955628,41149,"India - Securities and Exchange Board of India"
1955628,41149,"Mauritius, Republic of - Financial Services Commission"
1953188,247398,"Cayman Islands - Cayman Islands Monetary Authority"
1950594,284853,"Cayman Islands - Cayman Islands Monetary Authority"
1950594,252656,"Cayman Islands - Cayman Islands Monetary Authority"
1950594,231784,"Cayman Islands - Cayman Islands Monetary Authority"
1950594,231825,"Cayman Islands - Cayman Islands Monetary Authority"
1936536,32551,"France - Financial Markets Authority"
1936536,32594,"France - Financial Markets Authority"
1948972,358526,"Sweden - Swedish Financial Supervisory Authority"
1948972,362408,"Sweden - Swedish Financial Supervisory Authority"
1948972,65638,"Sweden - Swedish Financial Supervisory Authority"
1948972,358518,"Sweden - Swedish Financial Supervisory Authority"
1960913,227708,"Cayman Islands - Cayman Islands Monetary Authority"
1960913,227709,"Cayman Islands - Cayman Islands Monetary Authority"
1960913,227710,"Cayman Islands - Cayman Islands Monetary Authority"
1960913,242711,"Cayman Islands - Cayman Islands Monetary Authority"
1960913,242713,"Cayman Islands - Cayman Islands Monetary Authority"
1941532,312015,"Cayman Islands - Cayman Islands Monetary Authority"
1913975,447637,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1913975,447636,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1941138,438069,"Cayman Islands - Cayman Islands Monetary Authority"
1946685,369688,"Germany - German Federal Financial Supervisory Agency"
1944520,229979,"Cayman Islands - Cayman Islands Monetary Authority"
1945844,439231,"Sweden - Swedish Financial Supervisory Authority"
1942395,312000,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1944448,365831,"Cayman Islands - Cayman Islands Monetary Authority"
1939277,431991,"Bermuda - Bermuda Monetary Authority"
1946715,265967,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1950600,247348,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1937139,369280,"Cayman Islands - Cayman Islands Monetary Authority"
1941405,228915,"Cayman Islands - Cayman Islands Monetary Authority"
1941405,229001,"Other - MINISTRY OF FINANCE"
1950750,54907,"Cayman Islands - Cayman Islands Monetary Authority"
1941312,177187,"Cayman Islands - Cayman Islands Monetary Authority"
1934508,369409,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,315433,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,280794,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,280596,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,280796,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,280831,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,280844,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,280817,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,280842,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,280837,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,280806,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,280839,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,280822,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,280838,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,280593,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,315431,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,315428,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,437157,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,437155,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,437156,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1934508,315430,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1946830,231884,"Cayman Islands - Cayman Islands Monetary Authority"
1936191,253573,"Sweden - Swedish Financial Supervisory Authority"
1936191,253573,"Other - BOTSWANA -REGULATORY AUTHORITY OF BOTSWANA"
1936191,253573,"Other - NORWAY -NORWEGIAN FINANCIAL SUPERVISORY AUTHORITY"
1936191,253573,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1936191,219741,"Sweden - Swedish Financial Supervisory Authority"
1936191,219741,"Other - BOTSWANA -REGULATORY AUTHORITY OF BOTSWANA"
1936191,219741,"United Kingdom - Financial Conduct Authority"
1936191,219741,"Other - SOUTH AFRICA - FINANCIAL SECTOR CONDUCT AUTHORITY"
1936191,219774,"Jersey - Jersey Financial Services Commission"
1936191,219774,"Other - BOTSWANA -REGULATORY AUTHORITY OF BOTSWANA"
1936191,219625,"Other - SOUTH AFRICA - FINANCIAL SECTOR CONDUCT AUTHORITY"
1936191,219625,"Other - BOTSWANA -REGULATORY AUTHORITY OF BOTSWANA"
1936191,219625,"Jersey - Jersey Financial Services Commission"
1936191,253573,"Other - SOUTH AFRICA - FINANCIAL SECTOR CONDUCT AUTHORITY"
1936191,253573,"Jersey - Jersey Financial Services Commission"
1936191,219731,"Jersey - Jersey Financial Services Commission"
1936191,219731,"Other - BOTSWANA- REGULATORY AUTHORITY OF BOTSWANA"
1936191,219741,"Jersey - Jersey Financial Services Commission"
1936191,219741,"Ireland -  Central Bank of Ireland"
1936191,219741,"Netherlands - The Netherlands Authority for the Financial Markets"
1936191,219741,"Other - NORWAY -NORWEGIAN FINANCIAL SUPERVISORY AUTHORITY"
1936191,219741,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1936191,219625,"Bermuda - Bermuda Monetary Authority"
1936191,219725,"Bermuda - Bermuda Monetary Authority"
1936191,219731,"Bermuda - Bermuda Monetary Authority"
1936191,219741,"Japan - Financial Services Agency"
1936191,253573,"Japan - Financial Services Agency"
1936191,219731,"Japan - Financial Services Agency"
1936191,219725,"Japan - Financial Services Agency"
1936191,219625,"Japan - Financial Services Agency"
1936191,219774,"Bermuda - Bermuda Monetary Authority"
1936191,253573,"United Kingdom - Financial Conduct Authority"
1936191,253573,"Ireland -  Central Bank of Ireland"
1936191,253573,"Netherlands - The Netherlands Authority for the Financial Markets"
1953818,7941,"Other - CAYMAN ISLAND MONETARY AUTHORITY"
1950277,68037,"Mauritius, Republic of - Financial Services Commission"
1939139,422955,"Mauritius, Republic of - Financial Services Commission"
1939139,422909,"Mauritius, Republic of - Financial Services Commission"
1937823,218037,"Sweden - Swedish Financial Supervisory Authority"
1937823,360480,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1937823,359629,"Sweden - Swedish Financial Supervisory Authority"
1937823,200549,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1952775,237587,"Cayman Islands - Cayman Islands Monetary Authority"
1952775,251077,"Cayman Islands - Cayman Islands Monetary Authority"
1954345,219471,"Cayman Islands - Cayman Islands Monetary Authority"
1951460,450898,"Cayman Islands - Cayman Islands Monetary Authority"
1939763,231564,"Cayman Islands - Cayman Islands Monetary Authority"
1952529,319933,"Cayman Islands - Cayman Islands Monetary Authority"
1955844,458717,"Guernsey - Guernsey Financial Services Commission"
1934906,40133,"Guernsey - Guernsey Financial Services Commission"
1934906,66278,"Guernsey - Guernsey Financial Services Commission"
1960519,206927,"United Kingdom - Financial Conduct Authority"
1960519,361554,"United Kingdom - Financial Conduct Authority"
1941369,49147,"Jersey - Jersey Financial Services Commission"
1941369,21657,"Jersey - Jersey Financial Services Commission"
1941369,173746,"Jersey - Jersey Financial Services Commission"
1949736,35746,"India - Securities and Exchange Board of India"
1949736,35775,"Mauritius, Republic of - Financial Services Commission"
1949736,35775,"India - Securities and Exchange Board of India"
1949736,35746,"Mauritius, Republic of - Financial Services Commission"
1949206,19202,"Guernsey - Guernsey Financial Services Commission"
1949206,19209,"Guernsey - Guernsey Financial Services Commission"
1949206,19197,"Guernsey - Guernsey Financial Services Commission"
1949206,18984,"Guernsey - Guernsey Financial Services Commission"
1949206,17963,"Guernsey - Guernsey Financial Services Commission"
1949206,19011,"Guernsey - Guernsey Financial Services Commission"
1949206,19180,"Guernsey - Guernsey Financial Services Commission"
1949206,19189,"Guernsey - Guernsey Financial Services Commission"
1949206,19192,"Guernsey - Guernsey Financial Services Commission"
1949206,19194,"Guernsey - Guernsey Financial Services Commission"
1949206,18993,"Guernsey - Guernsey Financial Services Commission"
1944531,270525,"Cayman Islands - Cayman Islands Monetary Authority"
1952015,373267,"United Kingdom - Financial Conduct Authority"
1952015,372768,"United Kingdom - Financial Conduct Authority"
1952015,373465,"United Kingdom - Financial Conduct Authority"
1945212,373065,"Ireland -  Central Bank of Ireland"
1945212,319379,"Ireland -  Central Bank of Ireland"
1945212,267987,"Ireland -  Central Bank of Ireland"
1945212,284420,"Ireland -  Central Bank of Ireland"
1952058,204571,"Cayman Islands - Cayman Islands Monetary Authority"
1951608,315161,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1947644,55175,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1942831,284462,"Cayman Islands - Cayman Islands Monetary Authority"
1944658,210929,"Cayman Islands - Cayman Islands Monetary Authority"
1944658,210945,"Cayman Islands - Cayman Islands Monetary Authority"
1944658,338097,"Cayman Islands - Cayman Islands Monetary Authority"
1940974,422864,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1940974,422867,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1940974,422865,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1932869,420648,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1932869,420646,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1940978,422650,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1940978,422860,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1940978,422862,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1960912,213547,"Cayman Islands - Cayman Islands Monetary Authority"
1954325,454477,"Cayman Islands - Cayman Islands Monetary Authority"
1954325,213733,"Cayman Islands - Cayman Islands Monetary Authority"
1954325,213733,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1954325,213733,"United Kingdom - Financial Conduct Authority"
1960523,476068,"Cayman Islands - Cayman Islands Monetary Authority"
1953619,205971,"Cayman Islands - Cayman Islands Monetary Authority"
1961693,16695,"Ireland -  Central Bank of Ireland"
1957059,35078,"Other - BANK OF ITALY"
1957059,35078,"Italy - National Stock Exchange Commission"
1957059,372637,"Italy - National Stock Exchange Commission"
1948657,288172,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1948657,288179,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1949851,449651,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1949851,452224,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1949851,427168,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
