"FilingID","ReferenceID","Private Fund Name","Fund ID"
2007644,425166,"FINCH BAY CAPITAL FUND LP",805-7178804854
2007644,425166,"FINCH BAY CAPITAL FUND LIMITED",805-6215429328
2006287,377733,"SHIPROCK CAPITAL LIMITED",805-1653021161
2006287,377733,"SHIPROCK FEEDER FUND LP",805-6576330788
1999631,250267,"DARWIN GLOBAL FUND, LP",805-3569282355
1999631,250267,"DARWIN GLOBAL OFFSHORE FUND, LTD.",805-1263390463
2006356,18034,"CLEAN RESOURCES ASIA GROWTH FUND FEEDER L.P.",805-2143010471
2006922,490793,"ASPIRITY PARTNERS I FEEDER ILP",805-3835663906
2006456,159014,"ICG EUROPE FUND VI FEEDER LIMITED PARTNERSHIP",805-9171157256
2006456,21306,"ICG EUROPE FUND V FEEDER LIMITED PARTNERSHIP",805-3305782882
2007207,313557,"FILTER CAPITAL FUND I LTD",805-1470270807
2002790,435256,"BEX FUND V EURO FEEDER",805-2160124654
2002790,435255,"BEX FUND IV EURO FEEDER",805-7753784521
2008547,491251,"VISTARA TECHNOLOGY GROWTH FUND (INTERNATIONAL) V, LP",805-4195435033
2008547,491251,"VISTARA TECHNOLOGY GROWTH FUND V, LLC",805-1511662018
2004963,437691,"HALO CAPITAL OFFSHORE FUND I LP",805-3396025451
2004963,437691,"HALO CAPITAL FUND I LP",805-1396733283
2009320,283049,"IN-DEPTH PARTNERS GLOBAL EQUITIES LLC",805-2546288980
2009320,283049,"IN-DEPTH PARTNERS GLOBAL EQUITIES LTD",805-1827322488
2008784,280536,"CAPULA MULTI STRATEGY TRUST",805-7279431445
2008784,252188,"CAPULA TACTICAL MACRO FUND LIMITED",805-2980399972
2008784,252188,"CAPULA TACTICAL MACRO TRUST",805-4963989445
2008784,32066,"CAPULA GRV III LIMITED",805-4665177252
2008784,32066,"CAPULA GLOBAL RELATIVE VALUE TRUST",805-6820198155
2008784,32149,"CAPULA TAIL RISK FUND LIMITED",805-9903304586
2008784,32149,"CAPULA TAIL RISK TRUST",805-2760619751
2008784,32149,"CAPULA TRF II LIMITED",805-6881383654
2008784,32149,"CAPULA DEFENSIVE EQUITY TRUST",805-7933554890
2008784,32066,"CAPULA GLOBAL RELATIVE VALUE FUND L.P.",805-3454369038
2008784,32149,"CAPULA TRF III LP",805-4068392554
2008784,280536,"CAPULA MULTI STRATEGY FUND LIMITED",805-4044430695
2008784,32149,"CAPULA DEFENSIVE EQUITY FUND LIMITED",805-9548113508
2008784,280536,"CAPULA MULTI STRATEGY I LIMITED",805-2646479353
2008784,269362,"CAPULA ENHANCED FIXED INCOME TRUST",805-8049741955
2008784,269362,"CAPULA EFI I LIMITED",805-6632758963
2008784,269362,"CAPULA EFI II LIMITED",805-8895731176
2008784,269363,"CAPULA VOLATILITY OPPORTUNITIES TRUST",805-5003535440
2008784,269363,"CAPULA VOLATILITY OPPORTUNITIES FUND LIMITED",805-8228558787
2008784,32066,"CAPULA GLOBAL RELATIVE VALUE FUND LIMITED",805-5717491750
2009690,426599,"HALSTED AGGREGATOR, L.P.",805-9317351807
2007384,193703,"INHERENT ESG OPPORTUNITY OFFSHORE FEEDER, LTD.",805-9173922571
2007384,193703,"INHERENT ESG OPPORTUNITY INTERMEDIATE PARTNERSHIP, LP",805-4648740768
2007384,193703,"INHERENT ESG OPPORTUNITY, LP",805-5043518815
2008177,487506,"AGAVE GLOBAL MACRO FUND LP",805-4850918965
