"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
1973400,250027,133767,"KAIROS GLOBAL FUND LP",805-1656215750,"","Cayman Islands","Y","N"
1969420,314569,142058,"DACM GLOBAL DIGITAL ASSET FUND",805-4390870977,"","Australia","Y","N"
1976486,288488,138180,"GREENWOODS BALANCED (US) FUND",805-6018422978,"","Cayman Islands","N","Y"
1976486,288488,138181,"GREENWOODS BALANCED FUND",805-7930165800,"","Cayman Islands","N","Y"
1961586,476584,151333,"BLUE RIBAND GROUP OFFSHORE FUND LTD.",805-1105995815,"","Cayman Islands","Y","N"
1971031,168521,116046,"3D OPPORTUNITY (US) FUND",805-3891248002,"","Cayman Islands","N","Y"
1971031,168521,116047,"3D OPPORTUNITY FUND",805-2385536014,"","Cayman Islands","N","Y"
1971031,482968,152151,"3D ENDEAVOR (US) FUND SPC",805-2241927837,"","Cayman Islands","N","Y"
1971031,482968,152150,"3D ENDEAVOR FUND SPC",805-5460609238,"","Cayman Islands","N","Y"
1945118,4729,1567,"SAGIL LATIN AMERICAN OPPORTUNITIES FUND",805-7324321306,"","Cayman Islands","N","Y"
1945118,4729,1568,"SAGIL LATIN AMERICAN OPPORTUNITIES FUND LP",805-4376322747,"Delaware","United States","N","Y"
1972702,369860,145070,"COLOSSEUM ONE CAYMAN LP",805-7527138612,"","Cayman Islands","Y","N"
1972702,369860,145069,"COLOSSEUM ONE US LP",805-5530878295,"Delaware","United States","Y","N"
1977456,261048,146403,"PATRIA BRASIL INFRAESTRUTURA III FIC FIP",805-1075982225,"","Brazil","N","Y"
1977456,266356,138272,"PÁTRIA INFRAESTRUTURA IV FEEDER C FIPM",805-8185768239,"","Brazil","N","Y"
1977456,266356,138273,"PÁTRIA INFRAESTRUTURA IV FEEDER D FIPM",805-6685667277,"","Brazil","N","Y"
1977456,261007,139347,"PATRIA PRIVATE EQUITY VI FEEDER FIP MULTIESTRATÉGIA",805-6122492676,"","Brazil","N","Y"
1977456,266356,138270,"PÁTRIA INFRAESTRUTURA IV FEEDER A FIPM",805-9927577719,"","Brazil","N","Y"
1977456,235939,138239,"PÁTRIA CRÉDITO ESTRUTURADO FEEDER FIC FIDC",805-7793291745,"","Brazil","N","Y"
1977456,361661,146405,"PÁTRIA REAL ESTATE III PRIVATE I FIC FIP",805-1508370238,"","Brazil","N","Y"
1977456,361680,146408,"BRAZILIAN PRIVATE EQUITY IV - FUNDO DE INVESTIMENTO EM QUOTAS DE FIP",805-4378123020,"","Brazil","N","Y"
1977456,361661,146407,"PÁTRIA REAL ESTATE III TEAM FIC DE FIP",805-3668117672,"","Brazil","N","Y"
1977456,261048,146404,"PÁTRIA INFRAESTRUTURA III (+100) FIC DE FIP",805-1035769100,"","Brazil","N","Y"
1982577,485189,152551,"WMAGIBIT LTD",805-7194238219,"Colorado","United States","Y","N"
1982025,254122,134274,"L&R ASIA CREDIT ALPHA FUND",805-3013481918,"","Cayman Islands","N","Y"
1983758,379387,146676,"MC ALTERNATIVE SOLUTIONS NON-US FEEDER, LP",805-5636978436,"","Cayman Islands","N","Y"
1983758,330951,143123,"MIC CAPITAL PARTNERS III PARALLEL (CAYMAN) FEEDER, LP",805-1007078394,"","Cayman Islands","N","Y"
1981838,190604,120934,"LIMIAR FUND (CAYMAN) LP",805-4319780206,"","Cayman Islands","N","Y"
1981838,190604,120933,"LIMIAR FUND (DELAWARE) LP",805-9659033987,"Delaware","United States","N","Y"
1978858,212239,125811,"GEMSSTOCK CAV ONSHORE, LP",805-5979798436,"Delaware","United States","N","Y"
1978858,212239,125812,"GEMSSTOCK CAV OFFSHORE, LP",805-9104568640,"","Cayman Islands","N","Y"
1984357,365923,152011,"BREAKTHROUGH ENERGY VENTURES SELECT FUND I FEEDER, L.P.",805-7657512277,"","Cayman Islands","N","Y"
1977795,288489,138179,"GREENWOODS CHINA HEALTHCARE FUND",805-3960485789,"","Cayman Islands","N","Y"
1977795,288429,138172,"GOLDEN CHINA FUND",805-2172922326,"","Cayman Islands","N","Y"
1977795,288429,138173,"GOLDEN CHINA US FUND",805-2555770054,"","Cayman Islands","N","Y"
1979092,238065,131850,"ARCM US FEEDER FUND IV LTD.",805-2812697990,"","Cayman Islands","N","Y"
1979092,238065,131851,"ARCM FEEDER FUND IV LTD.",805-9039193023,"","Cayman Islands","N","Y"
1982995,485387,152609,"RH TAILWIND WORLDWIDE, LTD.",805-2906940178,"","Cayman Islands","N","Y"
1981972,370105,145093,"CORBIERE CAPITAL EQUITIES FEEDER FUND LIMITED",805-7046133909,"","Cayman Islands","N","Y"
1981972,370105,145094,"CORBIERE CAPITAL EQUITIES FEEDER FUND LP",805-7432289049,"Delaware","United States","N","Y"
