"FilingID","ReferenceID","SubreferenceID","Foreign Regulatory Authority"
1995672,288406,138171,"Cayman Islands - Cayman Islands Monetary Authority"
1996832,193071,133068,"Cayman Islands - Cayman Islands Monetary Authority"
1996832,193071,122035,"Cayman Islands - Cayman Islands Monetary Authority"
1999646,484958,152624,"Cayman Islands - Cayman Islands Monetary Authority"
1999646,484958,152625,"Cayman Islands - Cayman Islands Monetary Authority"
1999111,316052,142194,"Cayman Islands - Cayman Islands Monetary Authority"
1999021,269351,136018,"Cayman Islands - Cayman Islands Monetary Authority"
1999021,12438,2762,"Cayman Islands - Cayman Islands Monetary Authority"
1999021,246333,147045,"Cayman Islands - Cayman Islands Monetary Authority"
1992888,487533,153255,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1992129,190948,121112,"Cayman Islands - Cayman Islands Monetary Authority"
1987936,486175,152784,"Jersey - Jersey Financial Services Commission"
1987946,486179,152786,"Jersey - Jersey Financial Services Commission"
1992935,268597,135833,"Cayman Islands - Cayman Islands Monetary Authority"
1989748,420387,146907,"Cayman Islands - Cayman Islands Monetary Authority"
1998717,167006,144143,"Cayman Islands - Cayman Islands Monetary Authority"
1998717,167006,115771,"Cayman Islands - Cayman Islands Monetary Authority"
1997996,162198,109583,"Cayman Islands - Cayman Islands Monetary Authority"
1997996,162203,109585,"Cayman Islands - Cayman Islands Monetary Authority"
1997996,190864,120981,"Cayman Islands - Cayman Islands Monetary Authority"
1997996,205416,124164,"Cayman Islands - Cayman Islands Monetary Authority"
1998619,421810,147074,"Cayman Islands - Cayman Islands Monetary Authority"
1998619,227576,130035,"Cayman Islands - Cayman Islands Monetary Authority"
1993934,194624,122396,"Cayman Islands - Cayman Islands Monetary Authority"
2000146,19062,5329,"Mauritius, Republic of - Financial Services Commission"
1996898,269436,136340,"Mauritius, Republic of - Financial Services Commission"
1997812,228002,129995,"Ireland -  Central Bank of Ireland"
1994372,269452,136035,"Cayman Islands - Cayman Islands Monetary Authority"
1994912,435146,150173,"Cayman Islands - Cayman Islands Monetary Authority"
1996580,31509,5731,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1998115,435849,150244,"Ireland -  Central Bank of Ireland"
1987941,277036,136506,"Mauritius, Republic of - Financial Services Commission"
1987940,277040,136508,"Mauritius, Republic of - Financial Services Commission"
1998086,363484,144120,"Cayman Islands - Cayman Islands Monetary Authority"
1999785,309823,145251,"Cayman Islands - Cayman Islands Monetary Authority"
1994594,432803,149861,"Cayman Islands - Cayman Islands Monetary Authority"
1997255,488018,153293,"Cayman Islands - Cayman Islands Monetary Authority"
1997255,178359,118026,"Cayman Islands - Cayman Islands Monetary Authority"
1997255,310216,141190,"Cayman Islands - Cayman Islands Monetary Authority"
1997588,311429,141418,"United Kingdom - Financial Conduct Authority"
1997588,205808,124245,"United Kingdom - Financial Conduct Authority"
1997588,190242,120894,"United Kingdom - Financial Conduct Authority"
1997588,311429,141419,"United Kingdom - Financial Conduct Authority"
1997588,311429,141420,"United Kingdom - Financial Conduct Authority"
1997588,488217,153329,"United Kingdom - Financial Conduct Authority"
1997588,488217,153330,"United Kingdom - Financial Conduct Authority"
1997257,229006,130154,"Cayman Islands - Cayman Islands Monetary Authority"
2000447,277593,153431,"Cayman Islands - Cayman Islands Monetary Authority"
2000447,488730,153433,"Cayman Islands - Cayman Islands Monetary Authority"
2000447,488729,153432,"Cayman Islands - Cayman Islands Monetary Authority"
2000383,270515,136263,"Cayman Islands - Cayman Islands Monetary Authority"
1996903,193740,122318,"India - Securities and Exchange Board of India"
1996903,193740,122335,"Mauritius, Republic of - Financial Services Commission"
1996350,310149,141166,"Cayman Islands - Cayman Islands Monetary Authority"
1996350,488478,153359,"Cayman Islands - Cayman Islands Monetary Authority"
1999773,190116,120868,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1965270,488732,153435,"Other - INDIA - INTERNATIONAL FINANCIAL SERVICES CENTRES AUTHORITY"
1995211,158920,107500,"Guernsey - Guernsey Financial Services Commission"
1995211,311455,141421,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1995211,365112,144374,"Guernsey - Guernsey Financial Services Commission"
1995211,487963,153287,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1993922,178866,118104,"Cayman Islands - Cayman Islands Monetary Authority"
1998048,421395,147055,"Cayman Islands - Cayman Islands Monetary Authority"
1998048,55146,10882,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1998048,55146,10883,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1998048,421395,147054,"Cayman Islands - Cayman Islands Monetary Authority"
1998048,488158,153331,"Cayman Islands - Cayman Islands Monetary Authority"
1998048,488158,153331,"United Kingdom - Financial Conduct Authority"
1999107,371664,153387,"Cayman Islands - Cayman Islands Monetary Authority"
1999107,488325,153388,"Cayman Islands - Cayman Islands Monetary Authority"
