"FilingID","Fund Name","Fund ID","ReferenceID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion","Master Fund","Feeder Fund","Master Fund Name","Master Fund ID","Fund of Funds","Fund Invested Self or Related","Fund Invested in Securities","Fund Type","Fund Type Other","Gross Asset Value","Minimum Investment","Owners","%Owned You or Related","%Owned Funds","Sales Limited","%Owned Non-US","Subadviser","Other IAs Advise","Clients Solicited","Percentage Invested","Exempt from Registration","Annual Audit","GAAP","FS Distributed","Unqualified Opinion","Prime Brokers","Custodians","Administrator","% Assets Valued","Marketing"
1980356,"IMPACT IRELAND USA, LP",805-9655090801,420165,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",10741555,106841,12,2,0,"Y",40,"N","N","N",0,"Y","Y","Y","Y","Report Not Yet Received","N","Y","Y",0,"N"
1980356,"IMPACT IRELAND LP",805-5429680578,310526,"","Ireland","Y","N","N","N","",,"N","","N","Venture Capital Fund","",43170434,106841,58,2,0,"Y",57,"N","N","N",0,"Y","Y","N","Y","Yes","N","Y","N",0,"N"
1980356,"IMPACT IRELAND NUMBER 2 LP",805-2550358575,359455,"","Ireland","Y","N","N","N","",,"N","","N","Venture Capital Fund","",10711257,106841,28,2,0,"Y",51,"N","N","N",0,"N","Y","N","Y","Yes","N","Y","N",0,"N"
1938433,"RBC INDIGO CANADIAN BOND FUND",805-1444521647,25257,"","Canada","Y","N","N","N","",,"Y","Y","N","Hedge Fund","",697501806,364,7309,0,71,"N",99,"N","N","Y",5,"N","Y","N","Y","Yes","N","Y","Y",100,"Y"
1938433,"RBC INDIGO U.S. DOLLAR MONTHLY INCOME FUND",805-6065176761,233658,"","Canada","Y","N","N","N","",,"N","","N","Hedge Fund","",767336886,364,5430,0,0,"N",99,"N","Y","Y",4,"N","Y","N","Y","Yes","N","Y","Y",100,"Y"
1938433,"RBC INDIGO GLOBAL EQUITY VOLATILITY FOCUSED FUND",805-8021738576,233662,"","Canada","Y","N","N","N","",,"N","","N","Hedge Fund","",199280864,364,1084,0,0,"N",99,"N","Y","Y",1,"N","Y","N","Y","Yes","N","Y","Y",100,"Y"
1938433,"RBC INDIGO MORTGAGE FUND",805-4492816760,25273,"","Canada","Y","N","N","N","",,"N","","N","Hedge Fund","",1933402979,364,5421,0,79,"N",99,"N","N","Y",4,"N","Y","N","Y","Yes","N","Y","Y",100,"Y"
1938433,"RBC INDIGO DIVERSIFIED BALANCED FUND",805-9434821244,25290,"","Canada","Y","N","N","N","",,"Y","Y","Y","Hedge Fund","",825069375,364,22068,0,0,"N",99,"N","N","Y",15,"N","Y","N","Y","Yes","N","Y","Y",100,"Y"
1938433,"RBC INDIGO DIVERSIFIED GROWTH FUND",805-1334107555,198229,"","Canada","Y","N","N","N","",,"Y","Y","Y","Hedge Fund","",404359762,364,10830,0,0,"N",99,"N","N","Y",7,"N","Y","N","Y","Yes","N","Y","Y",100,"Y"
1938433,"RBC INDIGO MONTHLY INCOME FUND",805-1589754518,45133,"","Canada","Y","N","N","N","",,"Y","Y","N","Hedge Fund","",1331937931,364,16326,0,0,"N",99,"N","N","Y",11,"N","Y","N","Y","Yes","N","Y","Y",100,"Y"
