"FilingID","Fund Name","Fund ID","ReferenceID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion","Master Fund","Feeder Fund","Master Fund Name","Master Fund ID","Fund of Funds","Fund Invested Self or Related","Fund Invested in Securities","Fund Type","Fund Type Other","Gross Asset Value","Minimum Investment","Owners","%Owned You or Related","%Owned Funds","Sales Limited","%Owned Non-US","Subadviser","Other IAs Advise","Clients Solicited","Percentage Invested","Exempt from Registration","Annual Audit","GAAP","FS Distributed","Unqualified Opinion","Prime Brokers","Custodians","Administrator","% Assets Valued","Marketing"
1992529,"CHRYSALIX ENERGY II US LIMITED PARTNERSHIP",805-6113198417,3874,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",15428000,100000,25,1,56,"Y",60,"N","N","N",0,"Y","Y","Y","Y","Yes","N","Y","N",0,"N"
1992529,"CHRYSALIX ENERGY III US LIMITED PARTNERSHIP",805-2997858138,3871,"Delaware","United States","N","Y","N","N","",,"N","","N","Venture Capital Fund","",88141000,1000000,20,1,60,"",52,"N","N","N",0,"Y","Y","Y","Y","Yes","N","Y","N",0,"N"
1992529,"CHRYSALIX ROBOVALLEY LIMITED PARTNERSHIP",805-1964456770,245184,"","Cayman Islands","Y","Y","N","N","",,"N","","N","Venture Capital Fund","",35792000,1000000,5,4,13,"N",100,"N","N","N",0,"N","Y","Y","Y","Yes","N","Y","Y",0,"N"
1992529,"CHRYSALIX ROBOVALLEY U.S. LIMITED PARTNERSHIP",805-7082670742,212499,"Delaware","United States","Y","Y","N","N","",,"N","","N","Venture Capital Fund","",98812000,1000000,11,2,0,"Y",54,"N","N","N",0,"Y","Y","Y","Y","Yes","N","N","Y",0,"N"
1992529,"CHRYSALIX CARBON NEUTRALITY FUND COOPERATIEF U.A.",805-9919612328,397389,"","Netherlands","Y","Y","N","N","",,"N","","N","Venture Capital Fund","",28745000,1000000,5,2,0,"Y",100,"N","N","N",0,"N","Y","N","Y","Yes","N","Y","Y",0,"N"
1992567,"DANSKE EUROPEAN LOAN FUND I",805-2645178249,232785,"","Ireland","Y","Y","N","N","",,"N","","N","Other Private Fund","BANK LOANS",258603193,100000,5,0,0,"Y",100,"N","Y","N",0,"N","Y","N","N","Report Not Yet Received","N","Y","Y",100,"N"
1992567,"DOVER CREDIT LIMITED",805-6746460049,210456,"","Ireland","Y","Y","N","N","",,"N","","N","Other Private Fund","PRIVATE SEGREGATED FUND",148531223,250000,1,0,0,"N",100,"N","Y","N",0,"N","Y","N","Y","Yes","N","Y","Y",100,"N"
1992567,"BARINGS INVESTMENT UMBRELLA FUND",805-1530325862,287571,"","United Kingdom","N","Y","N","N","",,"N","","N","Other Private Fund","COLLECTIVE INVESTMENT",93800000,1000,103,0,0,"",100,"N","N","Y",0,"N","Y","N","N","Yes","N","Y","Y",100,"N"
1992141,"DTX VC FUND I, L.P.",805-1266737254,487167,"Delaware","United States","Y","Y","N","N","",,"N","","N","Venture Capital Fund","",34350000,0,14,15,1,"Y",0,"N","N","N",0,"Y","N","","","","N","Y","Y",0,"N"
1977356,"IN-DEPTH PARTNERS GLOBAL EQUITIES MASTER LTD",805-2851713630,283049,"","Cayman Islands","Y","N","Y","N","",,"N","","N","Hedge Fund","",55900908,1000000,8,0,0,"Y",94,"N","N","N",25,"Y","Y","Y","Y","Yes","N","Y","Y",100,"N"
1977356,"LC INVESTMENTS FUND, SPC",805-2991551837,249031,"","Cayman Islands","N","Y","Y","N","",,"N","","N","Hedge Fund","",69039116,100000,5,0,0,"",100,"Y","N","N",0,"N","Y","N","Y","No","Y","Y","Y",100,"N"
1987594,"MEKONG GENESIS, LTD.",805-2811380484,170117,"","Cayman Islands","Y","N","Y","N","",,"N","","N","Private Equity Fund","",125193557,100000,23,6,33,"N",72,"N","N","N",0,"N","Y","N","Y","Yes","N","Y","Y",0,"N"
1979646,"NIO INFRASTRUCTURE FEEDER FUND V SCSP",805-2620626844,376426,"","Luxembourg","N","Y","N","Y","COPENHAGEN INFRASTRUCTURE V SCSP",,"N","","N","Private Equity Fund","",158015747,103890,0,0,0,"",85,"N","N","N",0,"N","Y","N","Y","Yes","N","Y","Y",100,"N"
1979646,"NIO REAL ESTATE II SCSP",805-1085072267,319917,"","Luxembourg","Y","Y","N","Y","NREP NORDIC STRATEGIES FUND V LIMITED PARTNERSHIP",,"N","","N","Private Equity Fund","",68767082,103890,0,0,0,"Y",96,"N","N","N",0,"N","Y","N","Y","Yes","N","Y","Y",100,"N"
1979646,"NIO INFRASTRUCTURE FEEDER FUND IV SCSP",805-5408169514,319916,"","Luxembourg","Y","Y","N","Y","COPENHAGEN INFRASTRUCTURE ENERGY TRANSITION FUND I SCSP",,"N","","N","Private Equity Fund","",4458603,103890,2,0,0,"Y",75,"N","N","N",0,"N","Y","N","Y","Report Not Yet Received","N","Y","Y",100,"N"
1979646,"NIO INFRASTRUCTURE FEEDER FUND II SMALL CAP SCSP",805-3508615802,310903,"","Luxembourg","Y","Y","N","Y","COPENHAGEN INFRASTRUCTURE IV SCSP",,"N","","N","Private Equity Fund","",33793208,103890,0,0,0,"Y",28,"N","N","N",0,"N","Y","N","Y","Yes","N","Y","Y",100,"N"
