"FilingID","Fund Name","Fund ID","Adviser Name","Adviser SEC Number","Clients Solicited?"
1999550,"SAMARA CAPITAL PARTNERS FUND I LIMITED",805-4328728024,"SAMARA CAPITAL MANAGEMENT LIMITED","802-74960","N"
1999550,"SAMARA CAPITAL PARTNERS FUND II LIMITED",805-7561444888,"SAMARA CAPITAL MANAGEMENT LIMITED","802-74960","N"
1995030,"CIBUS CLARA FUND L.P.",805-8739207663,"CIBUS INVESTMENTS LIMITED","802-111706","N"
1995030,"CIBUS FUND L.P.",805-7184048634,"CIBUS INVESTMENTS LIMITED","802-111706","N"
1995030,"CIBUS ELEANOR FUND L.P.",805-4185247619,"CIBUS INVESTMENTS LIMITED","802-111706","N"
1995030,"CIBUS CO-INVEST I L.P.",805-6205319764,"CIBUS INVESTMENTS LIMITED","802-111706","N"
1995030,"CIBUS CO-INVEST II L.P.",805-8152604171,"CIBUS INVESTMENTS LIMITED","802-111706","N"
1995030,"CIBUS CO-INVEST III L.P.",805-9977563539,"CIBUS INVESTMENTS LIMITED","802-111706","N"
1995030,"CIBUS ENTERPRISE FUND L.P.",805-5533278285,"CIBUS INVESTMENTS LIMITED","802-111706","N"
1995030,"CIBUS CO-INVEST IV L.P.",805-1287819373,"CIBUS INVESTMENTS LIMITED","802-111706","N"
1995030,"CIBUS ENTERPRISE FUND II L.P",805-3823959412,"CIBUS INVESTMENTS II LIMITED","802-122876","N"
1995030,"CIBUS FUND II L.P.",805-4035268661,"CIBUS INVESTMENTS II LIMITED","802-122876","N"
1995030,"CIBUS ANNA FUND II L.P",805-3211921170,"CIBUS INVESTMENTS II LIMITED","802-122876","N"
1995030,"CIBUS CO-INVEST V L.P.",805-3722010408,"CIBUS INVESTMENTS II LIMITED","802-122876","N"
1995030,"CIBUS S EURO FUND II L.P.",805-4844555900,"CIBUS INVESTMENTS II LIMITED","802-122876","N"
1995030,"CIBUS CO-INVEST PRUNUS L.P.",805-8178257177,"CIBUS INVESTMENTS II LIMITED","802-122876","N"
1996833,"K INDIA OPPORTUNITIES FUND LIMITED CLASS P (RANGOLI INDIA FUND)",805-3481268159,"KOTAK MAHINDRA (INTERNATIONAL) LIMITED","802-76440","N"
1997493,"PRELUDE OPPORTUNITY FUND, LP",805-1637413029,"PRELUDE CAPITAL MANAGEMENT, LLC","801-73598","N"
1996848,"BEMAP MASTER FUND LTD. PFID",805-1733608039,"BLACKSTONE ALTERNATIVE ASSET MANAGEMENT L.P.","801-52559","N"
1996848,"BLACKSTONE CSP-MST FMAP FUND PFID",805-2229939392,"BLACKSTONE ALTERNATIVE ASSET MANAGEMENT L.P.","801-52559","N"
1987940,"GAJA CAPITAL FUND 2021 LIMITED",805-8889544391,"GAJA CAPITAL","802-122413","N"
1998086,"SCHONFELD EXT MASTER FUND LP",805-9523817841,"SCHONFELD STRATEGIC ADVISORS LLC","801-106963","N"
1998086,"MAP 850 SP, A SEGREGATED PORTFOLIO OF MAP INSTITUTIONAL SPC",805-7290085650,"LIGHTHOUSE INVESTMENT PARTNERS, LLC","801-64978","N"
1998086,"PRELUDE STRUCTURED ALTERNATIVES MASTER FUND, LP",805-2495224621,"PRELUDE CAPITAL MANAGEMENT, LLC","801-73598","N"
1998086,"1798 CENTER MASTER FUND LTD",805-9046527215,"LOMBARD ODIER ASSET MANAGEMENT (USA) CORP","801-72554","N"
1963424,"A3 VENTURES FUND 1 L.P.",805-3596745114,"LUMENS CAPITAL PARTNERS","802-131389","N"
