"FilingID","Country/Authority"
2003730,"Cayman Islands - Cayman Islands Monetary Authority"
1999835,"Ireland -  Central Bank of Ireland"
2000501,"Other: UNITED ARAB EMIRATES - ADGM FINANCIAL SERVICES REGULATORY AUTHORITY"
2006694,"Other: OFFICE OF THE SUPERINTENDENT OF SECURITIES SERVICE, NEWFOUNDLAND AND LABRADOR"
2006694,"Other: FINANCIAL AND CONSUMER AFFAIRS AUTHORITY OF SASKATCHEWAN"
2006694,"Other: FINANCIAL AND CONSUMER SERVICES COMMISSION, NEW BRUNSWICK"
2006694,"Canada - Alberta Securities Commission"
2006694,"Canada - Nova Scotia Securities Commission"
2006694,"Canada - British Columbia Securities Commission"
2006694,"Canada - Ontario Securities Commission"
2006694,"Canada - Manitoba Securities Commission"
2006694,"Other: OFFICE OF THE SUPERINTENDENT OF SECURITIES, NORTHWEST TERRITORIES"
2006694,"Other: NUNAVUT SECURITIES OFFICE"
2006694,"Other: OFFICE OF THE SUPERINTENDENT OF SECURITIES, PRINCE EDWARD ISLAND"
2006694,"Other: OFFICE OF THE YUKON SUPERINTENDENT OF SECURITIES"
2006694,"Other: AUTORITIE DES MARCHES FINANCIERS"
2006704,"Other: OFFICE OF THE SUPERINTENDENT OF SECURITIES SERVICE, NEWFOUNDLAND AND LABRADOR"
2006704,"Other: FINANCIAL AND CONSUMER AFFAIRS AUTHORITY OF SASKATCHEWAN"
2006704,"Other: FINANCIAL AND CONSUMER SERVICES COMMISSION, NEW BRUNSWICK"
2006704,"Canada - Alberta Securities Commission"
2006704,"Canada - Nova Scotia Securities Commission"
2006704,"Canada - British Columbia Securities Commission"
2006704,"Canada - Ontario Securities Commission"
2006704,"Canada - Manitoba Securities Commission"
2006704,"Other: OFFICE OF THE SUPERINTENDENT OF SECURITIES, NORTHWEST TERRITORIES"
2006704,"Other: NUNAVUT SECURITIES OFFICE"
2006704,"Other: OFFICE OF THE SUPERINTENDENT OF SECURITIES, PRINCE EDWARD ISLAND"
2006704,"Other: OFFICE OF THE YUKON SUPERINTENDENT OF SECURITIES"
2006704,"Other: AUTORITIE DES MARCHES FINANCIERS"
2006705,"United Kingdom - Financial Conduct Authority"
2006705,"India - Securities and Exchange Board of India"
2004556,"Italy - National Stock Exchange Commission"
2004556,"United Kingdom - Financial Conduct Authority"
2000711,"Singapore - Monetary Authority of Singapore"
2000711,"India - Securities and Exchange Board of India"
2000711,"Cayman Islands - Cayman Islands Monetary Authority"
2006597,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1999535,"Mauritius, Republic of - Financial Services Commission"
1999826,"Sweden - Swedish Financial Supervisory Authority"
2002620,"Cayman Islands - Cayman Islands Monetary Authority"
1999922,"United Kingdom - Financial Conduct Authority"
2000189,"France - Financial Markets Authority"
1977797,"Jersey - Jersey Financial Services Commission"
1998812,"Canada - Ontario Securities Commission"
1998812,"Canada - Quebec, Financial Markets Authority"
1998812,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1998812,"Canada - British Columbia Securities Commission"
1998812,"Canada - Manitoba Securities Commission"
1998812,"Canada - Nova Scotia Securities Commission"
1998812,"Canada - Prince Edward Island, Securities Office"
1998812,"Other: CANADA - L'AUTORITE DES MARCHES FINANCIERS"
