"FilingID","Miscellaneous"
1999631,"DARWIN GLOBAL MANAGEMENT, LTD. (""DARWIN"") PROVIDES SUB-ADVISORY SERVICES TO A PRIVATE POOLED INVESTMENT VEHICLE. DARWIN DID NOT COMPLETE SECTION 7.B.(2) OF SCHEDULE D WITH RESPECT TO THIS PRIVATE FUND BECAUSE THE VEHICLE IS SPONSORED BY AN ADVISOR THAT DOES NOT FILE A FORM ADV IN WHICH TO LIST THE VEHICLE."
2013131,"Regarding Section 7.B.(1): For question A.9., each of DL Partners Opportunities Master Fund Ltd, DL Partners A Fund LP, DL Partners Opportunities SPV Ltd and DL Partners Opportunities SPV LP have traded ETFs. Regarding Section 7.B.(1): For question 12, lower amounts are permissible upon board approval and have been accepted in the past. For the purposes of performing calculations for Question 14 of Schedule D, Section 7.B. (1), the Registrant has included as owned by related persons interests in funds managed by the Registrant that are beneficially owned by certain trusts established by or in respect of personnel of the Registrant."
2010625,"In response to Schedule B ? Indirect Owners, the Adviser has listed all required entities based on the percentage of voting shares owned. Specifically, BTG Pactual G7 Holding S.A. holds more than 75% of the total voting shares of BTG Pactual Holding S.A. In addition, BTG Pactual Holding Financeira Ltda. holds more than 75% of the voting shares of Banco BTG Pactual S.A. ------------------------------------------ In response to Item 7.A of Schedule D, certain related persons have been omitted in accordance with SEC Staff guidance provided in the Frequently Asked Questions on Form ADV and IARD. A list of related persons who have been omitted is available upon request. The related persons not listed were omitted because they are wholly unrelated to the Adviser?s services and are not considered advisory affiliates. The list of related persons not listed: (1) do not share the same physical location as the Adviser; (2) have no business dealings with the Adviser; (3) do not conduct shared operations with the Adviser; (4) do not refer clients or business to the Adviser; (5) do not refer prospective clients or business to the Adviser; and (6) do not share supervised persons or premises with the Adviser. The Adviser has no reason to believe that its relationship with the omitted related persons creates a conflict of interest with the Adviser's Advisory Clients. ------------------------------------------ In the Regulatory Action disclosure section, all disclosures over the past ten years have been included. In addition, in an effort to be fully transparent and to be consistent with disclosures the BTG Pactual Group has made to its other international regulators, the following information is being voluntarily disclosed. On July 9, 2014, the former controlling shareholder and former chief executive officer of Banco BTG Pactual S.A. (?Banco BTG Pactual?), Andre Santos Esteves, reached an agreement with the Swiss Federal Department of Finance FDF (?FDF?) in connection with an inquiry by the FDF relating to the accidental omission of certain information in statements made to the Swiss Financial Market Supervisory Authority (?FINMA?) by Mr. Esteves in 2011. Both Banco BTG Pactual and Mr. Esteves are listed as indirect owners of BTG Pactual Global Asset Management Ltd. At the time such omissions were discovered in 2011, Mr. Esteves described to FINMA the rational for the omission and was advised that the matter would not result in any further inquiry or proceeding. The matter was revisited as a result of Banco BTG Pactual's opening of an unregulated commodities business in Switzerland in late 2013. In late 2013, Banco BTG Pactual visited FINMA to confirm its views that such business was not subject to FINMA oversight pursuant to applicable Swiss law and was advised that the matter from 2011 was being revisited. The inquiry centered on Mr. Esteves? accidental failure to disclose an administrative investigation in Italy by the Italian Companies and Stock Exchange Commission (Commissione Nazionale per le Societa e La Borsa) that has previously been disclosed to the SEC in 2012. Mr. Esteves presented his explanations for such omission to the FDF, who determined to terminate its inquiry in exchange for a reparation payment to the Swiss Federation by Mr. Esteves in the amount of CHF 250,000. This matter did not result in any criminal liability whatsoever for Mr. Esteves and the payment is not classified as a fine under the laws of Switzerland. This matter does not rise to the level of a regulatory action and the reparation payment does not meet the definition of a ?finding? or ?administrative sanction? under the definitions outlined in the instructions of Form ADV. Accordingly, no additional disclosures are being made under Item 11"
2008743,"SOUTHERN CROSS GROUP MANAGEMENT, L.P. (?SCGM?) SERVES AS THE INVESTMENT ADVISER TO SOUTHERN CROSS LATIN AMERICA PRIVATE EQUITY FUND III, L.P. (?FUND III?), SOUTHERN CROSS LATIN AMERICA PRIVATE EQUITY FUND V, L.P. (?FUND V?), SOUTHERN CROSS LATIN AMERICA EXTENSION FUND IV, L.P. (?SCLAEF IV?), ANCORA INVESTMENTS, L.P. (?ANCORA?), POLINVEST, L.P. (?POLINVEST), CYPRUS SCG INVESTMENTS, L.P. (?CYPRUS SCG INV.?), SOUTHERN CROSS LATIN AMERICA EXTENSION FUND V, L.P. (?SCLAEF V?) AND CERTAIN OF THEIR AFFILIATED ALTERNATIVE INVESTMENT VEHICLES (?AIVS?), SPECIAL PURPOSE VEHICLES (?SPVS?), PARALLEL FUNDS AND CO-INVESTMENT VEHICLES. FUNDS III, IV, V AND SCLAEF COMBINED WITH RELATED AIVS AND SPS ARE REFERRED TO AS ?THE FUNDS?.  SINCE ITS INCEPTION, PURSUANT TO A MANAGEMENT AND ADVISORY AGREEMENT BETWEEN FUND V AND SCGM, SCGM PROVIDES MANAGEMENT AND ADMINISTRATIVE SERVICES TO FUND V AND GENERALLY MANAGES THE OPERATIONS OF FUND V, INCLUDING MAKING ALL INVESTMENT DECISIONS FOR FUND V, EXCEPT AS OTHERWISE DETERMINED BY FUND V?S GENERAL PARTNER (THE ?GP?), WHICH SHALL RETAIN ULTIMATE RESPONSIBILITY WITH RESPECT TO MATTERS INVOLVING ANY SUCH AUTHORITY.  SCGM IS CONTROLLED BY THE MEMBERS (SET FORTH IN SCHEDULE A HEREOF) OF THE EXECUTIVE COMMITTEE OF SCGM Ltd., THE GENERAL PARTNER OF SCGM (THE ?EXECUTIVE COMMITTEE?). THE EXECUTIVE COMMITTEE MEMBERS OR THEIR RESPECTIVE AFFILIATES ARE MAJORITY OWNERS OF SCGM, SCGM Ltd. AND THE GPS. OTHER THAN EXECUTIVE COMMITTEE MEMBERS, CERTAIN PARTNERS AND PRINCIPALS HAVE AN OWNERSHIP INTEREST IN SCGM S.A. SCGM RETAINS THE SERVICES OF LATIN AMERICA-BASED BUSINESS CONSULTING AND OTHER SERVICES FIRMS. THESE FIRMS ARE AFFILIATED WITH SCGM AND/OR ITS OWNERS. 5 PERSONS (INCLUDING 3 OF THE 5 MEMBERS OF THE EXECUTIVE COMMITEE) COMPRISE THE INVESTMENT COMMITTEE FOR THE FUNDS. SCGM ONLY CONSIDERS THOSE 5 PERSONS AS PERSONS MAKING INVESTMENT ADVISORY DECISIONS. OTHER EMPLOYEES PROVIDE RESEARCH AND RELATED SERVICES OR TECHNOLOGY, ACCOUNTING AND BACK-OFFICE SERVICES. SCH. D, ITEM 1.F. ALL OF THE OTHER OFFICES LISTED ARE OFFICES FOR ENTITIES THAT PROVIDE SERVICES TO SCGM IN ACCORDANCE WITH ITEMS 5A AND 5B ABOVE.  CERTAIN RELATED PERSONS SET FORTH IN THIS SECTION SERVE AS GENERAL PARTNERS OF ONE OR MORE FUNDS, SPVS, AIVS, CO-INVESTMENT VEHICLES, OR PARALLEL FUNDS ADVISED BY SCGM AND HAVE NO EMPLOYEES. THE INDIVIDUALS THAT CONTROL SUCH RELATED PERSONS ARE SUBJECT TO THE SUPERVISION AND CONTROL OF SCGM, AS APPLICABLE. THEREFORE, NO SUCH RELATED PERSON IS SEPARATELY REGISTERED OR, TO THE EXTENT APPLICABLE, MAKES SEPARATE FILINGS WITH THE SEC.  SOUTHERN CROSS CAPITAL PARTNERS, SOUTHERN CROSS CAPITAL PARTNERS II, SOUTHERN CROSS CAPITAL PARTNERS III, L.P., SOUTHERN CROSS CAPITAL PARTNERS V, L.P., SOUTHERN CROSS CAPITAL PARTNERS EXTENSION IV, L.P., SOUTHERN CROSS CAPITAL PARTNERS EXTENSION V, L.P., CYPRUS SCG CAPITAL PARTNERS, L.P., AND SCGM LTD.: THE RELATED PERSON IS THE ACTUAL OR ULTIMATE GENERAL PARTNER OF ONE OF THE FUNDS ADVISED BY SCGM AND HAS NO EMPLOYEES. THE INDIVIDUALS THAT CONTROL SUCH GENERAL PARTNERS ARE SUBJECT TO THE SUPERVISION AND CONTROL OF SCGM. THEREFORE, SUCH GENERAL PARTNERS ARE NOT SEPARATELY REGISTERED.  SOUTHERN CROSS INVESTMENTS, L.P., AND LATIN AMERICAN CONSULTING, L.P. : THE RELATED PERSON ONLY PROVIDES ADVICE TO SCGM AND ALL OF ITS EMPLOYEES ARE SUBJECT TO THE SUPERVISION OF ONE OR MORE OF SUCH PERSONS. THUS, IT IS NOT SEPARATELY REGISTERED.  LAC CHILE SPA, SCG MEXICO ASESORES DE NEGOCIOS S.A., AND SOUTHERN CROSS DO BRASIL ADMINISTRADORA DE RECURSOS LTDA.: THE RELATED PERSON ONLY PROVIDES ADVICE TO LATIN AMERICAN CONSULTING, L.P., AND ALL OF ITS EMPLOYEES ARE SUBJECT TO THE SUPERVISION OF SCGM. THUS, IT IS NOT SEPARATELY REGISTERED.  SCH. A ENTITIES WITH ?FOREIGN? AS THEIR EIN ARE NON-U.S. ENTITIES THAT HAVE NO S.S. NO., IRS TAX NO. OR EIN. ITEM 8.B.2. WHEN INVESTING IN A PORTFOLIO COMPANY, THE RESPECTIVE FUND, THROUGH THE APPLICABLE GENERAL PARTNER OR SCGM, WILL HAVE THE ABILITY TO CREATE ONE OR MORE AIVS, SPVS AND/OR PARALLEL FUNDS PURSUANT TO FUND III, SCLAEF AND FUND V'S LIMITED PARTNERSHIP AGREEMENT FOR THE SOLE PURPOSE OF ACQUIRING THE PORTFOLIO COMPANY. IN CERTAIN INSTANCES, THE RESPECTIVE FUND WOULD ACQUIRE THE SPV, WHICH IN TURN WOULD PURCHASE THE PORTFOLIO COMPANY. IN THE CASE OF AN AIV, SUCH AIV WOULD INVEST ALONGSIDE OR IN LIEU OF THE RESPECTIVE FUND PURSUANT TO THE LIMITED PARTNERSHIP AGREEMENT. A RELATED PERSON OF SCGM WOULD BE THE MANAGING MEMBER, MANAGER, OR GENERAL PARTNER OF EACH SUCH SPV OR AIV, BUT WOULD RECEIVE NO ADDITIONAL COMPENSATION WHATSOEVER FOR SUCH POSITION. EACH SUCH SPV OR AIV WOULD BE ESTABLISHED SOLELY FOR THE BENEFIT OF THE RESPECTIVE FUND AND ITS LIMITED PARTNERS.  SECTION 7.B. OF SCHEDULED : CERTAIN AIVS AND SPVS HAVE NOT BEEN SEPARATELY LISTED , AND THE ASSETS ATTRIBUTABLE TO SUCH ENTITIES ARE ALREADY INCLUDED IN THE GROSS ASSET VALUES OF THE FUND O WHICH THEY RELATE AND THE AMOUNT OF CLIENT FUNDS AND SECURITIES IN CUSTODY THAT ARE OTHERWISE REPORTED IN THIS FORM.  THE GROSS ASSET VALUE REPORTED FOR FUND III REPORTED IN SECTION 7.B.(1) INCLUDES THREE CO-INVESTMENT VEHICLES ($ 2,339,343 FOR GESTORA OMEGA LIMITADA TRES Y CPA, $ 10,657 FOR GESTORA OMEGA LIMITADA CUATRO Y CPA, AND $ 19,290,879 FOR CYPRUS SCG CO-INVESTMENTS, L.P. RESPONSE TO QUESTION 25 OF SECTION 7.B.(1) INCLUDES ONE UNAFFILIATED CUSTODIAN FOR THE THREE CO-INVESTMENT VEHICLES.  THE GROSS ASSET VALUES REPORTED FOR SCLAEF REPORTED IN SECTION 7.B.(1) INCLUDE TWO CO-INVESTMENT VEHICLES ($ 26,834,261 FOR PICASSO CHILEAN HOLDING, LP, AND $ 22,818,866 FOR GESTORA CADMO LTDA. DOS Y CPA. RESPONSE TO QUESTION 25 OF SECTION 7.B.(1) INCLUDES ONE UNAFFILIATED CUSTODIAN FOR ONE OF THE CO-INVESTMENT VEHICLES.  THE GROSS ASSET VALUE REPORTED FOR FUND V REPORTED IN SECTION 7.B.(1) INCLUDES $ 6,228,764 OF A PARALLEL FUND, CIBANCO SA IBM FIDEICOMISO CIB/2643. RESPONSE TO QUESTION 25 OF SECTION 7.B.(1) INCLUDES ONE UNAFFILIATED CUSTODIAN FOR THE PARALLEL FUND.   ANCORA, POLINVEST, CYPRUS SCG INV. ARE ALL LIMITED PARTNERS OF FUND III, AND THEREFORE THEIR GROSS ASSET VALUES SHOULD NOT BE ADDED TO OTHER FUNDS TO AVOID DOUBLE COUNTING. THEY ARE HOWEVER, INCLUDED FOR CALCULATING THE RESPONSE TO QUESTION 20 OF SECTION 7.B.(1) FOR FUND III, AS THEY ARE SCGM'S CLIENTS INVESTING IN SAID FUND.  REDUCTION IN GROSS ASSET VALUE FOR CERTAIN FUNDS REFLECT DIVESTMENTS MADE BY SAID FUNDS."
2009301,"Solivera Capital is making an initial Exempt Reporting Adviser filing in advance of the launch of its first private fund. At the time of this filing, the adviser does not yet advise any private funds but intends to do so and will amend this Form ADV within 30 days of the formation of its first fund."
2008359,"Charter Growth Capital Fund II, L.P. is a licensed Small Business Investment Company (SBIC).  Charter Private Capital Management, LLC is registered with the State of Michigan under the Assumed Names of ""Charter Capital Partners"" and ""Charter Growth Capital"" through 2029."
1999079,"Verance Capital Management LLC serves as a sub-adviser to Verance Capital, LLC, which is advised by an investment adviser exempt from registration as a family office pursuant to Rule 202(a)(11)(G)-1."
2007644,"Spangler Holdings LLC (?SHLLC?) has been included in Schedule A of this Form ADV because the Form ADV definitions deem SHLLC to be an ""owner"" of Finch Bay Capital LLP (?Firm?) in relation to SHLLC's capital investment into the Firm.  For context, the Firm is able to call up to a total of $10,000,000 in non-debt capital from SHLLC for use in firm-building and operational expenses.  SHLLC does not have any voting or control rights and does not receive any of the residual profits of the Firm. All decision-making at the Firm, including but not limited to investment management of the Firm?s private funds and Firm strategy, resides in the non-corporate members of the LLP, none of whom is related to SHLLC."
2011831,"NOTE FOR ITEM 2B(2): abrdn INVESTMENTS LUXEMBOURG SA (aILSA) IS NOT RESPONSIBLE FOR MANAGING CLIENT ASSETS. aILSA DELEGATES THIS FUNCTION TO OTHER INVESTMENT ADVISERS. aILSA HAS RELATED PERSONS THAT ARE NOT LISTED IN SECTION 7.A OF ITS SCHEDULE D BECAUSE IT DOES NOT HAVE ANY BUSINESS DEALINGS WITH THE RELATED PERSONS IN CONNECTION WITH ADVISORY SERVICES PROVIDED TO ITS CLIENTS, DOES NOT CONDUCT SHARED OPERATIONS WITH THE RELATED PERSONS, DOES NOT REFER CLIENTS OR BUSINESS TO THE RELATED PERSONS, AND THE RELATED PERSONS DO NOT REFER PROSPECTIVE CLIENTS OR BUSINESS TO aILSA, DOES NOT SHARE SUPERVISED PERSONS AND DOES NOT HAVE REASON TO BELIEVE THAT ITS RELATIONSHIP WITH THE RELATED PERSONS OTHERWISE CREATE A CONFLICT OF INTEREST WITH aILSA'S CLIENTS. A SUPPLEMENTARY LIST OF RELATED PERSONS WHO ARE NOT LISTED IN SECTION 7.A, WILL BE PROVIDED UPON REQUEST."
2012392,"VICTORIA SOUTH AMERICAN PARTNERS LLC (CRD # 162185) HAD PREVIOUSLY APPLIED FOR REGISTRATION WITH THE SEC, WHICH REMAINED UNDER REVIEW BY THE SEC STAFF.  BECAUSE ITS REGULATORY ASSETS UNDER MANAGEMENT (R-AUM) HAS NOW FALLEN BELOW $150 MILLION, IT HAS WITHDRAWN THAT APPLICATION FOR REGISTRATION AND IS FILING THIS FORM ADV AS AN EXEMPT REPORTING ADVISER.  S?O PEDRO CAPITAL INVESTIMENTOS LTDA. (CRD # 296814) (""S?O PEDRO""), IS NOW AN INDEPENDENT INVESTMENT FIRM THAT IS THE SUCCESSOR ENTITY TO VICTORIA CAPITAL PARTNERS CONSULTORIA E INVESTIMENTOS LTDA, WHICH WAS PREVIOUSLY PART OF THE VICTORIA CAPITAL PARTNERS GROUP OF ENTITIES. S?O PEDRO IS OWNED AND LED BY ALEXANDRE DIAS, WHO WAS RESPONSIBLE FOR THE INVESTMENT ACTIVITIES OF VICTORIA CAPITAL PARTNERS IN BRAZIL FROM 2018 TO 2020. IN 2020, S?O PEDRO AND VICTORIA CAPITAL PARTNERS ENTERED INTO AN AGREEMENT PURSUANT TO WHICH S?O PEDRO WAS APPOINTED THE LOCAL MANAGER OF CERTAIN FIPS (FUNDO DE INVESTIMENTO EM PARTICIPAC?ES) TO PROVIDE SERVICES TO VICTORIA CAPITAL PARTNERS IN RESPECT OF THE FUNDS THAT HOLD, OR FORMERLY HELD, THE FOLLOWING BRAZILIAN PORTFOLIO COMPANIES: NUTRICARE SUPLEMENTOS (NCS) AND ELEMIDIA."
