"FilingID","CIK"
2001969,872163
2002897,1085972
2002902,2022634
1996875,1583751
2000657,1357550
1999303,1950947
2002998,1606720
2003036,2059649
2003050,2059649
1989083,1756488
2003206,2059649
1998571,1697233
2005543,1861163
2006049,1748278
2005430,2040021
2004744,1672512
2006409,926106
2005915,938772
2006276,1804785
2002782,1438574
2006502,2002745
2003505,1664147
2003499,1755368
2002254,1766918
2003582,1542164
2002542,1373866
2002542,1409839
2002542,1456738
2002542,1694228
2002542,1553893
2002542,1567130
2002542,1638219
2002542,1653874
2002542,1669929
2002542,1684511
2002542,1707382
2002542,1735428
2002542,1772386
2002542,1805401
2002542,1853582
2002542,1891814
2002542,1896228
2002542,1959905
2002542,2011845
2002542,2011057
2002542,2057254
2003617,1128122
2003667,1856219
2003681,1845943
2003704,1730811
2006002,1595855
2001558,1920120
2006423,1744348
2004558,1067324
2006463,1362244
2006463,782124
1985333,1162870
2006699,1729677
2006716,90108
2000626,2044495
2006743,1322981
2006765,1374182
2006765,1173486
2006768,2009530
2006773,17165
2001772,2011194
2001773,1387761
2001820,1731876
2000806,909661
2001893,1107261
2001913,1911702
1998803,1492133
2004066,225816
2004855,798209
2004172,1352469
2004465,1802978
2004768,1532472
2004489,1542826
2006916,1632631
2006916,2022204
2006916,2061470
2007055,947529
2007075,1977181
2007047,1845268
2007106,1315478
1998625,1731152
2003662,1753570
2004072,1703301
1998452,2072569
2002709,1573485
2004184,1084208
2004184,724743
2004136,1568787
2004259,1861163
1999246,1803536
2001042,1698478
2001903,1811242
2000567,180923
2002285,2036718
2002317,1767306
2002988,1803536
2002543,1733356
2002727,1463464
2002730,1523665
2000921,1670509
2000921,1733613
2000921,1670508
2000921,1581243
2000921,1581245
2000921,1581246
2000921,1610812
2000921,1893898
2000921,1940307
2002533,1556218
2001119,1913221
2000984,1633516
1998800,1727012
2003469,1797093
2003081,1923100
2003422,142512
2003461,1817174
2004643,1774879
2004726,1034642
2004819,1344114
2004411,1843723
2003491,1502287
1997923,1350694
2004923,1694080
2003587,1040198
2005004,1702511
2001115,1474589
2001115,1217541
2000951,1764386
2001211,1591097
2000818,1037792
2000962,1803848
2001270,1508195
2001303,1196878
2001142,1110547
2001142,1389426
2000484,1801868
2001327,1336488
1998215,1352871
2000624,158044
2001370,2035216
2001410,1998033
2001419,1566601
2002047,1706013
2002193,1713520
2002204,1133219
2002204,356872
2002204,829433
2000942,102909
2002312,1767306
2002624,193123
2001010,1690010
2006940,1103804
2006971,1532472
2006895,1521019
2005118,1318579
2007002,1755670
2007065,1915315
1976475,901032026
2006855,1377581
2004892,874779
2007140,1427748
2004443,314828
2004443,1667146
2005858,1290162
2005885,98758
1995231,1762283
2002683,1905156
2004911,1797734
2006684,756950
2006718,1621735
2003688,1608234
1995813,1963326
1980956,1633629
2004893,1728866
2006779,1165830
2006776,1579407
2006790,1332342
2006788,1086364
2006791,1169553
2001799,1599054
2006786,1006249
2006800,1434323
2003871,1455253
2006820,826000
2006024,1983670
2006209,1364615
2006731,1513381
2006497,1767329
1998051,2036662
2005049,1855567
2006433,1703301
2006886,822648
2006585,1742941
2006894,1535639
2002400,1807283
2002398,1811513
2002492,7263555
2002531,1133639
2002526,2074440
2004039,1600152
2003483,1993404
2004071,1817494
2004073,1600152
2004135,1782624
2003373,1644956
2003318,919538
2002891,1425864
2002726,1744347
1998654,1910389
2002785,2051117
2002789,1844345
1997337,2071351
2002890,1061186
2004754,1696497
2000749,1696868
2004640,1122490
2004987,1683059
2003933,1568132
2005175,1992825
2005155,1478215
2005230,1349353
2005251,1764694
1999680,1086318
2003279,1516450
2004997,1682733
2005086,1856219
2003892,1034182
2005196,1730126
2005182,1424717
1992667,1921448
2000763,1766972
2001614,2003147
2002546,1767611
2003204,2059649
1982072,1344114
2002181,1554913
2002814,1179124
2002808,938772
2003379,1701714
2004770,315030
2004770,91154
2004780,1910858
2004432,2063906
2004436,1415227
2003821,1055966
2004829,1593324
2004886,1571556
2004906,1642575
2005549,1665359
2005574,1633516
2005377,1600344
2005643,1799957
2005649,1729854
2005257,913239
2005257,1581794
1991786,314984
2005727,1707856
2004365,1426960
2005599,1904477
2006217,1049662
1990230,1907541
2006283,1907541
2006335,1593387
2002621,947529
2001732,928196
2002639,1566691
2002646,16453
2002354,1674836
2002086,2053236
1999441,1513137
2001238,1596276
1999513,1735057
2006354,1580862
2006396,2053368
2006403,1650393
2006094,1712533
2000483,1660401
2000483,1660386
2004824,840770
2005588,1633516
2006484,947529
2006563,1025038
2006563,1974974
2005171,1389277
2001855,1158011
2001313,1659047
2001122,743267
2001122,1075869
2000522,1040197
2001549,2011194
2001604,855702
2001233,1327354
2001233,1137352
2001233,1130227
2001644,1455161
2001221,53903
2001221,810417
2001221,1130371
2001221,1512995
2002366,1802080
2002403,1539503
2002383,1843358
1993792,311887
2002440,310695
2002375,315030
2002375,91154
2001983,882119
2001838,1103804
1982886,860176
2004057,1663649
2004035,1291274
1982779,853758
2004153,1559130
2004476,99947
2005526,741611
2005526,1173475
2005526,928121
2005526,1363391
2006553,938772
2006708,1666925
2006769,917129
2006769,936516
2006769,1086363
2006782,1654470
1996232,2008171
2006804,1352467
2006804,1104606
1998762,826000
2006833,1717705
2006849,1579409
2006854,1559921
2003345,1771169
2006859,1297700
2006482,1769297
2006885,1364615
2000534,1424071
2001163,1963967
2001169,1963967
2001209,935142
2001209,1055957
2001249,1508195
2001293,1641866
2001319,1743404
2001328,1844897
2001345,27182
1999992,1964835
2000899,750641
2000824,1080374
1995535,1462245
2001375,1407543
2001398,1982492
2001401,949918
2001285,1403169
2001431,1589282
2001251,1665976
2001518,1606609
2001338,1878570
2001652,756950
2001667,1629290
2001666,1360798
2001460,1698218
2001307,1432529
2004937,1556785
2006147,728612
2006147,65106
2005955,1642246
2006224,829108
2004356,1904126
1998926,1635342
2003322,1849753
2002927,1695490
2002736,1593177
2003111,1484540
2003136,1161722
2004415,1811827
2004185,1717906
2003757,822378
2003812,85816
2003480,1670335
2003480,1670336
2004139,1633516
2004027,1543160
2004387,1035350
2004983,1844201
2005084,1963863
2002846,1720777
2005372,1055951
2000895,1009258
2002938,1603466
2000554,1569638
2002749,1802696
1996883,1729457
2003163,1803236
2001884,1535464
2002686,1761013
2004246,2010830
2003166,1844716
2002762,315030
2002762,91154
2004319,1840085
2005058,1006407
2005077,1903859
2002647,1847820
2005191,1616525
2005249,1764694
2005264,2056510
2001763,1909904
2001771,1146222
1987360,1230207
2001803,1641866
2001815,2042930
