FilingID,FormVersion,DateSubmitted,1A,1B1,1B2,1C-Legal,1C-Business,1C-New Name,1D,1E1,1F1-Street 1,1F1-Street 2,1F1-City,1F1-State,1F1-Country,1F1-Postal,1F1-Private,1F2-M-F,1F2-Other,1F2-Hours,1F3,1F4,1F5,1G-Street 1,1G-Street 2,1G-City,1G-State,1G-Country,1G-Postal,1G-Private,1I,1L,1M,1N,1N-CIK,1O,1OAmount,1P,4A,4B,5A,5B1,5B2,5B3,5B4,5B5,5B6,5C1,5C2,5D1a,5D1b,5D1c,5D1d,5D1e,5D1f,5D1g,5D1h,5D1i,5D1j,5D1k,5D1l,5D1m,5D1n,5D1n Other,5D2a,5D2b,5D2c,5D2g,5D2h,5D2i,5D2j,5D2k,5D2l,5D2m,5D2n,5D3a,5D3b,5D3c,5D3d,5D3e,5D3f,5D3g,5D3h,5D3i,5D3j,5D3k,5D3l,5D3m,5D3n,5E1,5E2,5E3,5E4,5E5,5E6,5E7,5E7-Other,5F1,5F2a,5F2b,5F2c,5F2d,5F2e,5F2f,5F3,5G1,5G2,5G3,5G4,5G5,5G6,5G7,5G8,5G9,5G10,5G11,5G12,5G12-Other,5H,5H-Other,5I1,5I2a,5I2b,5I2c,5J1,5J2,5K1,5K2,5K3,5K4,5L1a,5L1b,5L1c,5L1d,5L1e,5L2,5L3,5L4,6A1,6A2,6A3,6A4,6A5,6A6,6A7,6A8,6A9,6A10,6A11,6A12,6A13,6A14,6A14-Other,6B1,6B2,6B3,7A1,7A2,7A3,7A4,7A5,7A6,7A7,7A8,7A9,7A10,7A11,7A12,7A13,7A14,7A15,7A16,7B,8A1,8A2,8A3,8B1,8B2,8B3,8C1,8C2,8C3,8C4,8D,8E,8F,8G1,8G2,8H1,8H2,8I,9A1a,9A1b,9A2a,9A2b,9B1a,9B1b,9B2a,9B2b,9C1,9C2,9C3,9C4,9D1,9D2,9E,9F,10A,11,11A1,11A2,11B1,11B2,11C1,11C2,11C3,11C4,11C5,11D1,11D2,11D3,11D4,11D5,11E1,11E2,11E3,11E4,11F,11G,11H1a,11H1b,11H1c,11H2,12A,12B1,12B2,12C1,12C2,Execution Type,Signatory,Execution Date,Title
1975654,Oct-21,4/17/2025 9:53,"TOUCHSTONE CAPITAL, INC.","TOUCHSTONE CAPITAL, INC.",N,N,N,,801-112657,282537,1001 MCKNIGHT PARK DRIVE,,PITTSBURGH,PA,United States,15237,N,Other,"MONDAY, TUESDAY, THURSDAY, FRIDAY",9:00 AM - 5:00 PM,(724) 933-8388,(724) 933-8395,2,,,,,,,,Y,N,N,N,,N,,,N,,18,4,0,3,0,2,0,0,0,152,26,0,0,0,0,,,0,0,0,0,,0,,N,N,N,Y,Y,N,N,N,N,Y,N,36784982,64699331,0,0,0,0,386305,34130,0,0,0,0,1937,0,Y,N,N,Y,N,N,N,,Y,101906685,0,101906685,182,0,182,0,Y,Y,N,N,N,Y,Y,N,N,N,N,N,,251-500,,Y,0,0,101906685,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,N,,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,,N,N,N,Y,Y,39916667,14,N,N,,,N,N,Y,N,N,N,Nov-24,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,Domestic,E,4/2/2025,CCO
1980453,Oct-21,4/17/2025 10:08,COORDINATED FINANCIAL PLANNING CORP,COORDINATED FINANCIAL PLANNING CORP,N,N,N,,801-19769,105143,4555 LAKE FOREST DRIVE #560,,CINCINNATI,OH,United States,45242,N,Monday - Friday,,8:30AM-5:00PM,513-769-3131,513-769-5041,0,,,,,,,,Y,N,N,N,,N,,,N,,5,4,0,4,0,0,0,0,0,262,87,0,0,0,0,,0,0,0,0,0,0,0,,N,N,N,Y,N,N,N,N,N,N,N,126061277,161501006,0,0,0,0,2327125,0,0,0,0,0,0,0,Y,N,N,Y,N,N,N,,Y,272226217,17663191,289889408,1551,51,1602,4706649,Y,Y,N,N,N,N,N,N,N,N,N,N,,251-500,,N,,,,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,Y,N,110811064,193,N,N,,,N,N,N,N,N,N,,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,Domestic,LONNY ELFENBEIN,4/17/2025,CHIEF COMPLIANCE OFFICER
1980461,Oct-21,4/17/2025 10:18,"ALTERNA WEALTH MANAGEMENT, INC.","ALTERNA WEALTH MANAGEMENT, INC.",N,N,N,,801-71135,146153,2800 POST OAK BLVD,SUITE 6300,HOUSTON,TX,United States,77056,N,Monday - Friday,,8:00 A.M. - 5:00 P.M.,713-885-9843,713-885-9849,1,,,,,,,,Y,N,N,N,,N,,254900H860BO7SDCBW64,N,,51,40,27,24,0,11,8,0,86,592,524,,,,,,,,,,,169,,,N,N,N,N,N,N,N,N,N,N,N,193666204,624842778,,,,,,,,,,,412976697,,Y,N,N,N,N,N,N,,Y,799596549,431889130,1231485679,927,358,1285,1054013641,N,Y,N,N,N,N,N,N,N,N,N,N,,,,N,,,,N,N,Y,N,N,Y,Y,Y,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,,Y,N,N,N,N,,,N,N,,,N,N,N,N,N,N,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,Domestic,JONATHAN WOWAK,4/17/2025,CHIEF COMPLIANCE OFFICER
1980470,Oct-21,4/17/2025 10:34,ITS ASSET MANAGEMENT LP,"ITS ASSET MANAGEMENT, L.P.",N,N,N,,801-7190,106977,565 WASHINGTON AVENUE,SUITE 7,NORTH HAVEN,CT,United States,06473,N,Other,HOURS MAY VARY. IN-PERSON MEETINGS BY APPOINTMENT,8:30 AM  TO 5:30 PM,203-234-9499,203-234-9550,2,,,,,,,,Y,N,N,N,,N,,,N,,8,2,1,2,0,1,61,0,0,747,26,,,,,5,,0,,,,16,,,N,N,N,N,Y,Y,N,N,N,N,N,99380659,99560906,,,,,9588083,14132292,325611,,,,59841015,,Y,N,N,N,N,N,N,,Y,282828566,0,282828566,1089,0,1089,0,N,Y,N,N,Y,N,N,N,N,N,N,N,,0,,N,,,,Y,N,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,,N,,Y,N,N,N,N,,,N,N,,,N,N,N,N,N,N,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,Domestic,LONNY ELFENBEIN,4/17/2025,CHIEF COMPLIANCE OFFICER
1980482,Oct-21,4/17/2025 11:10,"CORNERSTONE WEALTH PARTNERS, LLC","CORNERSTONE WEALTH PARTNERS, LLC",N,N,N,,801-129835,146602,"2525 JOLLY ROAD, SUITE 200",,OKEMOS,MI,United States,48864,N,Monday - Friday,,9:00 A.M. - 5:00 P.M.,517-381-3450,,3,,,,,,,,Y,Y,N,N,,N,,,N,,14,8,0,8,0,2,0,1229,0,59,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,12769267,,,,,,,,,,,,,,Y,N,N,Y,N,N,Y,COADVISOR FEES,Y,12769267,0,12769267,138,0,138,0,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,,0,,N,,,,N,N,Y,N,N,Y,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,,N,,N,N,Y,N,N,,,N,N,,,N,N,N,N,N,N,,1,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Domestic,JOSHUA VANDYKE,4/17/2025,CHIEF COMPLIANCE OFFICER
1980451,Oct-21,4/17/2025 11:19,"COLONY CAPITAL INVESTMENT ADVISORS, LLC","COLONY CAPITAL INVESTMENT ADVISORS, LLC",Y,N,N,,801-96214,175506,750 PARK OF COMMERCE DRIVE,SUITE 210,BOCA RATON,FL,United States,33487,N,Monday - Friday,,9:00AM TO 6:00PM,561-570-4644,,5,,,,,,,,Y,Y,N,N,,N,,5493002T453J9F68NC03,N,,89,3,0,0,0,0,0,0,50,,,,,,5,,,,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,,,,,,379183464,,,,,,154254600,,,Y,N,N,Y,N,Y,Y,"ASSET MANAGEMENT FEES, CUSTOM FEE ARRANGEMENTS",Y,533438064,0,533438064,6,0,6,266719032,N,N,N,Y,N,N,N,N,N,N,N,N,,,,N,,,,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,0,0,Y,Y,379183464,5,N,Y,N,N,N,N,,2,N,Y,N,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,Domestic,KRISTEN WHEALON,4/17/2025,CHIEF COMPLIANCE OFFICER
1980558,Oct-21,4/17/2025 12:18,"MJP ASSOCIATES, INC.",MJP WEALTH ADVISORS,N,N,N,,801-63389,127654,74 BATTERSON PARK RD,SUITE 103,FARMINGTON,CT,United States,06032,N,Monday - Friday,,8:30AM - 5:00PM EST,860-677-7755,860-674-9336,1,,,,,,,,Y,N,N,N,,N,,,N,,14,6,5,7,0,3,1,0,0,534,271,,,,,39,5,,,,,,,,N,N,N,N,N,N,N,N,N,Y,N,201307957,849938306,,,,,246897649,10922065,,,,,9989914,,Y,Y,N,Y,N,N,N,,Y,1319055891,0,1319055891,2804,0,2804,0,Y,Y,N,N,N,Y,Y,N,N,N,N,Y,MJP ONLINE ADVISOR SERVICE,0,,N,,,,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Y,N,Y,N,Y,N,N,Y,N,330943654,740,N,N,,,N,N,N,N,N,N,,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,Domestic,LONNY ELFENBEIN,4/17/2025,CHIEF COMPLIANCE OFFICER
1980570,Oct-21,4/17/2025 12:36,1832 ASSET MANAGEMENT U.S. INC.,1832 ASSET MANAGEMENT U.S. INC.,N,N,N,,801-61257,120836,16TH FLOOR,40 TEMPERANCE STREET,"TORONTO, ONTARIO",,Canada,M5H 0B4,N,Monday - Friday,,8:30 TO 5:00,416-840-7986,416-933-7481,13,38TH FLOOR,40 KING STREET WEST,"TORONTO, ONTARIO",,Canada,M5H 2X6,N,N,Y,N,N,,N,,,N,,59,23,0,0,0,0,5,0,0,110,85,0,1,0,0,0,0,0,0,0,0,13,,,N,N,N,N,N,N,N,N,N,N,N,59656791,413907499,,290989124,0,0,,,,,,,157698628,,Y,N,N,N,N,Y,N,,Y,922252042,0,922252042,340,0,340,0,N,Y,Y,N,Y,N,N,N,N,N,N,N,,0,,N,,,,N,N,Y,N,N,Y,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,,,Y,Y,624613686,204,N,N,N,Y,N,Y,,4,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,Non-Resident,DANA BANKS,4/17/2025,CHIEF COMPLIANCE OFFICER
1980581,Oct-21,4/17/2025 12:57,"FERGUSON WELLMAN CAPITAL MANAGEMENT, INC.","FERGUSON WELLMAN CAPITAL MANAGEMENT, INC.",N,N,N,,801-11188,104692,888 SW 5TH AVE STE 1200,,PORTLAND,OR,United States,97204,N,Monday - Friday,,7:00 A.M. - 5:00 P.M.,503-226-1444,503-226-3647,1,500 108TH AVENUE NE,SUITE 950,BELLEVUE,WA,United States,98004,N,Y,Y,N,N,,N,,254900BV5JDN9X0PY643,N,,63,27,0,26,0,0,3,0,0,92,812,0,0,0,0,33,61,0,0,0,0,28,0,,N,N,N,N,N,N,N,N,N,N,N,54286506,6817849644,,,,,969501651,781424439,,,,,369290188,,Y,N,N,N,N,N,N,,Y,8992352428,0,8992352428,4418,0,4418,3868095,Y,Y,N,N,Y,N,Y,N,N,N,N,N,,101-250,,Y,0,8759115,0,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,2399437488,663,Y,Y,241405489,235,N,N,Y,Y,N,N,Jan-25,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,Domestic,EZRA W. KOVER,4/17/2025,CHIEF COMPLIANCE OFFICER
1976190,Oct-21,4/4/2025 15:53,PRIME BUCHHOLZ LLC,PRIME BUCHHOLZ LLC,N,N,N,,801-37429,106455,"273 CORPORATE DRIVE, SUITE 250",,PORTSMOUTH,NH,United States,03801,N,Monday - Friday,,8:00-5:00,603-433-1143,603-433-8661,2,,,,,,,,Y,Y,N,N,,N,,,N,,128,72,0,0,0,0,0,170,0,0,31,0,0,0,0,15,199,0,0,4,0,1,0,,N,N,N,N,N,N,N,N,N,N,N,,1931674362,,,,,147930489,8760168828,,,51797222,,,,Y,N,N,Y,N,N,Y,A PERCENTAGE OF ASSETS UNDER ADVISEMENT,Y,4959914689,5931656212,10891570901,37,43,80,0,N,N,N,N,N,Y,Y,N,N,N,N,Y,"GENERAL INVESTMENT CONSULTING-INVESTMENT PROGRAM DESIGN,ASSET ALLOC, MGR SEARCH/EVAL, PERFORMANCE MONITORING,REPORTING&ANALYTICS",0,,N,,,,Y,N,Y,N,N,Y,Y,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Y,N,N,,N,N,N,N,Y,10891570901,80,N,N,,,N,N,Y,N,N,N,Nov-24,10,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,Domestic,MARCIA S. KOVALIK,4/4/2025,CHIEF COMPLIANCE OFFICER AND GENERAL COUNSEL
