"FilingID","Initial/Amended","11.H(1)(a)","11.H(1)(b)","11.H(1)(c)","11.H(2)","Filed Against","ReferenceID","Remove-Affiliate","Remove-Expired","Remove-Filed in Error","Error Explantion","Affiliate Submitted","Initiated By","Relief Sought","Other Relief Sought","Filing Date","Filing Date Exact","Filing Date Explanation","Principal Product","Other Product","Court","Employing Firm","Allegations","Status","Appeal Details","Date Served","Date Served Exact","Date Served Explanation","Resolution Type","Resolution Date","Resolution Date Exact","Resolution Date Explanation","Monetary Sanction","Monetary Amount","Revocation/Expulsion/Denial","Censure","Bar","Disgorgement/Restitution","Cease and Desist/Injunction","Suspension","Other Sanctions","Sanction Detail","Summary"
1917586,"AMENDED","","","Y","Y","Affiliates","1680775","","","","","N","VERBRAUCHERZENTRALE BADEN-WÜRTTEMBERG E.V. (VZBW)","Injunction","","09/26/2022","Y","","Equity Listed (Common & Preferred Stock)","","""LANDGERICHT FRANKFURT AM MAIN."" AKTENZEICHEN: 3-10 O 83/22.","N/A","THE VERBRAUCHERZENTRALE BADEN-WÜRTTEMBERG E.V. (""VZBW"") ALLEGED THAT DWS INVESTMENT GMBH (""DWS"") MADE MISLEADING STATEMENTS IN VIOLATION OF THE GERMAN ACT AGAINST UNFAIR COMPETITION (""UWG"") IN TWO MARKETING DOCUMENTS FOR A FUND ENTITLED ""DWS INVEST ESG CLIMATE TECH"" USED VIS-À-VIS CONSUMERS IN GERMANY.","Final","N/A","10/14/2022","Y","","Settled","03/10/2023","Y","","","","","","","","Y","","N/A","PURSUANT TO THE OUT-OF-COURT SETTLEMENT (THE ""SETTLEMENT"") DWS AND VZBW AGREED THAT, BEGINNING MARCH 22, 2023, DWS WOULD NO LONGER USE THE TWO MARKETING DOCUMENTS FOR THE FUND DWS ESG CLIMATE TECH VIS-À-VIS CONSUMERS IN GERMANY WITHOUT MAKING CERTAIN CHANGES TO THE MARKETING DOCUMENTS AND ISSUING A CORRESPONDING DECLARATION.","ON JULY 27, 2022, VZBW SENT A LETTER (THE ""LETTER"") TO DWS DEMANDING THAT DWS CEASE AND DESIST FROM MAKING CERTAIN STATEMENTS IN TWO MARKETING DOCUMENTS FOR A FUND ENTITLED ""DWS INVEST ESG CLIMATE TECH"" USED VIS-À-VIS CONSUMERS IN GERMANY WHICH THE VZBW ALLEGED WERE IN VIOLATION OF THE UWG.  ON AUGUST 18, 2022, DWS RESPONDED TO THE LETTER AND DENIED THE STATEMENTS IN THE MARKETING DOCUMENTS WERE IN VIOLATION OF THE UWG.  ON OCTOBER 14, 2022, VZBW SERVED DWS WITH THE LAWSUIT, ALLEGING THE SAME VIOLATIONS AS IN THE LETTER, IN THE LANDGERICHT FRANKFURT AM MAIN (THE DISTRICT COURT OF FRANKFURT AM MAIN).  ON MARCH 7, 2023, DWS, WITHOUT ADMITTING OR DENYING THE ALLEGATIONS, AGREED WITH VZBW TO THE SETTLEMENT, IN WHICH DWS AND VZBW AGREED THAT BEGINNING MARCH 22, 2023, DWS WOULD NO LONGER USE THE TWO MARKETING DOCUMENTS FOR THE FUND DWS ESG CLIMATE TECH VIS-À-VIS CONSUMERS IN GERMANY WITHOUT MAKING CERTAIN CHANGES TO THE MARKETING DOCUMENTS AND ISSUING A CORRESPONDING DECLARATION.  BOTH DWS AND VZBW SUBSEQUENTLY DECLARED THAT A COURT DECISION WAS NO LONGER NEEDED AND THE LANDGERICHT FRANKFURT AM MAIN DECLARED THE LAWSUIT TO BE OVER WITHOUT A COURT RULING ON MARCH 10, 2023 DUE TO THE SETTLEMENT."
1917586,"AMENDED","","Y","","","Affiliates","1680772","","","","","N","PROCURA DELLA REPUBBLICA PRESSO IL TRIBUNALE DI MILANO","Disgorgement","MONEY DAMAGES","01/13/2016","Y","","Derivative(s)","","TRIBUNALE ORDINARIO DI MILANO - SEZIONE SECONDA; 11622/16 REG. GEN.","N/A","THE MILAN PUBLIC PROSECUTOR ALLEGED THAT DEUTSCHE BANK AG/DEUTSCHE BANK AG LONDON BRANCH (""DB AG"") FAILED TO PROVIDE ADEQUATE MANAGEMENT AND SUPERVISION UNDER ITALIAN LEGISLATIVE DECREE 231 (NON-CRIMINAL LIABILITY) IN CONNECTION WITH ALLEGEDLY UNLAWFUL REPO TRANSACTIONS BETWEEN DB AG AND BANCA MONTE DEI PASCHI DI SIENA (""BMPS"") AND ITS SUBSIDIARY SANTORINI. THE TRANSACTIONS WERE ALLEGEDLY INTENDED TO HIDE BMPS LOSSES BY ALLOWING BMPS TO ACCOUNT FOR THE TRADES AS A FINANCING ON AN ACCRUAL BASIS, AND PERMITTED SOME BMPS SENIOR MANAGEMENT TO DISSEMINATE FALSE INFORMATION TO THE MARKET THROUGH THE PUBLICATION OF PRESS RELEASES QUOTING FINANCIAL DATA EMERGING FROM CERTAIN BMPS FINANCIAL STATEMENTS.","Pending","","11/08/2019","N","ON NOVEMBER 8, 2019, DBAG WAS FOUND NON-CRIMINALLY LIABLE UNDER LEGISLATIVE DECREE 231 AND SUBJECTED TO FINANCIAL PENALTIES DESCRIBED BELOW. THE COURT'S REASONING FOR ITS DECISION IS DUE TO BE PUBLISHED WITHIN 90 DAYS OF THE VERDICT, AFTER WHICH THERE ARE 45 DAYS TO NOTICE AN APPEAL. THE STATUS OF THE DISPOSITION IS PENDING, AS ALL PENALTIES WILL ONLY TAKE EFFECT AFTER THE CONCLUSION OF ANY APPEAL TO THE COURT OF APPEAL AND ANY SUBSEQUENT APPEAL TO THE SUPREME COURT OF CASSATION.","","","","","","","","","","","","","","","ON NOVEMBER 8, 2019, THE TRIBUNALE ORDINARIO DI MILANO - SEZIONE SECONDA FOUND DB AG LIABLE (NON-CRIMINALLY) FOR FAILING TO PROVIDE ADEQUATE MANAGEMENT AND SUPERVISION, IN CONNECTION WITH ALLEGEDLY UNLAWFUL REPO TRANSACTIONS BETWEEN DB AG AND BANCA MONTE DEI PASCHI DI SIENA (""BMPS"") AND ITS SUBSIDIARY SANTORINI. THE COURT ALSO SUBJECTED DB AG TO CONFISCATION OF 64.891 MILLION EUROS IN PROFITS AND FINED DB AG 3 MILLION EUROS. THE PENALTIES AND SENTENCES WILL ONLY BECOME EFFECTIVE AFTER THE CONCLUSION OF ANY APPEAL."
1917586,"AMENDED","Y","Y","","","Affiliates","1680771","","","","","N","U.S. COMMODITY FUTURES TRADING COMMISSION (""CFTC"")","Civil Penalty(ies)/Fine(s)","INJUNCTION AND COURT ORDER APPOINTING COMPLIANCE MONITOR","08/18/2016","Y","","Derivative(s)","","U.S. COMMODITY FUTURES TRADING COMMISSION V. DEUTSCHE BANK, 1:16-CV-06544 SOUTHERN DISTRICT OF NEW YORK (""SDNY"")","","THE CFTC ALLEGED THAT, WITH RESPECT TO THE REPORTING OF SWAP DATA, DEUTSCHE BANK AG (""DBAG"") FAILED TO PROPERLY REPORT AND CORRECT ERRORS IN REAL-TIME DATA, TO CORRECT ERRORS AND OMISSIONS IN PREVIOUSLY REPORTED DATA, PROVIDE DILIGENT SUPERVISION, AND MAINTAIN AN ADEQUATE BUSINESS CONTINUITY AND DISASTER RECOVERY PLAN. THE CFTC ALSO ALLEGED THAT DBAG VIOLATED A 2015 CFTC ORDER THAT RESOLVED A CFTC INVESTIGATION INTO A DIFFERENT TYPE OF SWAP REPORTING ERROR.","Final","","","","","Consent","06/17/2020","Y","","Y","9000000","","","","","Y","","","WITHOUT ADMITTING OR DENYING THE ALLEGATIONS, DBAG AGREED TO A PERMANENT INJUNCTION REQUIRING IT TO COMPLY WITH THE 2015 CFTC ORDER AND RESTRAINING IT FROM VIOLATING CERTAIN PROVISIONS OF THE COMMODITY EXCHANGE ACT (""CEA"") AND CFTC REGULATIONS RELATED TO SWAP DATA REPORTING REQUIREMENTS, BUSINESS CONTINUITY AND DISASTER RECOVERY PLANNING, AND SUPERVISION. DBAG ALSO AGREED TO PAY A $9,000,000 CIVIL MONEY PENALTY. THE FINE WAS PAID ON JULY 1, 2020.","IN AUGUST 2016, THE CFTC FILED A COMPLAINT IN THE U.S. DISTRICT COURT FOR THE SOUTHERN DISTRICT OF NEW YORK (""SDNY"") FOLLOWING AN INADVERTENT FIVE-DAY OUTAGE OF DBAG'S SWAP REPORTING PLATFORM IN APRIL 2016. DURING THE OUTAGE, DBAG WAS UNABLE TO SUBMIT ANY PRICE OR TRANSACTION DATA TO THE DATA REPOSITORY. AT THE TIME OF THE OUTAGE, DBAG WAS SUBJECT TO A CFTC SETTLEMENT ORDER DATED SEPTEMBER 30, 2015, ARISING OUT OF A DIFFERENT TYPE OF SWAP REPORTING ERROR, WHICH REQUIRED DBAG TO REMEDIATE ITS SWAP DATA REPORTING PROGRAM. IN CONNECTION WITH THESE REMEDIAL UNDERTAKINGS, DBAG ATTEMPTED TO PERFORM A MAINTENANCE UPGRADE TO ITS SWAP REPORTING PLATFORM, DURING WHICH ITS VENDOR CAUSED THE OUTAGE BY INADVERTENTLY COPYING OUTDATED OR UNSYNCHRONIZED DATA FILES FROM THE BACKUP PLATFORM TO THE MAIN PLATFORM. BECAUSE THE BACKUP PLATFORM WAS ALSO AFFECTED, DBAG WAS UNABLE TO PROMPTLY RESUME REPORTING AFTER THE INCIDENT AS PRESCRIBED BY ITS BUSINESS CONTINUITY AND DISASTER RECOVERY PLAN. DBAG PROMPTLY NOTIFIED THE CFTC OF THE OUTAGE AND PROVIDED EXTENSIVE COOPERATION TO THE CFTC'S STAFF FROM THE TIME OF THE OUTAGE THROUGH THE TIME OF THE RESOLUTION OF THE LAWSUIT. ON JUNE 17, 2020, DBAG, WITHOUT ADMITTING OR DENYING THE FINDINGS OR CONCLUSIONS THEREIN, ENTERED INTO A SETTLEMENT WITH THE CFTC. SDNY APPROVED THE SETTLEMENT IN ITS CONSENT ORDER FOR PERMANENT INJUNCTION, CIVIL MONETARY PENALTY, AND OTHER EQUITABLE RELIEF AGAINST DEUTSCHE BANK AG (THE ""ORDER""). THE ORDER ENJOINED DBAG FROM VIOLATING CERTAIN CEA PROVISIONS AND CFTC RULES RELATED TO SWAP DATA REPORTING REQUIREMENTS, BUSINESS CONTINUITY AND DISASTER RECOVERY PLANNING, AND SUPERVISION; ORDERED DBAG TO COMPLY WITH ITS 2015 CFTC ORDER; AND REQUIRED DBAG TO PAY A CIVIL MONEY PENALTY OF $9,000,000, THE FINE WAS PAID ON JULY 1, 2020."
1918060,"AMENDED","Y","Y","","","Affiliates","1681035","","","","","N","COMMODITY FUTURES TRADING COMMISSION","Civil Penalty(ies)/Fine(s)","INJUNCTION","04/02/2012","Y","","Futures - Financial","","UNITED STATES DISTRICT COURT FOR THE SOUTHERN DISTRICT OF NEW YORK, CIVIL ACTION NO. 12-CIV-2497","ROYAL BANK OF CANADA","ROYAL BANK OF CANADA IS ALLEGED TO HAVE VIOLATED SECTION 4C(A) OF THE COMMODITY EXCHANGE ACT, AND COMMISSION REGULATION 1.38(A), BY KNOWINGLY ENTERING INTO PURCHASES AND SALES OF SINGLE STOCK FUTURES AND NARROW-BASED INDEX FUTURES CONTRACTS OPPOSITE ITS SUBSIDIARIES WITH THE EXPRESS OR IMPLIED UNDERSTANDING THAT THE POSITION WOULD BE OFFSET OR DELIVERED OPPOSITE EACH OTHER.","Final","","","","","Consent","12/18/2014","Y","","Y","35000000","","","","","Y","","","WITHOUT ADMITTING OR DENYING THE FINDINGS, THE FIRM CONSENTED TO THE SANCTIONS AND TO THE ENTRY OF FINDINGS THAT IT VIOLATED SECTION 4C(A) OF THE COMMODITY EXCHANGE ACT, AND COMMISSION REGULATION 1.38(A), BY KNOWINGLY ENTERING INTO PURCHASES AND SALES OF SINGLE STOCK FUTURES AND NARROW-BASED INDEX FUTURES CONTRACTS OPPOSITE ITS SUBSIDIARIES WITH THE EXPRESS OR IMPLIED UNDERSTANDING THAT THE POSITIONS WOULD BE OFFSET OR DELIVERED OPPOSITE EACH OTHER; THEREFORE THE FIRM IS FINED $35,000,000.00 AND IS PERMANENTLY RESTRAINED, ENJOINED, AND PROHIBITED FROM DIRECTLY OR INDIRECTLY ENTERING INTO OR CONFIRMING THE EXECUTION OF A TRANSACTION THAT IS, IS OF THE CHARACTER OF, OR IS COMMONLY KNOWN TO THE TRADE AS WASH SALE, OR IS A FICTITIOUS SALE.  THE FIRM IS ALSO PERMANENTLY RESTRAINED, ENJOINED, AND PROHIBITED FROM DIRECTLY OR INDIRECTLY EXECUTING ANY NON-COMPETITIVE TRANSACTION.","WITHOUT ADMITTING OR DENYING THE FINDINGS, THE FIRM CONSENTED TO THE SANCTIONS AND TO THE ENTRY OF FINDINGS THAT IT VIOLATED SECTION 4C(A) OF THE COMMODITY EXCHANGE ACT, AND COMMISSION REGULATION 1.38(A), BY KNOWINGLY ENTERING INTO PURCHASES AND SALES OF SINGLE STOCK FUTURES AND NARROW-BASED INDEX FUTURES CONTRACTS OPPOSITE ITS SUBSIDIARIES WITH THE EXPRESS OR IMPLIED UNDERSTANDING THAT THE POSITIONS WOULD BE OFFSET OR DELIVERED OPPOSITE EACH OTHER; THEREFORE THE FIRM IS FINED $35,000,000.00 AND IS PERMANENTLY RESTRAINED, ENJOINED, AND PROHIBITED FROM DIRECTLY OR INDIRECTLY ENTERING INTO OR CONFIRMING THE EXECUTION OF A TRANSACTION THAT IS, IS OF THE CHARACTER OF, OR IS COMMONLY KNOWN TO THE TRADE AS WASH SALE, OR IS A FICTITIOUS SALE.  THE FIRM IS ALSO PERMANENTLY RESTRAINED, ENJOINED, AND PROHIBITED FROM DIRECTLY OR INDIRECTLY EXECUTING ANY NON-COMPETITIVE TRANSACTION."
1918224,"AMENDED","Y","Y","","","Affiliates","1681071","","","","","N","COMMODITY FUTURES TRADING COMMISION","Civil Penalty(ies)/Fine(s)","INJUNCTION","04/02/2012","Y","","Futures - Financial","","UNITED STATES DISTRICT COURT FOR THE SOUTHERN DISTRICT OF NEW YORK, CIVIL ACTION NO. 12-CIV-2497","ROYAL BANK OF CANADA","ROYAL BANK OF CANADA IS ALLEGED TO HAVE VIOLATED SECTION 4C(A) OF THE COMMODITY EXCHANGE ACT, AND COMMISSION REGULATION 1.38(A), BY KNOWINGLY ENTERING INTO PURCHASES AND SALES OF SINGLE STOCK FUTURES AND NARROW BASED INDEX FUTURES CONTRACTS OPPOSITE ITS SUBSIDIARIES WITH THE EXPRESS OR IMPLIED UNDERSTANDING THAT THE POSITION WOULD BE OFFSET OR DELIVERED OPPOSITE EACH OTHER.","Final","","","","","Consent","12/18/2014","Y","","Y","35000000","","","","","Y","","","WITHOUT ADMITTING OR DENYING THE FINDINGS, THE FIRM CONSENTED TO THE SANCTIONS AND TO THE ENTRY OF FINDINGS THAT IT VIOLATED SECTION 4C(A) OF THE COMMODITY EXCHANGE ACT, AND COMMISSION REGULATION 1.38(A),  BY KNOWINGLY ENTERING INTO PURCHASES AND SALES OF SINGLE STOCK FUTURES AND NARROW BASED INDEX FUTURES CONTRACTS OPPOSITE ITS SUBSIDIARIES WITH THE EXPRESS OR IMPLIED UNDERSTANDING THAT THE POSITION WOULD BE OFFSET OR DELIVERED OPPOSITE EACH OTHER; THEREFORE THE FIRM IS FINED $35,000,000 AND IS PERMANENTLY RESTRAINED, ENJOINED, AND PROHIBITED FROM DIRECTLY OR INDIRECTLY ENTERING INTO OR CONFIRMING THE EXECUTION OF A TRANSACTION THAT IS, IS OF THE CHARACTER OF, OR IS COMMONLY KNOWN TO THE TRADE AS A WASH SALE, OR IS A FICTITIOUS SALE. THE FIRM IS ALSO PERMANENTLY RESTRAINED, ENJOINED, AND PROHIBITED FROM DIRECTLY OR INDIRECTLY EXECUTING ANY NON COMPETITIVE TRANSACTION.","WITHOUT ADMITTING OR DENYING THE FINDINGS, THE FIRM CONSENTED TO THE SANCTIONS AND TO THE ENTRY OF FINDINGS THAT IT VIOLATED SECTION 4C(A) OF THE COMMODITY EXCHANGE ACT, AND COMMISSION REGULATION 1.38(A),  BY KNOWINGLY ENTERING INTO PURCHASES AND SALES OF SINGLE STOCK FUTURES AND NARROW BASED INDEX FUTURES CONTRACTS OPPOSITE ITS SUBSIDIARIES WITH THE EXPRESS OR IMPLIED UNDERSTANDING THAT THE POSITION WOULD BE OFFSET OR DELIVERED OPPOSITE EACH OTHER; THEREFORE THE FIRM IS FINED $35,000,000 AND IS PERMANENTLY RESTRAINED, ENJOINED, AND PROHIBITED FROM DIRECTLY OR INDIRECTLY ENTERING INTO OR CONFIRMING THE EXECUTION OF A TRANSACTION THAT IS, IS OF THE CHARACTER OF, OR IS COMMONLY KNOWN TO THE TRADE AS A WASH SALE, OR IS A FICTITIOUS SALE. THE FIRM IS ALSO PERMANENTLY RESTRAINED, ENJOINED, AND PROHIBITED FROM DIRECTLY OR INDIRECTLY EXECUTING ANY NON COMPETITIVE TRANSACTION."
1920890,"AMENDED","","","","Y","Advisory Firm","1683013","","","","","N","SRO","Money Damages (Private/Civil Complaint)","","06/24/2014","Y","","Mutual Fund(s)","","ARBITRATION SAN JUAN, PR DOCKET/CASE NUMBER:  14-02038","SANTANDER ASSET MANAGEMENT LLC","CLIENT ALLEGES BREACH OF FIDUCIARY DUTY, NEGLIGENCE, MISREPRESENTATION, FAILURE TO SUPERVISE AND BREACH OF CONTRACT","Final","","07/22/2014","Y","","Settled","08/05/2016","Y","","Y","50000","","","","","","","","MONETARY COMPENSATION OF $50,000 NONE OF THE COMPENSATION WAS LEVIED AGAINST ME PLEASE SEE BELOW","I WAS NOT A NAMED RESPONDENT TO THIS ARBITRATION.  AS ACKNOWLEDGE ON STATEMENT OF CLAIM, MY ASSOCIATION WAS WITH SANTANDER ASSET MANAGEMENT.  I WAS NEVER EMPLOYED BY SANTANDER SECURITIES AND WAS NEITHER CLAIMANT'S FINANCIAL CONSULTANT NOR HAD ANY RESPONSIBILITY FOR CLAIMANT'S ACCOUNTS AT SANTANDER SECURITIES. AS A RESULT, I WAS NOT ASKED TO CONTRIBUTE TO THE SETTLEMENT"
1921715,"AMENDED","","","","Y","Affiliates","1683661","","","Y","THE FIRM INADVERTENTLY MISINTERPRETED 11.G (IT HAD AN OPEN INVESTIGATION BUT NOT A PROCEEDING) AND H.2. IN AN OVERBROAD MANNER BUT REFINED ITS ANSWERS TO ANSWER THE PRECISE QUESTIONS BEING ASKED, AND IN CONFERENCE WITH LEGAL COUNSEL.","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1921822,"AMENDED","","","","Y","Affiliates","1684010","","","","","Y","LEAD PLAINTIFFS: GOLDSTRAND INVESTMENTS INC., RICHARD KREBSBACH, HOWARD KATZ, DANIEL M. SWEET AND ROBERT LOWINGER","Money Damages (Private/Civil Complaint)","INJUNCTION; ATTORNEY'S FEES AND RELATED COSTS","08/24/2018","Y","","Equity Listed (Common & Preferred Stock)","","CIRCUIT COURT OF THE 15TH JUDICIAL CIRCUIT IN PALM BEACH COUNTY, FLORIDA, DKT. NO. 502018CA00349XXXXMB-AG","","PLAINTIFF BROUGHT A SECURITIES CLASS ACTION ON BEHALF OF ALL THOSE WHO PURCHASED ADT INC. (""ADT"") COMMON STOCK IN OR TRACEABLE TO ADT'S JANUARY 19, 2018 INITIAL PUBLIC STOCK OFFERING (THE ""IPO""), SEEKING TO PURSUE REMEDIES UNDER THE SECURITIES ACT OF 1933 (THE ""1933 ACT"") AGAINST THE  ISSUER, ADT, AND A NUMBER OF OTHER DEFENDANTS, INCLUDING APOLLO MANAGEMENT, L.P., THE APPLICANT, AND SEVERAL OF ITS ADVISORY AFFILIATES.  THE PLAINTIFF ALLEGES, AMONG OTHER THINGS, THAT THE DEFENDANTS VIOLATED SEVERAL PROVISIONS OF THE 1933 ACT.  AS IT RELATES TO   APOLLO MANAGEMENT, L.P. AND SEVERAL OF ITS ADVISORY AFFILIATES, PLAINTIFF ASSERTS A CLAIM FOR VIOLATION OF SECTION 15(A) OF THE 1933 ACT AS A RESULT OF THE ALLEGED MISSTATEMENTS AND OMISSIONS IN THE REGISTRATION STATEMENT AND IN THE PREPARATION OF THE PROSPECTUS FOR THE IPO.","Final","","","Y","","Judgment Rendered","01/08/2021","Y","","Y","0","","","","","","","","THE COURT'S ORDER AND JUDGMENT DISMISSING THE ACTION TERMINATED ALL CLAIMS AGAINST THE APOLLO ENTITIES WITHOUT ANY ADMISSIONS OR FINDINGS OF LIABILITY AND WITHOUT IMPOSING ANY FEES, COSTS, DAMAGES, OR SANCTIONS ON THE APOLLO ENTITIES.","PLAINTIFF BROUGHT A SECURITIES CLASS ACTION ON BEHALF OF ALL THOSE WHO  PURCHASED ADT COMMON STOCK IN OR TRACEABLE TO ADT'S JANUARY 19, 2018 IPO, SEEKING TO PURSUE REMEDIES UNDER 1933 ACT AGAINST THE ISSUER, ADT, AND A NUMBER OF OTHER DEFENDANTS, INCLUDING APOLLO MANAGEMENT, L.P., THE APPLICANT, AND SEVERAL OF ITS ADVISORY AFFILIATES. THE PLAINTIFF ALLEGES, AMONG OTHER THINGS, THAT THE DEFENDANTS VIOLATED SEVERAL PROVISIONS OF THE 1933 ACT. AS IT RELATES TO APOLLO MANAGEMENT, L.P. AND SEVERAL OF ITS ADVISORY AFFILIATES, PLAINTIFF ASSERTS A CLAIM FOR VIOLATION OF SECTION 15(A) OF THE 1933 ACT AS A RESULT OF ALLEGED  MISSTATEMENTS AND OMISSIONS IN THE REGISTRATION STATEMENT FOR THE IPO.  THE COURT'S ORDER AND JUDGMENT DISMISSING THE ACTION (1) TERMINATED ALL CLAIMS AGAINST THE APOLLO ENTITIES WITHOUT ANY ADMISSIONS OR FINDINGS OF LIABILITY AND WITHOUT IMPOSING ANY FEES, COSTS, DAMAGES, OR SANCTIONS ON THE APOLLO ENTITIES; AND (2) BARRED SIMILAR CLAIMS FROM BEING ASSERTED AGAINST THE APOLLO ENTITIES IN FUTURE ACTIONS."
1921822,"AMENDED","","","","Y","Affiliates","1684011","","","","","Y","COURT ACTION INITIATED BY PRIVATE LEAD PLAINTIFF HUSAM ASSAF ENTITLED: PERDOMO V. ADT INC, ET AL.","Money Damages (Private/Civil Complaint)","PREJUDGEMENT AND POST-JUDGEMENT INTEREST, PLUS ATTORNEY'S AND EXPERT FEES AND RELATED COSTS","05/21/2018","N","WHILE THE INITIAL COMPLAINT IN THIS CASE WAS FILED 5/21/2018 AGAINST APOLLO GLOBAL MANAGEMENT, INC. F/K/A APOLLO GLOBAL MANAGEMENT, LLC, AN ADVISORY AFFILIATE OF THE APPLICANT, APOLLO MANAGEMENT, L.P., IT WAS NEVER SERVED WITH A COPY OF THE COMPLAINT. AN AMENDED COMPLAINT WAS FILED ON 1/15/2019, NAMING THE APPLICANT, APOLLO MANAGEMENT, L.P., AND SEVERAL OF ITS ADVISORY AFFILIATES.","Equity Listed (Common & Preferred Stock)","","UNITED STATES DISTRICT COURT, SOUTHERN DISTRICT OF FLORIDA, CIVIL ACTIONS NO. 9:18-CV-80668-DMM","","PLAINTIFF BROUGHT A SECURITIES CLASS ACTION ON BEHALF OF THOSE WHO PURCHASED ADT INC. (""ADT"") COMMON STOCK IN OR TRACEABLE TO ADT'S JANUARY 19, 2018 INITIAL PUBLIC STOCK OFFERING (THE ""IPO""), SEEKING TO PURSUE REMEDIES UNDER THE SECURITIES ACT OF 1933 (THE ""1933 ACT"") AGAINST THE ISSUER, ADT, AND A NUMBER OF OTHER DEFENDANTS, INCLUDING APOLLO MANAGEMENT, L.P., THE APPLICANT, AND SEVERAL OF ITS ADVISORY AFFILIATES.  THE PLAINTIFF ALLEGES, AMONG OTHER THINGS, THAT THE DEFENDANTS VIOLATED SEVERAL PROVISIONS OF THE 1933 ACT.  AS IT RELATES TO APOLLO MANAGEMENT, L.P. AND SEVERAL OF ITS ADVISORY AFFILIATES, PLAINTIFF ASSERTS A CLAIM FOR VIOLATION OF SECTIONS 11 AND 15(A) OF THE 1933 ACT AS A RESULT OF THE ALLEGED MISSTATEMENTS AND OMISSIONS IN THE REGISTRATION STATEMENT AND IN THE PREPARATION OF THE PROSPECTUS FOR THE IPO.","Final","","","Y","","Dismissed","10/29/2019","Y","","","","","","","","","","NONE","NONE","PLAINTIFF BROUGHT A SECURITIES CLASS ACTION ON BEHALF OF ALL THOSE WHO PURCHASED ADT COMMON STOCK IN OR TRACEABLE TO ADT'S JANUARY 19, 2018 IPO, SEEKING TO PURSUE REMEDIES UNDER THE 1933 ACT AGAINST THE ISSUER, ADT, AND A NUMBER OF OTHER DEFENDANTS, INCLUDING APOLLO MANAGEMENT, L.P., THE APPLICANT, AND SEVERAL OF ITS ADVISORY AFFILIATES.  THE PLAINTIFF ALLEGES, AMONG OTHER THINGS, THAT THE DEFENDANTS VIOLATED SEVERAL PROVISIONS OF THE 1933 ACT.  AS IT RELATES TO APOLLO MANAGEMENT, L.P. AND SEVERAL OF ITS ADVISORY AFFILIATES, PLAINTIFF ASSERTS A CLAIM FOR VIOLATION OF SECTIONS 11 AND 15(A) OF THE 1933 ACT AS A RESULT OF THE ALLEGED MISSTATEMENTS AND OMISSIONS IN THE REGISTRATION STATEMENT AND IN THE PREPARATION OF THE PROSPECTUS FOR THE IPO. PLAINTIFF FILE A NOTICE OF DISMISSAL WITHOUT PREJUDICE ON OCTOBER 28, 2019 TO DISMISS THE ACTION AND HAVE PARTIES BEAR THEIR OWN COSTS AND ATTORNEY'S FEES. THE NOTICE WAS GRANTED BY THE COURT ON OCTOBER 29,2019."
1922232,"AMENDED","","","","Y","Advisory Firm","1684333","","","","","","PLAINTIFF JUDY A. MUSGROVE, INDIVIDUALLY, AND AS BENEFICIARY OF THE MAINSTAR TRUST, CUST. FBO JUDY A MUSGROVE IRA, ET. AL","Money Damages (Private/Civil Complaint)","STATUTORY DAMAGES, EXEMPLARY DAMAGES, FEES & COSTS OF LEGAL ACTION, PRE AND POST JUDGEMENT INTEREST","08/30/2024","Y","","Other","UNREGISTERED SECURITIES; PROMISSORY NOTES","STATE OF TEXAS, DISTRICT OF BEXAR COUNTY COURT","WEALTH WATCH ADVISORS","PLAINTIFFS ALLEDGE WWA FAILED TO ADEQUATELY SUPERVISE THE OUTSIDE BUSINESS ACTIVITY RELATED TO PROMISSORY NOTE SALES OF AN IAR WHILE REGISTERED WITH THEM.","Pending","","09/13/2024","Y","","","","","","","","","","","","","","","","FORMER IAR MICHAEL L. COX DISCLOSED AN OUTSIDE BUSINESS ACTIVITY, FERRUM CAPITAL, THROUGH WHICH HE ALLEGEDLY SOLD UNREGISTERED PROMISSORY NOTES. PLAINTIFFS CLAIM WWA HAD A DUTY TO SUPERVISE THIS ACTIVITY AND FAILED TO DO SO. THE NOTES AT ISSUE ALLEGEDLY DEFAULTED, AND FERRUM CAPITAL FILED BANKRUPTCY. THE PLAINTIFFS ARE SEEKING MONETARY DAMAGES FROM WWA."
