"Filing ID","Relying Advisor Business Name","Relying Advisor Legal Name","Relying Advisor CRD Number","Reference ID","Principal Address Same as Filer","Main Office Street Address 1","Main Office Street Address 2","Main Office City","Main Office State","Main Office Country","Main Office Postal Code","Main Office Private Residence Flag","Main Office Telephone Number","Main Office Facsimile Number","Mail Address Same as Filer","Mail Office Street Address 1","Mail Office Street Address 2","Mail Office City","Mail Office State","Mail Office Country","Mail Office Postal Code","Mail Office Private Residence Flag","1E2Days","1E2DaysOther","1E2Hours","1G","2A(1)","2A(2)","2A(4)","2A(5)","2A(6)","2A(7)","2A(8)","2A(8) Application","2A(8) Order Date","2A(9)","3A","3AOther","3B","3C-State","3C-Country","4C"
2012898,"","PIKE STREET CAPITAL I GP, LLC",313028,8107,"Y","","","","","","","","425-686-3320","","Y","","","","","","","","MONFRI","","9AM-5PM","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2012898,"PIKE STREET RESERVE CV GP, LP","PIKE STREET RESERVE CV GP, LP",335997,12519,"Y","","","","","","","","425-686-3320","","Y","","","","","","","","MONFRI","","9AM - 5PM","","N","N","N","Y","N","N","N","",,"N","Limited Partnership","","12","DE","United States",""
2010959,"","BDCM FUND ADVISER, L.L.C.",290468,1162,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","549300DD46G32RH28C25","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BDCM OPPORTUNITY FUND II ADVISER, L.L.C.",290469,1163,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BDCM OPPORTUNITY FUND II GP, L.L.C.",290512,1199,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BDCM OPPORTUNITY FUND III ADVISER, L.L.C.",290513,1200,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BDCM OPPORTUNITY FUND III GP, L.L.C.",290514,1201,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BDCM OPPORTUNITY FUND IV ADVISER, L.L.C.",290515,1202,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BDCM OPPORTUNITY FUND IV GP, L.L.C.",290516,1203,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BDCM STRATEGIC CAPITAL FUND I ADVISER, L.L.C.",290517,1204,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BDCM STRATEGIC CAPITAL FUND I GP, L.L.C.",290518,1205,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BLACK DIAMOND CLO 2015-1 ADVISER, L.L.C.",290525,1212,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BLACK DIAMOND CLO 2016-1 ADVISER, L.L.C.",290526,1213,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BLACK DIAMOND CLO 2017-1 ADVISER, L.L.C.",290527,1214,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BLACK DIAMOND CLO 2017-2 ADVISER, L.L.C.",290528,1215,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BLACK DIAMOND CLO 2019-2 ADVISER, L.L.C.",290529,1216,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BLACK DIAMOND CREDIT STRATEGIES FUND ADVISER, L.L.C.",290530,1217,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BLACK DIAMOND ADVISORS, LLLP",290531,1218,"N","5330 YACHT HAVEN GRANDE","SUITE 100, BOX 35","ST. THOMAS","VI","United States","00802","N","340-777-2950","340-776-4665","N","5330 YACHT HAVEN GRANDE","SUITE 100, BOX 35","ST. THOMAS","VI","United States","00802","N","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Other (specify)","LIMITED LIABILITY LIMITED PARTNERSHIP","12","VI","United States","N"
2010959,"","BLACK DIAMOND CAPITAL MANAGEMENT LIMITED",290532,1219,"N","2 SAVILE ROW","","LONDON","","United Kingdom","W1S 3PA","N","44-20-7968-3600","44-20-7968-3636","N","","","","","","","N","MONFRI","","8:00 A.M.- 6:00 P.M.","54930010LFC4VY8IG385","N","N","N","Y","N","N","N","",,"N","Other (specify)","PRIVATE LIMITED COMPANY","12","","United Kingdom","N"
2010959,"","BLACK DIAMOND GP, LLC",290534,1221,"N","5330 YACHT HAVEN GRANDE","SUITE 100, BOX 35","ST. THOMAS","VI","United States","00802","N","340-777-2950","340-776-4665","N","","","","","","","N","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","VI","United States","N"
2010959,"","GSC ACQUISITION HOLDINGS, L.L.C.",290539,1225,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BDCM OPPORTUNITY FUND V ADVISER, L.L.C.",301334,5981,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BLACK DIAMOND CLO 2019-1 ADVISER, L.L.C.",301335,5982,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BDCM OPPORTUNITY FUND V GP, L.L.C.",301336,5983,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BLACK DIAMOND CLO 2022-1 ADVISER, L.L.C.",308584,7303,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BLACK DIAMOND CLO 2021-1 ADVISER, L.L.C.",317674,9093,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","FUSION COINVEST GP, L.L.C.",319532,9373,"Y","","","","","","","","2035520888","2035521012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
2010959,"","BLACK DIAMOND CLO 2023-1 ADVISER, L.L.C.",319639,9393,"Y","","","","","","","","203-552-0888","203-552-1012","Y","","","","","","","","MONFRI","","8:00 A.M.- 6:00 P.M.","","N","N","N","Y","N","N","N","",,"N","Limited Liability Company","","12","DE","United States","N"
