"FilingID","Reference ID","4A-3","Schedule","Full Legal Name","DE/FE/I","Entity in Which","Title or Status","Status Acquired","Ownership Code","Control Person","PR","OwnerID"
2010959,1162,"Y","A","DECKOFF, STEPHEN, HENRY","I","","MANAGING PRINCIPAL",01/1996,"NA","Y","N",1765839
2010959,1162,"Y","A","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","DE","","MEMBER",01/1996,"E","Y","N",
2010959,1162,"","B","DECKOFF, STEPHEN, HENRY","I","SD INVESTMENTS, LLC","MEMBER",02/1997,"E","Y","N",1765839
2010959,1162,"","B","SD INVESTMENTS, LLC","DE","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","MEMBER",10/2006,"E","Y","N",
2010959,1163,"Y","A","DECKOFF, STEPHEN, HENRY","I","","MANAGING PRINCIPAL",12/2005,"NA","Y","N",1765839
2010959,1163,"Y","A","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","DE","","MEMBER",12/2005,"E","Y","N",
2010959,1163,"","B","DECKOFF, STEPHEN, HENRY","I","SD INVESTMENTS, LLC","MEMBER",02/1997,"E","Y","N",1765839
2010959,1163,"","B","SD INVESTMENTS, LLC","DE","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","MEMBER",10/2006,"E","Y","N",
2010959,1199,"Y","A","DECKOFF, STEPHEN, HENRY","I","","MANAGING PRINCIPAL",12/2005,"NA","Y","N",1765839
2010959,1199,"Y","A","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","DE","","MEMBER",12/2005,"E","Y","N",
2010959,1199,"","B","DECKOFF, STEPHEN, HENRY","I","SD INVESTMENTS, LLC","MEMBER",02/1997,"E","Y","N",1765839
2010959,1199,"","B","SD INVESTMENTS, LLC","DE","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","MEMBER",10/2006,"E","Y","N",
2010959,1200,"Y","A","DECKOFF, STEPHEN, HENRY","I","","MANAGING PRINCIPAL",12/2009,"NA","Y","N",1765839
2010959,1200,"Y","A","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","DE","","MEMBER",12/2009,"E","Y","N",
2010959,1200,"","B","DECKOFF, STEPHEN, HENRY","I","SD INVESTMENTS, LLC","MEMBER",02/1997,"E","Y","N",1765839
2010959,1200,"","B","SD INVESTMENTS, LLC","DE","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","MEMBER",10/2006,"E","Y","N",
2010959,1201,"Y","A","DECKOFF, STEPHEN, HENRY","I","","MANAGING PRINCIPAL",12/2009,"NA","Y","N",1765839
2010959,1201,"Y","A","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","DE","","MEMBER",12/2009,"E","Y","N",
2010959,1201,"","B","DECKOFF, STEPHEN, HENRY","I","SD INVESTMENTS, LLC","MEMBER",02/1997,"E","Y","N",1765839
2010959,1201,"","B","SD INVESTMENTS, LLC","DE","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","MEMBER",10/2006,"E","Y","N",
2010959,1202,"Y","A","DECKOFF, STEPHEN, HENRY","I","","MANAGING PRINCIPAL",12/2014,"NA","Y","N",1765839
2010959,1202,"Y","A","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","DE","","MEMBER",12/2014,"E","Y","N",
2010959,1202,"","B","DECKOFF, STEPHEN, HENRY","I","SD INVESTMENTS, LLC","MEMBER",02/1997,"E","Y","N",1765839
2010959,1202,"","B","SD INVESTMENTS, LLC","DE","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","MEMBER",10/2006,"E","Y","N",
2010959,1203,"Y","A","DECKOFF, STEPHEN, HENRY","I","","MANAGING PRINCIPAL",12/2014,"NA","Y","N",1765839
2010959,1203,"Y","A","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","DE","","MEMBER",12/2014,"E","Y","N",
2010959,1203,"","B","DECKOFF, STEPHEN, HENRY","I","SD INVESTMENTS, LLC","MEMBER",02/1997,"E","Y","N",1765839
2010959,1203,"","B","SD INVESTMENTS, LLC","DE","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","MEMBER",10/2006,"E","Y","N",
2010959,1204,"Y","A","DECKOFF, STEPHEN, HENRY","I","","MANAGING PRINCIPAL",08/2017,"NA","Y","N",1765839
2010959,1204,"Y","A","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","DE","","MEMBER",08/2017,"E","Y","N",
2010959,1204,"","B","DECKOFF, STEPHEN, HENRY","I","SD INVESTMENTS, LLC","MEMBER",02/1997,"E","Y","N",1765839
2010959,1204,"","B","SD INVESTMENTS, LLC","DE","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","MEMBER",10/2006,"E","Y","N",
2010959,1205,"","B","DECKOFF, STEPHEN, HENRY","I","SD INVESTMENTS, LLC","MEMBER",02/1997,"E","Y","N",1765839
2010959,1205,"Y","A","DECKOFF, STEPHEN, HENRY","I","","MANAGING PRINCIPAL",08/2017,"NA","Y","N",1765839
2010959,1205,"Y","A","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","DE","","MEMBER",08/2017,"E","Y","N",
2010959,1205,"","B","SD INVESTMENTS, LLC","DE","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","MEMBER",10/2006,"E","Y","N",
2010959,1212,"Y","A","DECKOFF, STEPHEN, HENRY","I","","MANAGING PRINCIPAL",09/2015,"NA","Y","N",1765839
2010959,1212,"Y","A","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","DE","","MEMBER",09/2015,"E","Y","N",
2010959,1212,"","B","DECKOFF, STEPHEN, HENRY","I","SD INVESTMENTS, LLC","MEMBER",02/1997,"E","Y","N",1765839
2010959,1212,"","B","SD INVESTMENTS, LLC","DE","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","MEMBER",10/2006,"E","Y","N",
2010959,1213,"Y","A","DECKOFF, STEPHEN, HENRY","I","","MANAGING PRINCIPAL",05/2016,"NA","Y","N",1765839
2010959,1213,"Y","A","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","DE","","MEMBER",05/2016,"E","Y","N",
2010959,1213,"","B","DECKOFF, STEPHEN, HENRY","I","SD INVESTMENTS, LLC","MEMBER",02/1997,"E","Y","N",1765839
2010959,1213,"","B","SD INVESTMENTS, LLC","DE","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","MEMBER",10/2006,"E","Y","N",
2010959,1214,"Y","A","DECKOFF, STEPHEN, HENRY","I","","MANAGING PRINCIPAL",05/2017,"NA","Y","N",1765839
2010959,1214,"Y","A","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","DE","","MEMBER",05/2017,"E","Y","N",
2010959,1214,"","B","DECKOFF, STEPHEN, HENRY","I","SD INVESTMENTS, LLC","MEMBER",02/1997,"E","Y","N",1765839
2010959,1214,"","B","SD INVESTMENTS, LLC","DE","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","MEMBER",10/2006,"E","Y","N",
2010959,1215,"Y","A","DECKOFF, STEPHEN, HENRY","I","","MANAGING PRINCIPAL",03/2017,"NA","Y","N",1765839
2010959,1215,"Y","A","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","DE","","MEMBER",03/2017,"E","Y","N",
2010959,1215,"","B","DECKOFF, STEPHEN, HENRY","I","SD INVESTMENTS, LLC","MEMBER",02/1997,"E","Y","N",1765839
2010959,1215,"","B","SD INVESTMENTS, LLC","DE","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","MEMBER",10/2006,"E","Y","N",
2010959,1216,"Y","A","DECKOFF, STEPHEN, HENRY","I","","MANAGING PRINCIPAL",10/2017,"NA","Y","N",1765839
2010959,1216,"Y","A","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","DE","","MEMBER",10/2017,"E","Y","N",
2010959,1216,"","B","DECKOFF, STEPHEN, HENRY","I","SD INVESTMENTS, LLC","MEMBER",02/1997,"E","Y","N",1765839
2010959,1216,"","B","SD INVESTMENTS, LLC","DE","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","MEMBER",10/2006,"E","Y","N",
2010959,1217,"Y","A","DECKOFF, STEPHEN, HENRY","I","","MANAGING PRINCIPAL",03/2016,"NA","Y","N",1765839
2010959,1217,"Y","A","BLACK DIAMOND CAPITAL HOLDINGS, L.L.C.","DE","","MEMBER",03/2016,"E","Y","N",
