"FilingID","Reference ID","CIK"
1987687,1303,1252267
1987687,1319,2039259
1987687,1332,1521338
1987687,1334,1633593
1987687,1350,1650425
1987687,1688,2038717
1987687,5481,2038630
1987687,5482,1893413
1987687,5776,2038702
1987687,5865,2039108
1987687,5883,2038829
1987687,6695,2038718
1987687,6829,2038661
1987687,7025,2038701
1987687,7092,2038890
1987687,8092,2038831
1987687,8093,2038691
1987687,8170,2039110
1987687,8350,2038693
1987687,8351,2038603
1987687,8810,2038903
1987687,8948,2038905
1987687,8973,2038827
1987687,9063,2038662
1987687,9075,2038900
1987687,9364,2038832
1987687,9607,2039255
1987687,9808,2038658
1987687,9864,2038901
1987687,9911,2038830
1987687,9993,2038695
1987687,10367,2038685
1987687,10368,2038689
1987687,10826,2038690
1987687,10873,2038660
1987687,11031,2038902
1987687,11032,2038699
1981573,6690,1652115
1986583,11169,2053573
1986583,11976,2053732
1985390,5927,1390110
1987457,12382,1352914
1987920,1303,1252267
1987920,1319,2039259
1987920,1332,1521338
1987920,1334,1633593
1987920,1350,1650425
1987920,1688,2038717
1987920,5481,2038630
1987920,5482,1893413
1987920,5776,2038702
1987920,5865,2039108
1987920,5883,2038829
1987920,6695,2038718
1987920,6829,2038661
1987920,7025,2038701
1987920,7092,2038890
1987920,8092,2038831
1987920,8093,2038691
1987920,8170,2039110
1987920,8350,2038693
1987920,8351,2038603
1987920,8810,2038903
1987920,8948,2038905
1987920,8973,2038827
1987920,9063,2038662
1987920,9075,2038900
1987920,9364,2038832
1987920,9607,2039255
1987920,9808,2038658
1987920,9864,2038901
1987920,9911,2038830
1987920,9993,2038695
1987920,10367,2038685
1987920,10368,2038689
1987920,10826,2038690
1987920,10873,2038660
1987920,11031,2038902
1987920,11032,2038699
1981902,1789,1599822
1981902,1796,1666791
1981902,1801,1698051
1981902,1808,1603465
1981902,5757,1763844
1973432,3425,1667638
1973432,3426,1616895
1973432,3430,1616360
1973432,5899,1635674
1978563,6761,1833090
1977397,2479,147654
1989778,3298,1576089
1989778,3299,1616024
1989778,3303,1576100
1989778,3304,1616023
1983021,5302,1375345
1992127,5150,1684171
1992127,5154,1462608
1992127,5158,1230743
1992127,5162,1681591
1992127,5163,1684166000
1992127,5164,1683504000
1992127,5165,1683440
1992127,5166,1462521
1992127,5167,1462679
1992127,5168,1462678
1992127,5169,1463332
1992127,5170,1463333
1992127,5175,1525649
1992127,5178,1683445
1992127,5186,1684167
1992127,5187,1525567
1992127,5191,1539360
1992127,5192,1462675
1992127,5193,1462666
1992127,5194,1462674
1992127,5195,1462673
1992127,5197,1683992
1992127,5198,1684352
1992127,5199,1684351
1992127,5201,1462578
1992127,5202,1684170
1992127,5203,1525558
1992127,5206,1462668
1992127,5207,1683816
1992127,5210,1508086
1992127,5211,1683967
1992127,6037,1683949
1992127,6056,1684357
1981559,5150,1684171
1981559,5154,1462608
1981559,5158,1230743
1981559,5162,1681591
1981559,5163,1684166000
1981559,5164,1683504000
1981559,5165,1683440
1981559,5166,1462521
1981559,5167,1462679
1981559,5168,1462678
1981559,5169,1463332
1981559,5170,1463333
1981559,5175,1525649
1981559,5178,1683445
1981559,5186,1684167
1981559,5187,1525567
1981559,5191,1539360
1981559,5192,1462675
1981559,5193,1462666
1981559,5194,1462674
1981559,5195,1462673
1981559,5197,1683992
1981559,5198,1684352
1981559,5199,1684351
1981559,5201,1462578
1981559,5202,1684170
1981559,5203,1525558
1981559,5206,1462668
1981559,5207,1683816
1981559,5210,1508086
1981559,5211,1683967
1981559,6037,1683949
1981559,6056,1684357
1988309,1640,1848800
1988309,8636,2004655
