"FilingID","Reference ID","Other Business Name","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","GU","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","PR","RI","SC","SD","TN","TX","UT","VT","VI","VA","WA","WV","WI","WY","Other"
1974981,3126,"APOLLO ISG L.P.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","",""
1976631,3176,"LUBERT-ADLER MANAGEMENT, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1976631,3179,"L-A ASSET MANAGEMENT SERVICES, L.P.","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1976631,3184,"LUBERT-ALDER REAL ESTATE MANAGEMENT COMPANY, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1976631,3191,"L-A URBAN FINANCIAL MANAGEMENT, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1977564,3176,"LUBERT-ADLER MANAGEMENT, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1977564,3179,"L-A ASSET MANAGEMENT SERVICES, L.P.","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1977564,3184,"LUBERT-ALDER REAL ESTATE MANAGEMENT COMPANY, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1977564,3191,"L-A URBAN FINANCIAL MANAGEMENT, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1979323,3176,"LUBERT-ADLER MANAGEMENT, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1979323,3179,"L-A ASSET MANAGEMENT SERVICES, L.P.","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1979323,3184,"LUBERT-ALDER REAL ESTATE MANAGEMENT COMPANY, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1979323,3191,"L-A URBAN FINANCIAL MANAGEMENT, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1983790,3176,"LUBERT-ADLER MANAGEMENT, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1983790,3179,"L-A ASSET MANAGEMENT SERVICES, L.P.","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1983790,3184,"LUBERT-ALDER REAL ESTATE MANAGEMENT COMPANY, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1983790,3191,"L-A URBAN FINANCIAL MANAGEMENT, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1984520,11678,"BLUEYARD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GERMANY"
1984520,11702,"BLUEYARD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GERMANY"
1984520,11702,"BLUEYARD CAPITAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GERMANY"
1986224,1881,"RCP ADVISORS 3, LLC","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1986224,8952,"BONACCORD CAPITAL PARTNERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","",""
