"FilingID","SchA-3","Schedule","Full Legal Name","DE/FE/I","Entity in Which","Title or Status","Status Acquired","Ownership Code","Control Person","PR","OwnerID"
1936172,"Y","A","DRAGON, ELIAS, ROBERT","I","","CHIEF COMPLIANCE OFFICER/CHIEF FINANCIAL OFFICER/OWNER",02/2021,"D","Y","N",2022048
1936172,"Y","A","ELIAS THOMAS DRAGON IRREVOCABLE TRUST","DE","","OWNER",02/2021,"B","N","N",
1936172,"Y","A","JESSICA MARIE KREHEL IRREVOCABLE TRUST","DE","","OWNER",02/2021,"B","N","N",
1936172,"Y","A","JENNIFER ANN DRAGON IRREVOCABLE TRUST","DE","","OWNER",02/2021,"B","N","N",
1936172,"","B","Dragon, Jennifer, Ann","I","JENNIFER ANN DRAGON IRREVOCABLE TRUST","TRUSTEE",02/2021,"F","Y","N",6891199
1936172,"Y","A","Dragon, Jennifer, Ann","I","","CHIEF OPERATING OFFICER",02/2021,"NA","Y","N",6891199
1936172,"Y","A","KREHEL, MARK, JOSEPH","I","","CHIEF TECHNICAL OFFICER",02/2021,"NA","Y","N",7238969
1936172,"","B","KREHEL, JESSICA, M","I","JESSICA MARIE KREHEL IRREVOCABLE TRUST","TRUSTEE",02/2021,"F","Y","N",5696187
1936172,"","B","Dragon, Elias, Thomas","I","ELIAS THOMAS DRAGON IRREVOCABLE TRUST","TRUSTEE",02/2021,"F","Y","N",7438099
1931835,"N","A","BRANDT, BENJAMIN, JACOB","I","","PRESIDENT/CHIEF COMPLIANCE OFFICER, SHAREHOLDER",07/2014,"E","Y","N",5177378
1936122,"Y","A","SHAW, DAVID, ELLIOT","I","","LIMITED PARTNER",12/1992,"D","Y","N",1557735
1936122,"Y","A","D. E. SHAW & CO., INC.","DE","","GENERAL PARTNER",11/1992,"NA","Y","N",
1936122,"","B","SHAW, DAVID, ELLIOT","I","D. E. SHAW & CO., INC.","SOLE STOCKHOLDER, CHAIRMAN, AND PRESIDENT, D. E. SHAW & CO., INC.",11/1992,"E","Y","N",1557735
