"FilingID","Full Legal Name","CIK Number"
1939002,"ACADIAN ASSET MANAGEMENT INC.",1748824
1941469,"APOLLO GLOBAL MANAGEMENT, INC.",1858681
1941469,"APOLLO ASSET MANAGEMENT, INC.",1411494
1935500,"THE JONES FINANCIAL COMPANIES, L.L.L.P.",815917
1940346,"AEGON NV",769218
1946038,"BANK OF AMERICA STRATEGIC INVESTMENTS CORP",1102778
1946038,"CITICORP NORTHAMERICA INC",839424
1946038,"GOLDMAN SACHS PSI GLOBAL HOLDINGS LLC",1865223
1946038,"NASDAQ FUND SECONDARIES LLC",810167
1946038,"NASDAQ INC",1120193
1946038,"STRATEGIC INVESTMENTS INC",1681668
1946038,"SVB FINANCIAL GROUP",719739
1946038,"UBS AMERICAS INC",1127918
1946038,"WELLS FARGO CENTRAL PACIFIC HOLDINGS INC",1911104
1943345,"BLUE OWL CAPITAL INC.",1823945
1937359,"EQUITABLE FINANCIAL, INC.",888002
1941734,"LPL FINANCIAL HOLDINGS INC",1397911
1937882,"DEUTSCHE BANK AG",948046
1931522,"THE BLACKSTONE GROUP INC.",1393818
1933436,"BLACKSTONE INC.",1393818
1937359,"EQUITABLE HOLDINGS, INC.",1333986
1937359,"EQUITABLE FINANCIAL SERVICES, LLC",1257148
1938294,"THE GOLDMAN SACHS GROUP, INC.",886982
1911665,"PRUDENTIAL PLC",1116578
1940331,"THE GOLDMAN SACHS GROUP, INC.",886982
1940704,"THE GOLDMAN SACHS GROUP, INC.",886982
1941403,"THE GOLDMAN SACHS GROUP, INC.",886982
1934637,"BLACKSTONE INC.",1393818
1937252,"WELLS FARGO AND COMPANY",105598
1931611,"THE ALLSTATE CORPORATION",899051
1919136,"MAGELLAN FIANCIAL GROUP LIMITED",1536105
1947659,"RAYMOND JAMES FINANCIAL, INC.",705
1943261,"THE JONES FINANCIAL COMPANIES, L.L.L.P.",815917
1936268,"BROOKLINE BANCORP, INC.",1049782
1918304,"COINBASE GLOBAL, INC.",1679788
1934084,"N/A",1
1939481,"BLACKROCK, INC.",2012383
1939442,"BLACKROCK, INC.",2012383
1939466,"BLACKROCK, INC.",2012383
1939474,"BLACKROCK INC.",2012383
1947185,"SUN LIFE FINANCIAL INC.",1097362
1939433,"BLACKROCK, INC.",2012383
1939523,"BLACKROCK INC.",2012383
1939575,"BLACKROCK, INC.",2012383
1939571,"BLACKROCK, INC.",2012383
1941764,"KEYCORP",91576
1944078,"JEFFERIES FINANCIAL GROUP INC",96223
1948392,"FRANKLIN RESOURCES, INC.",38777
1936478,"SUMITOMO MITSUI TRUST BANK LTD",1046017
1941448,"ASSOCIATED CAPITAL GROUP, INC.",1642122
1940477,"WELLS FARGO AND COMPANY",105598
1940581,"JPMORGAN CHASE & CO.",19617
1938680,"WELLS FARGO AND COMPANY",105598
1940238,"JEFFERIES FINANCIAL GROUP INC",96223
1938381,"WINTRUST FINANCIAL CORPORATION",1015328
1942835,"RAYMOND JAMES FINANCIAL, INC.",705
1942656,"BLUE OWL CAPITAL INC.",1823945
1941654,"AFFILIATED MANAGERS GROUP, INC.",1004434
1933464,"BANCO BRADESCO S. A.",1160330
1946623,"AFFILIATED MANAGERS GROUP INC.",1004434
1943081,"ASSOCIATED BANC-CORP",7789
1948385,"BLACKROCK, INC.",2012383
1948401,"BLACKROCK, INC.",2012383
1931189,"BLACKSTONE INC.",1393818
1942740,"BLACKSTONE INC.",1393818
1923096,"BINAH CAPITAL GROUP INC",1953984
