"FilingID","Full Legal Name","CIK Number"
1991970,"DETUSCHE BANK AG",948046
1992473,"BANK OF AMERICA CORPORATION",70858
1992497,"BANK OF AMERICA CORPORATION",70858
1992377,"JONES LANG LASALLE INCORPORATED",1037976
1992664,"AFFILIATED MANAGERS GROUP, INC.",1004434
1992461,"PAGAYA TECHNOLOGIES LTD.",1883085
1992709,"AEGON LTD",769218
1993081,"TEXAS CAPITAL BANKCSHARES, INC.",1077428
1988677,"OPPENHEIMER HOLDINGS INC.",791963
1988713,"ROBINHOOD MARKETS, INC.",1783879
1990228,"DETUSCHE BANK AG",948046
1985517,"BINAH CAPITAL GROUP, INC,",1953984
1991981,"REGIONS FINANCIAL CORPORATION",1281761
1991913,"PRINCIPAL FINANCIAL GROUP, INC.",1126328
1992262,"DEUTSCHE BANK AG",948046
1992477,"BANK OF AMERICA CORPORATION",70858
1992489,"BANK OF AMERICA CORPORATION",70858
1992503,"BANK OF AMERICA CORPORATION",70858
1986751,"CI PRIVATE WEALTH US, LLC",1905974
1988294,"RAYMOND JAMES FINANCIAL, INC.",720005
1982514,"BLACKSTONE INC.",1393818
1985472,"CNO FINANCIAL GROUP, INC.",1224608
1988867,"FIRST CITIZENS BANCSHARES, INC.",798941
1985452,"THE BANK OF NOVA SCOTIA",9631
1978280,"UBS GROUP AG",1610520
1989049,"SEACOAST NATIONAL BANK",730708
1989347,"FRANKLIN RESOURCES INC.",38777
1991655,"STIFEL FINANCIAL CORP.",720672
1992109,"HORACE MANN EDUCATORS CORP.",62011
1987305,"AFFILIATED MANAGERS GROUP, INC.",1004434
1991988,"WELLTOWER INC.",766704
1991806,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",842180
1990047,"LPL FINANCIAL HOLDINGS INC.",1397911
1992125,"FIFTH THIRD BANCORP",35527
1992223,"SIMON PROPERTY GROUP, INC.",1063761
1959898,"UP FINTECH HOLDING LIMITED",1756699
1988090,"PAGAYA TECHNOLOGIES LTD.",1883085
1990411,"JPMORGAN CHASE & CO.",19617
1989819,"DEUTSCHE BANK AG",948046
1992573,"TPG, INC.",1880661
1992476,"WELLS FARGO AND COMPANY",105598
1989483,"BLACKSTONE INC.",1393818
1989719,"TEXAS CAPITAL BANKCSHARES, INC.",1077428
1994258,"BLACKSTONE INC.",1393818
1990353,"AMERANT BANCORP INC.",1734342
1992896,"PATRIA INVESTMENTS LTD",1825570
1989584,"PRIMERICA, INC.",147592
1982743,"B. RILEY FINANCIAL, INC.",1464790
1985193,"BROOKFIELD CORPORATION",1063873
1985193,"BROOKFIELD ASSET MANAGEMENT LTD",1937926
1985193,"ALLIANZ SE",1127508
1988094,"ROYAL BANK OF CANADA",1000275
1993990,"TEXAS CAPITAL BANKCSHARES, INC.",1077428
1988877,"COREBRIDGE FINANCIAL, INC.",1889539
1990044,"JPMORGAN CHASE & CO",19617
1987591,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",1022837
1989778,"THE CARLYLE GROUP L.P.",1527166
1994017,"BLACKSTONE INC.",1393818
1993749,"KKR & CO. INC.",1404912
1994244,"BLACKSTONE INC.",1393818
1992860,"BLACKSTONE INC.",1393818
1978896,"AON PLC",1183186
1987062,"LPL FINANCIAL HOLDINGS INC.",1397911
1986009,"JEFFERIES FINANCIAL GROUP INC.",96223
1987122,"MANULIFE FINANCIAL CORPORATION",1086888
1988323,"AFFILIATED MANAGERS GROUP, INC.",1004434
1988424,"OPPENHEIMER HOLDINGS INC.",791963
1986545,"CREDIT SUISSE GROUP AG",1159510
1987321,"VOYA FINANCIAL, INC.",1535929
1988434,"OPPENHEIMER HOLDINGS INC.",791963
1988843,"AON PLC",1183186
