"FilingID","Representation 1","Representation 2"
2002422,"Y","Y"
2002504,"Y","Y"
2002552,"Y","Y"
2004280,"Y","Y"
2002980,"Y","Y"
1999433,"Y","Y"
1982956,"Y","Y"
1990412,"Y","Y"
2003683,"Y","Y"
2004789,"Y","Y"
2005254,"Y","Y"
2005266,"Y","Y"
2006905,"Y","Y"
2003074,"Y","Y"
2003105,"Y","Y"
2002283,"Y","Y"
2001805,"Y","Y"
2001801,"Y","Y"
2001892,"Y","Y"
1999803,"Y","Y"
1999941,"Y","Y"
2006714,"Y","Y"
2006937,"Y","Y"
1999658,"Y","Y"
2002278,"Y","Y"
2001932,"Y","Y"
1995918,"Y","Y"
2002841,"Y","Y"
2002877,"Y","Y"
2002889,"Y","Y"
2003030,"Y","Y"
2003499,"Y","Y"
2003536,"Y","Y"
2001896,"Y","Y"
2004551,"Y","Y"
2004574,"Y","Y"
2004687,"Y","Y"
2004695,"Y","Y"
2004194,"Y","Y"
2004349,"Y","Y"
2005304,"Y","Y"
2005953,"Y","Y"
2001950,"Y","Y"
2002584,"Y","Y"
2002722,"Y","Y"
2002852,"Y","Y"
2002882,"Y","Y"
2002771,"Y","Y"
2003258,"Y","Y"
2004477,"Y","Y"
2004826,"Y","Y"
2002157,"Y","Y"
2006325,"Y","Y"
2006571,"Y","Y"
2006611,"Y","Y"
2006474,"Y","Y"
2006902,"Y","Y"
2005843,"Y","Y"
2005292,"Y","Y"
2005838,"Y","Y"
2005617,"Y","Y"
2006035,"Y","Y"
2005185,"Y","Y"
2001756,"Y","Y"
2003627,"Y","Y"
2003459,"Y","Y"
2003512,"Y","Y"
2005376,"Y","Y"
2004957,"Y","Y"
1999370,"Y","Y"
2000360,"Y","Y"
2006493,"Y","Y"
2006565,"Y","Y"
2006578,"Y","Y"
2006907,"Y","Y"
1995790,"Y","Y"
2000982,"Y","Y"
2000337,"Y","Y"
2001349,"Y","Y"
2001351,"Y","Y"
2001084,"Y","Y"
2001226,"Y","Y"
2001279,"Y","Y"
2001295,"Y","Y"
2007194,"Y","Y"
2007190,"Y","Y"
2004117,"Y","Y"
2004158,"Y","Y"
2003816,"Y","Y"
2000915,"Y","Y"
2003982,"Y","Y"
2004651,"Y","Y"
2004686,"Y","Y"
2001699,"Y","Y"
2002862,"Y","Y"
2005186,"Y","Y"
1992854,"Y","Y"
1996014,"Y","Y"
2005871,"Y","Y"
2005920,"Y","Y"
2001525,"Y","Y"
2005525,"Y","Y"
2006108,"Y","Y"
2006153,"Y","Y"
2005994,"Y","Y"
1999846,"Y","Y"
2002901,"Y","Y"
2003298,"Y","Y"
2001291,"Y","Y"
2001308,"Y","Y"
1997900,"Y","Y"
2001457,"Y","Y"
2006086,"Y","Y"
2006307,"Y","Y"
2007192,"Y","Y"
1991952,"Y","Y"
2003713,"Y","Y"
2004798,"Y","Y"
2004828,"Y","Y"
2004846,"Y","Y"
2002634,"Y","Y"
2004203,"Y","Y"
2004247,"Y","Y"
2004370,"Y","Y"
2005223,"Y","Y"
2004083,"Y","Y"
2005351,"Y","Y"
2004496,"Y","Y"
2004441,"Y","Y"
2004449,"Y","Y"
2001777,"Y","Y"
1998573,"Y","Y"
2001585,"Y","Y"
2001929,"Y","Y"
1999996,"Y","Y"
2001878,"Y","Y"
1992671,"Y","Y"
2001891,"Y","Y"
2001857,"Y","Y"
2001556,"Y","Y"
2001628,"Y","Y"
2001560,"Y","Y"
2001602,"Y","Y"
2003031,"Y","Y"
2003723,"Y","Y"
2002196,"Y","Y"
1977507,"Y","Y"
2002656,"Y","Y"
2002630,"Y","Y"
2002041,"Y","Y"
2002853,"Y","Y"
2002888,"Y","Y"
2004785,"Y","Y"
2005017,"Y","Y"
2004888,"Y","Y"
2002276,"Y","Y"
2002274,"Y","Y"
2002175,"Y","Y"
1992640,"Y","Y"
2006016,"Y","Y"
2005642,"Y","Y"
2002368,"Y","Y"
2002348,"Y","Y"
2005299,"Y","Y"
2004688,"Y","Y"
1990457,"Y","Y"
2005378,"Y","Y"
2005747,"Y","Y"
1991831,"Y","Y"
2007127,"Y","Y"
2004540,"Y","Y"
2002688,"Y","Y"
2002284,"Y","Y"
2000757,"Y","Y"
2001587,"Y","Y"
1999261,"Y","Y"
2001933,"Y","Y"
1988080,"Y","Y"
2005216,"Y","Y"
1988659,"Y","Y"
2005227,"Y","Y"
2003992,"Y","Y"
2002431,"Y","Y"
2002608,"Y","Y"
2002611,"Y","Y"
2004089,"Y","Y"
2001568,"Y","Y"
2005320,"Y","Y"
2005343,"Y","Y"
2005744,"Y","Y"
2003565,"Y","Y"
2002078,"Y","Y"
