"FilingID","Representation 1","Representation 2","Representation 3"
1975503,"N","N","Y"
1976092,"N","N","Y"
1978669,"Y","N","Y"
1975335,"Y","Y","Y"
1977172,"N","N","Y"
1976975,"Y","Y","N"
1975431,"N","N","Y"
1978165,"N","N","Y"
1962138,"N","N","Y"
1975696,"N","N","Y"
1975902,"N","N","Y"
1978320,"Y","Y","N"
1980092,"N","N","Y"
1979780,"N","N","Y"
1980243,"Y","N","Y"
1980472,"N","N","Y"
1980482,"Y","Y","Y"
1983231,"N","N","Y"
1979995,"Y","Y","N"
1980818,"N","N","Y"
1980498,"N","N","Y"
1983097,"N","N","Y"
1980528,"N","N","Y"
1982243,"Y","Y","Y"
1982600,"Y","Y","Y"
1978020,"N","N","Y"
1981924,"Y","Y","Y"
1985097,"N","N","Y"
1980821,"Y","Y","Y"
1977731,"Y","Y","Y"
1982122,"N","N","Y"
1981340,"Y","Y","N"
1981378,"N","N","Y"
1980995,"N","N","Y"
1985776,"Y","Y","Y"
1985399,"N","N","Y"
1986338,"N","N","Y"
1982312,"Y","N","Y"
1982317,"Y","N","Y"
