"FilingID","Name","CRD Number","SEC Number"
1975582,"FOCUSPOINT SOLUTIONS, INC.",131195,"801-63028"
1975987,"BNY MELLON ETF INVESTMENT ADVISER, LLC",306148,"801-117653"
1967178,"RUSSELL INVESTMENTS",105734,"801-17141"
1968987,"RUSSELL INVESTMENTS",105734,"801-17141"
1976516,"BROOKFIELD ASSET MANAGEMENT PIC US, LLC",151599,"801-72031"
1975043,"CLEARBROOK INVESTMENT CONSULTING LLC",108253,"801-56832"
1973885,"PINNACLE INVESTMENTS, LLC",142910,"801-67860"
1975265,"CHARLES SCHWAB INVESTMENT MANAGEMENT, INC",106753,"801-35905"
1975561,"FOCUSPOINT SOLUTIONS, INC.",131195,"801-63028"
1976725,"CHARLES SCHWAB INVESTMENT MANAGEMENT, INC",106753,"801-35905"
1974936,"CONCURRENT INVESTMENT ADVISORS, LLC",323135,"801-126555"
1973695,"ASHTON THOMAS PRIVATE WEALTH",153902,"801-71512"
1961764,"FSAM LLC",287851,"801-122054"
1969180,"PROSPECT CAPITAL MANAGEMENT L.P.",131018,"801-62969"
1964941,"SENECA CAPITAL MANAGEMENT, LLC",288206,"801-121186"
1974186,"PGIM, INC.",105676,"801-22808"
1972284,"KELLY PARK INVESTMENT LLC",299882,"801-114996"
1975276,"ALPHA ARCHITECT",153905,"801-71697"
1975482,"EAGLE POINT CREDIT MANAGEMENT LLC",166370,"801-77721"
1978201,"NCA REALTY PARTNERS LLC",334430,""
1978680,"FOCUSPOINT SOLUTIONS, INC.",131195,"801-63028"
1978689,"FOCUSPOINT SOLUTIONS, INC.",131195,"801-63028"
1980636,"CNL STRATEGIC CAPITAL MANAGEMENT, LLC",286342,"801-110050"
1975738,"BROOKFIELD ASSET MANAGEMENT PIC US, LLC",151599,"801-72031"
1961374,"PHORCYS CAPITAL PARTNERS, LLC",285635,"801-121806"
1960639,"PHORCYS CAPITAL PARTNERS, LLC",285635,"801-121806"
1964088,"SCIRE FUND III GP, LLC",323864,"801-126879"
1974652,"CGI WEALTH ADVISORS, INC.",311273,"801-119875"
1975123,"CHARLES SCHWAB INVESTMENT MANAGEMENT, INC",106753,"801-35905"
1976633,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",7691,"801-14235"
1970646,"SANDS CAPITAL VENTURES, LLC",155517,"801-72115"
1976808,"BRIDGE INVESTMENT GROUP",159127,"801-72790"
1976194,"FOCUSPOINT SOLUTIONS, INC.",131195,"801-63028"
1977363,"XPONANCE, INC.",111126,"801-51407"
1952238,"ADVICE AND PLANNING SERVICES",20472,"801-63550"
1977604,"EMPIRIC ADVISORS, INC.",108425,"801-31075"
1977719,"SOLOMON API LLC",159471,"801-113882"
1978307,"16TH AMENDMENT ADVISORS LLC",150575,"801-70324"
