"FilingID","Acquired Firm","SEC File Number","CRD Number"
1950173,"MILLBURN RIDGEFIELD CORPORATION","801-60938",148870
1956221,"CONFIDENCE WEALTH MANAGEMENT, LLC","801-122368",127383
1952216,"ADVANTAGE CAPITAL","801-80355",171365
1965726,"HUDSON ADVISOR SERVICES, INC.","801-54763",107769
1912945,"HORAN CAPITAL ADVISORS, LLC","801-77575",152888
1912945,"HORAN WEALTH MANAGEMENT","801-107181",40794
1971370,"SUMMIT GLOBAL INVESTMENTS, LLC","801-76631",157091
1957714,"GLP CAPITAL PARTNERS, INC.","801-117132",304917
1968274,"GROWTH LENDING LLC","801-131666",334044
1970389,"BISHOP STREET CAPITAL MANAGEMENT","801-57217",108042
1963593,"SCHNEIDER WEALTH MANAGEMENT","801-129665",144166
1967031,"FUSE PARTNERS, LLC","801-78506",168733
1974149,"RBF CAPITAL MANAGEMENT, INC.","801-130432",164524
1949069,"SARTORIAL WEALTH INC.","801-131096",329971
1971306,"OAKSTREET WEALTH MANAGEMENT, INC.","801-117484",288723
1944422,"RELIANT WEALTH PLANNING, LLC","801-108818",286230
1958419,"SARTORIAL WEALTH INC.","801-131096",329971
1969082,"IG4 CAPITAL ADVISORS (US) LP","801-123505",316972
1969643,"SCHAFFER & COMPANY ASSET MANAGEMENT, INC.","801-92168",138463
1949493,"MILLBURN RIDGEFIELD CORPORATION","801-60938",148870
