"FilingID","SEC File Number","Series ID","RAUM"
2008104,"811-07572",S000006997,282245184
2008104,"811-10183",,2952546548
2008104,"811-10263",S000001154,329073237
2008104,"811-22127",S000019839,3005024816
2008104,"811-23235",,642079255
2008104,"811-07953",S000044692,237711457
2008104,"811-09491",S000025364,575588344
2008104,"811-07912",,1029390352
2008104,"811-06318",S000008436,1309007628
2008104,"811-08090",,1404419507
2007432,"811-58433",,1197828653
2007692,"811-02546",S000006011,18883218749
2007692,"811-05251",S000056363,662634125873
2007692,"811-05251",S000063103,285934013
2007692,"811-05251",S000062806,59943025071
2007692,"811-05251",S000006023,9161421445
2007692,"811-05251",S000006027,48745215844
2007692,"811-05251",S000065248,104683250730
2007692,"811-05251",S000006026,74819469265
2007692,"811-05251",S000071896,1936985942
2007692,"811-05251",S000055366,7532907945
2007692,"811-05251",S000063105,612686270
2007692,"811-05251",S000063106,1187986483
2007692,"811-05511",S000007726,651510791683
2007692,"811-05511",S000061713,4461005288
2007692,"811-05511",S000061712,1792738322
2007692,"811-05511",S000061714,25295164137
2007692,"811-22893",S000043247,606386500
2007692,"811-02105",S000051993,2686197830
2007692,"811-02105",S000056355,61036676956
2007692,"811-02105",S000026422,13433601805
2007692,"811-02105",S000051996,51785380166
2007692,"811-02105",S000033635,7166044757
2007692,"811-02105",S000051995,9793549534
2007692,"811-02105",S000054095,1623913793
2007692,"811-02105",S000042625,9533511673
2007692,"811-02105",S000054096,7807490943
2007692,"811-02105",S000056362,27092655634
2007692,"811-02105",S000033638,429415325
2007692,"811-02105",S000056358,37019984532
2007692,"811-02105",S000033637,463853520
2007692,"811-02105",S000051994,653120343603
2007692,"811-02105",S000062810,31566748951
2007692,"811-02105",S000033639,94904321
2007692,"811-02105",S000033636,52842850320
2007692,"811-03015",S000007877,666983247816
2007692,"811-03480",S000042145,276442506
2007692,"811-03480",S000055837,789829943
2007692,"811-05141",S000026042,15146920852
2007692,"811-21991",S000061481,1545835196
2007692,"811-21991",S000084926,2178484371
2010998,"811-22398",,29352133
2009773,"811-10263",,19833756
2009773,"811-02021",,19981435
2008005,"811-22338",S000049068,468779120
2008005,"811-22338",S000051299,33357001
2008005,"811-22338",S000060200,1201783230
2010530,"811-07102",,345009000
2011279,"811-22321",,182637716
2011279,"811-03833",,230115602
2011104,"811-22747",S000050589,2395431906
2011104,"811-22747",S000050590,0
2011104,"811-22747",S000053615,300690103
2003454,"811-21836",S000046772,0
2003454,"811-21836",S000079831,0
2009025,"811-22338",S000049068,468779120
2009025,"811-22338",S000051299,33357001
2009025,"811-22338",S000060200,1201783230
2004051,"811-21488",S000001227,293011899
2004051,"811-08059",S000001226,408918658
2004051,"811-21677",S000001228,14198559
2004051,"811-22621",S000035709,56807644
2004051,"811-03153",S000029198,
2004047,"811-08059",S000001226,641343644
2004047,"811-21677",S000001228,23890145
2004047,"811-22621",S000035709,34843851
2007237,"811-23774",S000080195,577156923
2009431,"811-05430",S000005183,87466581554
2009431,"811-09599",S000054412,2511717846
2009431,"811-09819",S000046029,73617245369
2009431,"811-09819",S000046031,12789880134
2009431,"811-09819",S000046032,2508500073
2009431,"811-09819",S000050542,274641958
2009431,"811-09819",S000050332,1102563109
2009431,"811-05141",S000026039,16031797134
2009431,"811-05141",S000044766,8611986511
2009431,"811-03459",S000006724,88144791358
2009431,"811-03459",S000022083,1964202446
2009431,"811-03459",S000022078,6190550963
2009431,"811-10183",S000065171,746080119
2009431,"811-10183",S000011108,371091700
2009431,"811-08090",S000063207,621914969
2009431,"811-08090",S000061557,8438369356
2009431,"811-08090",S000015974,85164053
2009431,"811-08090",S000015783,77856607565
2009431,"811-08090",S000021657,14536025549
2009431,"811-08090",S000021658,3931980756
2009431,"811-08090",S000046416,12065013060
2009431,"811-04146",S000008297,10200594292
2009431,"811-08839",S000017334,8243532664
2009431,"811-08839",S000019666,435487687
2009431,"811-08839",S000006989,12422285548
2009431,"811-08839",S000006983,35342079489
2009431,"811-21145",S000014042,9528077568
2009431,"811-04041",S000001639,5669713229
2009431,"811-04041",S000001643,1278265187
2009431,"811-04041",S000001636,760914810
2009431,"811-04041",S000001648,88799612989
2009431,"811-08257",S000001633,5690855029
2009431,"811-08257",S000001627,168597322
2009431,"811-08257",S000001626,1289079291
2009431,"811-08257",S000001631,25445738
2009431,"811-07257",S000006768,1124586005
2009431,"811-07257",S000043383,83337262634
2009431,"811-07257",S000035814,2836542224
2009431,"811-07257",S000027147,613425400
2009431,"811-04878",S000061211,1762953852
2009431,"811-04878",S000018490,88024854729
2009431,"811-04878",S000050286,1160591393
2009431,"811-03715",S000011831,1127638379
2009431,"811-21435",S000011837,172255016
2009431,"811-01494",S000011836,21141800
2009431,"811-04419",S000057298,6171420821
2009431,"811-04419",S000057299,87880761504
2009431,"811-22480",S000073479,16967565277
2009851,"811-02527",S000006073,569556661
2009851,"811-04049",S000031154,505396785
2009851,"811-04049",S000031157,302729722
2009770,"811-04632",,64696849
2009770,"811-06041",,66444642
2009770,"811-05983",,146486114
1982098,"811-05186",S000006793,0
1982098,"811-05186",S000019381,4831450372
1982098,"811-07953",S000044695,1430780664
1982098,"811-07953",S000009149,418454489
1982098,"811-04615",S000004108,1230829600
1982098,"811-08918",S000023669,47829677
1982098,"811-07428",S000030601,4289260440
1982098,"811-21779",S000009819,1367814768
1982098,"811-21779",S000003356,47829677
1982098,"811-04146",S000008273,3344988345
1982098,"811-04146",S000008286,34682624
1982098,"811-04146",S000008343,151121731
1982098,"811-04146",S000008313,1367814768
1982098,"811-04146",S000008338,47829677
1982098,"811-04146",S000024661,0
1982098,"811-08090",S000015973,418454489
1982098,"811-08274",S000003681,1164578646
1982098,"811-08274",S000003668,3759352715
1982098,"811-08274",S000012476,517698992
1982098,"811-02224",S000034946,1164578646
1982098,"811-02224",S000003827,3759352715
1982098,"811-02224",S000011489,55695039
1982098,"811-03213",S000021039,47829677
1982098,"811-07572",S000033960,332860654
1982098,"811-07572",S000028139,3444479770
1982098,"811-04556",S000026829,0
1982098,"811-08272",S000008538,0
1982098,"811-08272",S000042772,55695039
1982098,"811-04419",S000007921,0
1982098,"811-23148",S000054041,0
1982098,"811-23148",S000054042,5587626856
1982098,"811-23148",S000061840,0
1982098,"811-23148",S000068790,666599010
1982098,"811-23148",S000070434,20369696
1982098,"811-03738",S000008004,0
1982098,"811-03738",S000008017,0
1982098,"811-03738",S000008005,0
1982098,"811-03738",S000008346,0
1982098,"811-03738",S000069820,918159633
1982098,"811-03738",S000069819,0
1982098,"811-08789",S000069821,418454489
1982098,"811-05445",S000002579,20369696
1982098,"811-02968",S000032976,0
1982098,"811-01766",S000004405,0
1982098,"811-07443",S000004407,918159633
1982098,"811-07443",S000004408,55695039
1982098,"811-07443",S000074281,1164578646
1982098,"811-07443",S000074282,6256660005
1982098,"811-07443",S000082943,0
1982098,"811-00834",S000004417,82850589
1982098,"811-22811",S000048335,1061591116
1982098,"811-22708",S000042683,1103554159
1982098,"811-22708",S000039101,0
1982098,"811-22708",S000088082,0
1982098,"811-22865",S000042090,2275569593
1982098,"811-21777",S000001412,3521131825
1982098,"811-21777",S000001415,1319418953
1982098,"811-10183",S000011125,1608970583
1982098,"811-03618",S000006501,1061591116
1982098,"811-03618",S000006522,13360126359
1982098,"811-03364",S000023755,4831450372
1982098,"811-04279",S000045240,0
1982098,"811-08236",S000012492,2264071962
1982098,"811-22781",S000049146,2169230513
1982098,"811-22819",S000058304,0
1982098,"811-23232",S000057666,1511407360
1982098,"811-05141",S000007766,2264071962
1982098,"811-05514",S000034849,0
1982098,"811-05514",S000005535,0
1982098,"811-10263",S000041653,1632666467
1982098,"811-10263",S000001161,2046795585
1982098,"811-10263",S000033730,1164578646
1982098,"811-00121",S000004406,0
1982098,"811-01530",S000002578,0
1982098,"811-07000",S000062653,164859829
1982098,"811-00558",S000004014,1230829600
1982098,"811-00558",S000004013,440041808
1982098,"811-00558",S000004018,1643900080
1982098,"811-00560",S000043448,1181180149
1982098,"811-00560",S000043449,3076259
1982098,"811-00560",S000061352,1229009826
1982098,"811-00560",S000072133,34682624
1982098,"811-01027",S000004444,10291671269
1982098,"811-01027",S000059218,0
1982098,"811-01027",S000059219,0
1982098,"811-02368",S000002582,0
1982098,"811-02368",S000002584,0
1982098,"811-02368",S000002588,329098334
1982098,"811-03153",S000001588,651607632
1982098,"811-03153",S000006865,4528143924
1982098,"811-03153",S000015554,3426512262
1982098,"811-03153",S000048355,2264071962
1982098,"811-03451",S000008266,280042070
1982098,"811-03451",S000008267,0
1982098,"811-03451",S000008269,0
1982098,"811-03833",S000009425,0
1982098,"811-03833",S000009437,757658195
1982098,"811-03833",S000053035,0
1982098,"811-03836",S000007949,0
1982098,"811-03836",S000007950,666599010
1982098,"811-03836",S000007956,0
1982098,"811-03916",S000002920,1061591116
1982098,"811-03916",S000002921,0
1982098,"811-03916",S000002922,372597315
1982098,"811-03916",S000002923,0
1982098,"811-03916",S000065529,6608506636
1982098,"811-04526",S000002913,285669856
1982098,"811-04550",S000006903,1917360230
1982098,"811-04550",S000028542,0
1982098,"811-04550",S000036715,704752152
1982098,"811-04550",S000039358,0
1982098,"811-05371",S000006865,651607632
1982098,"811-05641",S000004088,1608970583
1982098,"811-05823",S000003424,0
1982098,"811-05823",S000014393,283768
1982098,"811-05962",S000004390,0
1982098,"811-05962",S000004399,20369696
1982098,"811-05962",S000004401,10291671269
1982098,"811-05962",S000004402,0
1982098,"811-07239",S000002595,71836659
1982098,"811-07239",S000066700,0
1982098,"811-07257",S000014581,0
1982098,"811-07257",S000031047,280042070
1982098,"811-07589",S000003571,0
1982098,"811-07589",S000003572,0
1982098,"811-07589",S000003576,109181258
1982098,"811-07589",S000003580,375582123
1982098,"811-07589",S000003584,0
1982098,"811-07589",S000003585,40027
1982098,"811-07589",S000003586,4289260440
1982098,"811-07589",S000003588,0
1982098,"811-07589",S000003589,0
1982098,"811-07589",S000003592,0
1982098,"811-07589",S000003596,0
1982098,"811-07589",S000003597,151121731
1982098,"811-07589",S000003604,0
1982098,"811-07589",S000003605,11751155776
1982098,"811-07589",S000003609,0
1982098,"811-07589",S000003610,0
1982098,"811-07589",S000003611,20369696
1982098,"811-07589",S000012949,0
1982098,"811-07589",S000017746,0
1982098,"811-07589",S000017747,0
1982098,"811-07589",S000022584,40027
1982098,"811-07589",S000029045,0
1982098,"811-07589",S000029046,2788037015
1982098,"811-07589",S000032809,0
1982098,"811-07589",S000032810,2169230513
1982098,"811-07589",S000032811,0
1982098,"811-07589",S000034093,2631557040
1982098,"811-07589",S000049412,0
1982098,"811-07589",S000049413,0
1982098,"811-07589",S000053012,1161884756
1982098,"811-07589",S000076486,1539588496
1982098,"811-07725",S000008035,11751155776
1982098,"811-07725",S000008036,34682624
1982098,"811-07725",S000008040,0
1982098,"811-07725",S000008046,11751155776
1982098,"811-07725",S000008052,11751155776
1982098,"811-07725",S000008053,11751155776
1982098,"811-07725",S000008058,0
1982098,"811-08629",S000003205,0
1982098,"811-08629",S000003206,109181258
1982098,"811-08629",S000003207,1996937
1982098,"811-08629",S000003213,4289260440
1982098,"811-08629",S000003215,0
1982098,"811-08629",S000003216,0
1982098,"811-08629",S000003218,280042070
1982098,"811-08629",S000003220,151121731
1982098,"811-08629",S000003221,1061591116
1982098,"811-08629",S000003222,11751155776
1982098,"811-08629",S000003224,0
1982098,"811-08629",S000003225,0
1982098,"811-08690",S000003781,0
