"FilingID","Wrap Fee Program","Sponsor","Sponsor SEC File Number","Sponsor CRD Number"
2007960,"MORGAN STANLEY SMITH BARNEY CONSULTING GROUP SELECT UMA","MORGAN STANLEY","801-70103",149777
2007960,"EDWARD JONES ADVISORY SOLUTIONS UMA","EDWARD JONES","801-3297",250
2007960,"RBC WEALTH MANAGEMENT UMA PROGRAM","RBC CAPITAL MARKETS, LLC","801-13059",31194
2007960,"AZZAD ETHICAL WRAP PROGRAM","AZZAD ASSET MANAGEMENT, INC.","801-57871",111291
2007960,"ENVESTNET THIRD PARTY MANAGED ACCOUNT MODELS PROGRAM","ENVESTNET PMC","801-57260",111694
2007960,"FOURTH STREET CENTRALIZED PORTFOLIO MANAGEMENT","FOURTH STREET PERFORMANCE PARTNERS, INC.","801-41524",107339
2007960,"EQUITABLE TRUST UMA PROGRAM","EQUITABLE TRUST COMPANY","",
2007960,"OPPENHEIMER ASSET MANAGEMENT UMA PROGRAM","OPPENHEIMER ASSET MANAGEMENT","801-31427",105559
2007960,"ADHESION WEALTH UMA","ADHESION WEALTH ADVISOR SOLUTIONS","801-67829",143593
2007960,"AMERIPRISE SELECT SEPARATE ACCOUNT PROGRAM","AMERIPRISE FINANCIAL SERVICES, LLC","801-28543",6363
2007960,"NORTHERN TRUST UMA PROGRAM","NORTHERN TRUST INVESTMENTS, INCORPORATED","801-33358",105780
2007960,"RAYMOND JAMES UMA PROGRAM","RAYMOND JAMES & ASSOCIATES, INC.","801-10418",705
2007960,"VERDENCE CAPITAL ADVISORS UMA PROGRAM","VERDENCE CAPITAL ADVISORS, LLC","801-110722",288512
2008133,"LOCKWOOD MANAGED ACCOUNT COMMAND PLATFORM","BNY ADVISORS","801-52378",106108
2008133,"LOCKWOOD MANAGED ACCOUNT COMMAND PLATFORM","LINCOLN INVESTMENT","801-14059",519
2008133,"LTAM INVESTMENT CONSULTING SERVICES  (ICS)","LADENBURG THALMANN ASSET MANAGEMENT INC","801-54909",108604
2008141,"TRIPLETAIL WEALTH MANAGEMENT WRAP PROGRAM","TRIPLETAIL WEALTH MANAGEMENT","",318781
2008165,"MATERETSKY FINANCIAL GROUP WRAP FEE PROGRAM","MATERETSKY FINANCIAL GROUP","801-112829",292353
2008152,"FINANCIAL PLANNING NAVIGATORS WRAP FEE PROGRAM","FPNAVIGATORS","801-131251",332831
2008203,"GFG WRAP FEE PROGRAM","GFG SOLUTIONS","801-130954",331977
2007814,"IAS WRAP FEE PROGRAM","INSIGNEO ADVISORY SERVICES, LLC","801-107256",282589
2009367,"CONSULTING AND EVALUATION SERVICES (CES)","MORGAN STANLEY","",
2011007,"ENVESTNET ASSET MANAGEMENT, INC.","ENVESTNET PMC","801-57260",111694
2013282,"ASSETMARK WRAP FEE PLATFORM","ASSETMARK, INC.","801-56323",109018
2013317,"SPIREPOINT PRIVATE CLIENT, LLC","SPIREPOINT PRIVATE CLIENT, LLC","801-128336",327350
2011197,"ZHANG FINANCIAL WRAP FEE PROGRAM","ZHANG FINANCIAL","801-72987",159257
2009367,"INVESTMENT MANAGEMENT SERVICES (IMS)","MORGANSTANLEY","",
2009367,"WELLS FARGO SECURITIES PRIVATE ADVISOR NETWORK","WELLS FARGO SECURITIES","",
2009367,"STIFEL HORIZON PROGRAM","STIFEL NICOLAUS","",
2009367,"CLIENT SELECTED MANAGERS (CSM)","ROBERT W. BAIRD & CO","",
2009367,"STEPHENS MANAGED ASSETS PROGRAM","STEPHENS INC.","",
2009367,"MAC ELIGIBLE","UBS","",
2009367,"SELECT UMA","MORGAN STANLEY","",
2009367,"AMERIPRISE","ENVESTNET","",
2009367,"CLASSIC","JANNEY MONTGOMERY SCOTT LLC","801-7258",463
2009367,"BAIRD","ENVESTNET","",
2009367,"GROVE POINT","ENVESTNET","",
2009367,"SEPARATE ACCOUNT NETWORK","FIDELITY","",
2009367,"MANAGED ACCOUNT MARKETPLACE","CHARLES SCHWAB","",
2009367,"MANAGED ACCOUNT COMMAND","LOCKWOOD","",
2009367,"D. A. DAVIDSON & CO.","ENVESTNET","",
2009367,"MAP PROGRAM","RBC WEALTH MANAGEMENT","",
2009367,"OUTSIDE MANAGED PROGRAM (OSM)","RAYMOND JAMES","",
2009367,"MASSMUTUAL","ENVESTNET","",
2009367,"OSAIC WEALTH","ENVESTNET","",
2009367,"RAYMOND JAMES CS","RAYMOND JAMES","",
2009367,"MANAGER SELECT","LPL","",
2009367,"MANAGER ACCESS SELECT","LPL","",
2009367,"TRUIST","ENVESTNET","",
2009367,"ADVISOR PROGRAM","JANNEY MONTGOMERY SCOTT","",
2009367,"MANAGED ACCOUNT NETWORK","ROBERT W. BAIRD, INC.","",
2009367,"THRIVENT","ENVESTNET","",
2010356,"SIGNATOR MANAGED ACCOUNT PLATFORM","OSAIC WEALTH, INC.","801-54859",23131
2010356,"ADVISOR MANAGED PORTFOLIOS","VISION2020 WEALTH MANAGEMENT CORP.","801-71541",154149
