"Filing ID","5K(1)(a)(i)MID","5K(1)(a)(i)EOY","5K(1)(a)(ii)MID","5K(1)(a)(ii)EOY","5K(1)(a)(iii)MID","5K(1)(a)(iii)EOY","5K(1)(a)(iv)MID","5K(1)(a)(iv)EOY","5K(1)(a)(v)MID","5K(1)(a)(v)EOY","5K(1)(a)vi)MID","5K(1)(a)vi)EOY","5K(1)(a)(vii)MID","5K(1)(a)(vii)EOY","5K(1)(a)(viii)MID","5K(1)(a)(viii)EOY","5K(1)(a)(ix)MID","5K(1)(a)(ix)EOY","5K(1)(a)(x)MID","5K(1)(a)(x)EOY","5K(1)(a)(xi)MID","5K(1)(a)(xi)EOY","5K(1)(a)(xii)MID","5K(1)(a)(xii)EOY","5K(1)(a)(xii) Description","5K(1)(b)(i)","5K(1)(b)(ii)","5K(1)(b)(iii)","5K(1)(b)(iv)","5K(1)(b)(v)","5K(1)(b)(vi)","5K(1)(b)(vii)","5K(1)(b)(viii)","5K(1)(b)(ix)","5K(1)(b)(x)","5K(1)(b)(xi)","5K(1)(b)(xii)","5K(1)(b)(xii) Description"
1999553,,,,,,,,,,,,,,,,,,,,,,,,,"",100,0,0,0,0,0,0,0,0,0,0,0,""
1999575,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1997486,,,,,,,,,,,,,,,,,,,,,,,,,"",92,0,0,0,0,1,1,0,0,2,4,0,""
1999599,,,,,,,,,,,,,,,,,,,,,,,,,"",0,2,0,0,0,0,0,0,95,0,3,0,""
1999602,,,,,,,,,,,,,,,,,,,,,,,,,"",60,0,0,0,0,2,0,0,28,0,8,2,"VARIABLE ANNUITY (VA)"
1986325,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1998247,,,,,,,,,,,,,,,,,,,,,,,,,"",8,0,3,10,0,1,0,0,61,10,7,0,""
1999621,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1999610,,,,,,,,,,,,,,,,,,,,,,,,,"",64,0,0,3,0,0,0,0,27,0,6,0,""
1999396,,,,,,,,,,,,,,,,,,,,,,,,,"",43,0,34,8,0,0,0,0,7,0,7,0,""
1999588,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1999342,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1999636,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1999124,,,,,,,,,,,,,,,,,,,,,,,,,"",9,0,1,0,0,0,0,0,82,0,8,0,""
1997842,31,30,0,0,10,9,8,8,0,0,2,2,1,1,0,0,45,46,1,1,2,2,0,0,"",,,,,,,,,,,,,""
1999660,,,,,,,,,,,,,,,,,,,,,,,,,"",5,0,0,0,0,0,0,0,95,0,0,0,""
1997641,,,,,,,,,,,,,,,,,,,,,,,,,"",76,6,0,0,0,7,0,0,9,1,1,0,""
1999372,,,,,,,,,,,,,,,,,,,,,,,,,"",54,0,0,0,0,2,0,0,36,0,7,1,"NON-QUALIFIED VARIABLE ANNUITIES"
1999282,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1998101,,,,,,,,,,,,,,,,,,,,,,,,,"",64,0,7,1,0,0,0,0,0,0,13,15,"ANNUITIES, PRIVATE REITS, STRUCTURED PRODUCTS"
