"Filing ID","5K(3)(a)","5K(3)(b)","5K(3)(c) City","5K(3)(c) State","5K(3)(c) Country","5K(3)(d)","5K(3)(e)","5K(3)(f)","5K(3)(g)"
1924761,"CHARLES SCHWAB","CHARLES SCHWAB","WESTLAKE","TX","USA","N","","",191222455
1924761,"SEI","SEI","COLLEGEVILLE","PA","USA","N","","",3919945
1924761,"ORION PORTFOLIO SERVICES","ORION PORTFOLIO SERVICES","OMAHA","NE","USA","N","","",2306136
1924761,"ASSETMARK","ASSETMARK","LYNCHBURG","VA","USA","N","","",5444761
1923731,"THE NORTHERN TRUST COMPANY","THE NORTHERN TRUST COMPANY","CHICAGO","IL","USA","N","","6PTKHDJ8HDUF78PFWH30",518303572
1923731,"THE NORTHERN TRUST COMPANY","THE NORTHERN TRUST COMPANY","LONDON","","GBR","N","","HWIPDOTRM1EKRPKYKH",211290029
1925287,"NATIONAL FINANCIAL SERVICES LLC","NATIONAL FINANCIAL SERVICES LLC","SAN FRANCISCO","CA","USA","N","8-26740","",1143322777
1925287,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",420901086
1922995,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",101160852
1922995,"INSPIRA FINANCIAL (F/K/A MILLENIUM TRUST)","INSPIRA FINANCIAL","OAK BROOK","IL","USA","N","","",16274117
1922995,"VOYA FINANCIAL ADVISORS, INC.","VOYA FINANCIAL ADVISORS, INC.","WINDSOR","CT","USA","N","8-13987","",45578430
1925326,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",152663845
1925326,"ALIGHT FINANCIAL SOLUTIONS, LLC","ALIGHT FINANCIAL SOLUTIONS, LLC","LINCOLNSHIRE","IL","USA","N","8-47344","",24841023
1924465,"DRIVEWEALTH, LLC","DRIVEWEALTH, LLC","NEW YORK","NY","USA","N","8-69161","",496673
1924620,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",99000000
1924620,"MTG, LLC","BETTERMENT SECURITIES","NEW YORK","NY","USA","N","8-51906","",560000
1924620,"ALTRUIST FINANCIAL LLC","ALTRUIST FINANCIAL LLC","CULVER CITY","CA","USA","N","8-70244","",15000000
1925331,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","NY","USA","N","8-7221","",10058283552
1925331,"THE BANK OF NEW YORK MELLON","THE BANK OF NEW YORK MELLON","NEW YORK","NY","USA","N","","HPFHU0OQ28E4N0NFVK49",5906412758
1925387,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",259889172
1923045,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","BOSTON","MA","USA","N","8-23292","",300846912
1925391,"U.S. BANK, N.A.","U.S. BANK INSTITUTIONAL TRUST & CUSTODY","CINCINNATI","OH","USA","N","","41-0255900",25693557
1925391,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","OMAHA","NE","USA","N","8-16514","",235776084
1925426,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",255831089
1925464,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",143258477
1923727,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",290107416
1930400,"CIBC MELLON TRUST COMPANY","CIBC MELLON TRUST COMPANY","TORONTO","","CAN","N","","",107248642
1930211,"U.S. BANK","U.S. BANK","CINCINNATI","OH","USA","N","","6BYL5QZYBDK8S7L73M02",82599761
1922302,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",1995657693
1922302,"UBS FINANCIAL SERVICES INC.","UBS FINANCIAL SERVICES INC.","WEEHAWKEN","NJ","USA","N","8-16267","",463801047
1921858,"INTERACTIVE BROKERS LLC","INTERACTIVE BROKERS LLC","GREENWICH","CT","USA","N","8-47257","",600
1930863,"SEI INVESTMENTS DISTRIBUTION CO.","SEI INVESTMENTS DISTRIBUTION CO.","OAKS","PA","USA","N","8-27897","",114521713
1930863,"CAPITAL CLIENT GROUP, INC.","CAPITAL CLIENT GROUP, INC.","CARMEL","IN","USA","N","8-17168","",20026214
1930860,"CHARLES SCHWAB & CO","CHARLES SCHWAB & CO","SAN FRANCISCO","CA","USA","N","","",1794569457
1930860,"TRUIST","TRUIST","CHARLOTTE","NC","USA","N","","",1109698318
1930708,"CHARLES SCHWAB & CO","CHARLES SCHWAB","ORLANDO","FL","USA","N","","",2646691951
1930114,"BANKER'S BANK","BANKER'S BANK","MADISON","WI","USA","N","8-600491","",748615040
1930114,"UNITED BANKER'S BANK","UNITED BANKER'S BANK","BLOOMINGTON","MN","USA","N","8-600335","",547244149
