"FilingID","Other Name","BD","RR","Pool","FCM","Real Estate","Insurance","Bank","Trust","Municipal","Swap Dealer","Swap Participant","Accountant","Lawyer","Other","Other Description"
1936487,"ANDREW MAYNERICH INSURANCE AGENT","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1938954,"GLOVER PARK INSURANCE","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1938351,"CALLAN CAPITAL LLC., D/B/A CALLAN CAPITAL INSURANCE SERVICES, LLC.","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1930685,"LIBERTY ONE PRIVATE RISK","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1938428,"GLOVER PARK INSURANCE","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1938372,"RFG SOLUTIONS","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1930540,"FELDSTEIN FINANCIAL GROUP","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
1940285,"ATOMI LIFE AND INSURANCE BENEFITS SERVICES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1935689,"SILVER OAK SECURITIES, INC.","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
1939424,"BAUMAN FINANCIAL GROUP","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1941129,"A4 INSURANCE SOLUTIONS","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1941971,"GVA INSURANCE BROKERS","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1941983,"FORTRESS INSURANCE BROKERAGE, LLC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1941983,"FORTRESS CONSULTING, LLC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","SEPARATE ENTITY WHICH PROVIDES BUSINESS CONSULTING SERVICES FROM TIME TO TIME."
1943072,"ANNUITY AND LIFE REASSURANCE LTD","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1943802,"TRAJAN WEALTH INSURANCE SOLUTIONS","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1935366,"CANACCORD GENUITY WEALTH MANAGEMENT","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
1933101,"GLOVER PARK INSURANCE","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
1944367,"NORTHROCK-X","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","LIFESTYLE MANAGMENT SERVICES"
1944367,"FOUNDATION X, INC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","501C3 ORGANIZATION, A CHARITABLE GIFTING VEHICLE"
1944367,"FOUNDATION X LLC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","WHOLLY OWNED SUBSIDIARY BUSINESS THAT PROVIDES FOUNDATION MANAGEMENT AND CONSULTING SERVICES"
1944367,"NRX HOCKEY LLC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","LIFESTYLE MANAGEMENT SERVICES SPECIFIC TO HOCKEY PLAYERS"
1944367,"RSG HOCKEY, LLC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","HOCKEY AGENCY"
1937296,"ELTEKON BUSINESS SERVICES LLC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","REFERRAL FEES COLLECTED ON COLLATERALIZED LINES OF CREDIT"
1927423,"IRWIN SCHAFFER, LLC","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1946593,"IRWIN SCHAFFER, LLC","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1922526,"HARALAMBOS KITSOS, BRADFORD FINANCIAL SERVICES","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N",""
1927054,"FOCUS POINTE FINANCIAL","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
