"FilingID","Other Products and Services","Business Name"
1936367,"INSURANCE","CONFIDENCE WEALTH INSURANCE SOLUTIONS LLC & CONFIDENCE LIFE INSURANCE SOLUTIONS"
1936373,"ANNUITIES, MUTUAL FUNDS OR OTHER INVESTMENT PRODUCTS UNDER THE BROKER DEALER SIDE OF VORPAHL WING SECURITIES",""
1931247,"ADVISORY PERSONS MAY SELL INSURANCE PRODUCTS AND SECURITIES AS A REGISTERED REPRESENTATIVE AS APPROPRIATE.  CLIENTS ARE UNDER NO OBLIGATION TO PURCHASE RECOMMENDED PRODUCTS.","INDIVIDUAL CAPACITY/NAMES"
1936503,"INSURANCE PRODUCTS THROUGH IARS WHO ARE LICENSED INSURANCE AGENTS.",""
1938987,"INSURANCE. WHEN APPROPRIATE AND A CLIENT NEEDS INSURANCE, LIFE INSURANCE MAY BE RECOMMENDED.",""
1938954,"RECOMMENDATIONS OF INSURANCE","GLOVER PARK INSURANCE"
1939075,"FAMILY OFFICE SERVICES ARE PROVIDED FOR ULTRA HIGH NET-WORTH CLIENTS. SERVICES INCLUDE BUT ARE NOT LIMITED TO BOOKKEEPING AND BILL PAYMENT, RECORD KEEPING & RETENTION. TAX, ESTATE, PHILANTHROPY,INSURANCE REVIEWS, AND PROBLEM RESOLUTION.",""
1923048,"TAX PREPARATION  AND CROSS BORDER FINANCIAL PLANNING",""
1934380,"ADVISORY REPRESENTATIVES AS AN OUTSIDE BUSINESS, MAY SELL INSURANCE AND SECURITY PRODUCTS TO ADVISORY CLIENTS",""
1928461,"IMPLEMENTATION OF INSURANCE SALES","INDIVIDUAL CAPACITY"
1935242,"WILSHIRE PROVIDES INVESTMENT ANALYTICS PRODUCTS AND SERVICES.","WILSHIRE ANALYTICS"
1932180,"BROKERAGE AND INSURANCE PRODUCTS AND SERVICES. INVESTMENT ADVISORY REPRESENTATIVES ARE ALSO REGISTERED BROKER-DEALER REPRESENTATIVES WITH INNOVATION PARTNERS LLC, AS WELL AS INSURANCE AGENTS.",""
1931705,"ROY HUCKE, AND JULIAN HERON ARE LICENSED INDEPENDENT INSURANCE AGENTS AND MAY OFFER INSURANCE PRODUCTS TO THEIR CLIENTS.",""
1941635,"INSURANCE",""
1941712,"ADVISORY TECHNOLOGY PLATFORM, RECONCILIATION SERVICES, INVESTMENT RESEARCH REPORTS, ACCOUNT AGGREGATION, PORTFOLIO MANAGEMENT SOFTWARE AND PERFORMANCE CALCULATIONS.",""
1941725,"OUR IARS MAY RECOMMEND AND SELL ANNUITIES, LIFE INSURANCE, SUPPLEMENTAL HEALTH INSURANCE, INDIVIDUAL HEALTH INSURANCE, LTC INSURANCE AND FUNERAL TRUST",""
1941734,"LPLE ACTS AS A BROKER-DEALER TO ADVISORY CLIENTS AND SELLS SECURITIES AND BROKERAGE SERVICES AS A BROKER-DEALER TO ADVISORY CLIENTS. LPLE MAY SELL INSURANCE PRODUCTS TO CUSTOMERS WHO ARE ALSO ADVISORY CLIENTS OF LPLE.",""
1939706,"TAX PREPARATION & TAX AND FINANCIAL PLANNING",""
