"FilingID","ReferenceID","Foreign Regulatory Authority"
1936122,113497,"Canada - Ontario Securities Commission"
1936122,122543,"Bermuda - Bermuda Monetary Authority"
1936122,125692,"Bermuda - Bermuda Monetary Authority"
1936122,282537,"China, People's Republic of - China Securities Regulatory Commission "
1935242,55901,"Netherlands - The Netherlands Authority for the Financial Markets"
1935242,55903,"Australia - Australian Securities and Investments Commission"
1930825,200012,"Hong Kong - Securities and Futures Commission"
1939002,5786,"Singapore - Monetary Authority of Singapore"
1939002,55984,"Australia - Australian Securities and Investments Commission"
1939002,64329,"United Kingdom - Financial Conduct Authority"
1937177,278897,"Bahamas - Securities Commission of the Bahamas"
1934431,259609,"United Kingdom - Financial Conduct Authority"
1938294,35178,"Other-SOUTH AFRICA - FINANCIAL SECTOR CONDUCT AUTHORITY"
1938294,35178,"United Kingdom - Financial Conduct Authority"
1938294,35178,"Canada - Alberta Securities Commission"
1938294,35178,"Canada - Ontario Securities Commission"
1938294,35178,"Canada - Quebec, Financial Markets Authority"
1938294,35178,"China, People's Republic of - China Securities Regulatory Commission "
1938294,35178,"Canada - British Columbia Securities Commission"
1938294,35178,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1938294,35178,"Taiwan - Financial Supervisory Commission"
1938294,35184,"Canada - British Columbia Securities Commission"
1938294,35184,"Canada - Alberta Securities Commission"
1938294,35184,"Canada - Quebec, Financial Markets Authority"
1938294,35184,"Canada - Ontario Securities Commission"
1938294,35185,"Canada - Saskatchewan Financial Services Commission"
1938294,35185,"Other-CANADA - AUTORITE DES MARCHES FINANCIERS"
1938294,35185,"Canada - British Columbia Securities Commission"
1938294,35185,"Canada - Alberta Securities Commission"
1938294,35185,"Canada - Manitoba Securities Commission"
1938294,35185,"Canada - Ontario Securities Commission"
1938294,35185,"Canada - Nova Scotia Securities Commission"
1938294,35185,"Bahamas - Securities Commission of the Bahamas"
1938294,35185,"India - Securities and Exchange Board of India"
1938294,35185,"Canada - New Brunswick Securities Commission"
1938294,35185,"Canada - Prince Edward Island, Securities Office"
1938294,35185,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1938294,35186,"Singapore - Monetary Authority of Singapore"
1938294,35186,"Taiwan - Financial Supervisory Commission"
1938294,35186,"Other-TAIWAN - THE CENTRAL BANK OF REPUBLIC OF CHINA"
1938294,35186,"India - Securities and Exchange Board of India"
1938294,35186,"Other-COLOMBIA - SUPERINTENDENCIA FINANCIERA DE COLOMBIA"
1938294,35186,"Italy - National Stock Exchange Commission"
1938294,35186,"Other-SWISS NATIONAL BANK"
1938294,35186,"Other-SWISS FEDERAL BANKING COMMISSION"
1938294,35186,"Australia - Australian Securities and Investments Commission"
1938294,35186,"Dubai - Dubai Financial Services Authority"
1938294,35186,"China, People's Republic of - China Securities Regulatory Commission "
1938294,126243,"United Kingdom - Prudential Regulation Authority"
1938294,126243,"United Kingdom - Financial Conduct Authority"
1937882,204452,"Japan - Financial Services Agency"
1937882,53188,"Australia - Australian Securities and Investments Commission"
1937882,53226,"Germany - German Federal Financial Supervisory Agency"
1937882,204450,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1937882,204450,"Singapore - Monetary Authority of Singapore"
1937882,204451,"Hong Kong - Securities and Futures Commission"
1937882,204453,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1937882,204455,"United Kingdom - Financial Conduct Authority"
1937882,204455,"Germany - German Federal Financial Supervisory Agency"
1937882,204455,"United Kingdom - Prudential Regulation Authority"
1937882,204466,"Switzerland - Swiss Financial Market Supervisory Authority"
1937882,204939,"Other-EUROPEAN CENTRAL BANK (ECB)"
1937882,204939,"Other-""BANCO DE ESPAÑA"" (BOS, BANK OF SPAIN)"
1937882,204939,"Other-""COMISIÓN NACIONAL DEL MERCADO DE VALORES"" (CNMV, SPANISH NATIONAL SECURITIES COMMISSION)"
1937882,237821,"Canada - Ontario Securities Commission"
1937882,237821,"Canada - Quebec, Financial Markets Authority"
1937882,237821,"Canada - British Columbia Securities Commission"
1937882,237821,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1937882,237821,"Germany - German Federal Financial Supervisory Agency"
1937882,237821,"Iceland - Financial Supervisory Authority"
1937882,247764,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1937882,247767,"Cayman Islands - Cayman Islands Monetary Authority"
1937882,264560,"Other-EUROPEAN BANKING AUTHORITY (EBA)"
1937882,264560,"Other-THE EUROPEAN SECURITIES AND MARKETS AUTHORITY (ESMA)"
1937882,264560,"United Kingdom - Prudential Regulation Authority"
1937882,264560,"United Kingdom - Financial Conduct Authority"
1937882,264563,"Other-BAPEPAM/""OTORITAS JASA KEUANGAN"" (OJK) - INDONESIAN FINANCIAL SERVICES AUTHORITY."
1937882,264563,"Other-BANK INDONESIA (BI)"
1937882,264563,"Other-MINISTRY OF FINANCE OF REPUBLIC OF INDONESIA"
1937882,264573,"Other-RESERVE BANK OF INDIA"
1937882,264573,"India - Securities and Exchange Board of India"
1937882,264590,"Other-EUROPEAN CENTRAL BANK (ECB)"
1937882,264590,"Other-THE DUTCH CENTRAL BANK (""DE NEDERLANDSE BANK""/DNB) AUTHORITY FOR THE FINANCIAL MARKETS (""AUTORITEIT FINANCIËLE MARKTEN""/""AFM"")"
1937882,264620,"Other-BANKING REGULATION & SUPERVISION AGENCY (BRSA)"
1937882,264620,"Other-CAPITAL MARKETS BOARD OF TURKEY (CMB)"
1937882,264637,"Other-THE BANKING BUREAU OF FINANCIAL SUPERVISORY COMMISSION"
1937882,264641,"Other-CENTRAL BANK OF HUNGARY"
1937882,264645,"Other-PEOPLE'S BANK OF CHINA (PBOC)"
1937882,264645,"Other-CHINA BANKING REGULATORY COMMISSION (CBRC)"
1937882,264645,"Other-CHINA SECURITIES REGULATORY COMMISSION (CSRC)"
1937882,264645,"Other-STATE ADMINISTRATION OF FOREIGN EXCHANGE (SAFE)"
1937882,264647,"Hong Kong - Securities and Futures Commission"
1937882,264647,"Other-CHINA FOREIGN EXCHANGE TRADING SYSTEM (CFETS)"
1937882,264647,"Other-HONG KONG MONETARY AUTHORITY (""HKMA"")"
1937882,264647,"Other-PEOPLE'S BANK OF CHINA (PBOC)"
1937882,264648,"Other-SECURITIES COMMISSION (SC)"
1937882,264648,"Other-CENTRAL BANK - BANK NEGARA MALAYSIA (BNM)"
1937882,264649,"Other-OTHER - SECURITIES AND EXCHANGE COMMISSION OF PAKISTAN (SECP)"
1937882,264649,"Other-STATE BANK OF PAKISTAN"
1937882,264971,"Other-EUROPEAN CENTRAL BANK (ECB)"
