"FilingID","ReferenceID","Legal Name","Business Name","SEC Number or Other","CRD Number","Type","5a","5b","5c","5d","5e","5f","5g","5h","5i","5j","5k","5l","5m","5n","5o","5p","Control/Controlled","Common Control","Custodian","Exam Exempt","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","IA Exempt","Exemption","Foreign Registered","Share Persons","Share Location"
1992434,316033,"THEODORE F. FADEL","PHILLIPS BROOKS CPA","",,"","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","N","N","","","","","","","","N","","","N","Y","Y"
1988320,274008,"ATLAS INFRASTRUCTURE (AUSTRALIA) PTY LTD.","ATLAS INFRASTRUCTURE (AUSTRALIA) PTY LTD.","",,"","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","Y","FOREIGN PRIVATE ADVISER","Y","Y","N"
1991970,53586,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.","DWS INVESTMENT MANAGEMENT AMERICAS, INC.","801-252",104518,"","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","N","","Y","N","N"
1991970,258837,"DEUTSCHE BANK S.P.A.","DEUTSCHE BANK S.P.A.","",,"","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","Y","Y","Y","SECURITIES SERVICES ITALY","VIA FILIPPO TURATI, 27","MILAN","","Italy","20121","N","","","Y","N","N"
1991970,258705,"DEUTSCHE BANK AG JAKARTA BRANCH","DEUTSCHE BANK AG JAKARTA BRANCH","",,"","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","Y","Y","Y","FLOOR 5, DEUTSCHE BANK BUILDING, JL IMAM BONJOI","NO. 80","JAKARTA","","Indonesia","R1-10310","N","","","Y","N","N"
1991970,258830,"DEUTSCHE BANK AG HUNGARY BRANCH","DEUTSCHE BANK AG HUNGARY BRANCH","",,"","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","Y","Y","Y","HOLD UTCA 27. H - 1054","","BUDAPEST","","Hungary","","N","","","Y","N","N"
1991970,258716,"DEUTSCHE BANK AG TAIPEI BRANCH","DEUTSCHE BANK AG TAIPEI BRANCH","",,"","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","Y","Y","Y","13F, NO. 296","SEC. 4, REN-AI ROAD","TAIPEI","","Taiwan,  Republic of China","106","N","","","Y","N","N"
1991970,327989,"DEUTSCHE BANK AG, COLOMBO BRANCH","DEUTSCHE BANK AG, COLOMBO BRANCH","",,"","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","Y","Y","Y","DEUTSCHE BANK AG, COLOMBO BRANCH","86, GALLE ROAD","COLOMBO 3","","Sri Lanka","","N","","","Y","N","N"
1991970,303270,"DWS INVESTMENTS AUSTRALIA LIMITED","DWS INVESTMENTS AUSTRALIA LIMITED","801-57743",109112,"","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","N","","Y","Y","N"
1991970,327901,"DEUTSCHE BANK AG MANILA BRANCH","DEUTSCHE BANK AG MANILA BRANCH","",,"","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","Y","Y","Y","SECURITIES SERVICES PHILIPPINES","26TH FLOOR, TOWER ONE AYALA TRIANGLE, AYALA AVENUE","MAKAI CITY","","Philippines","","N","","","Y","N","N"
