"FilingID","ReferenceID","CIK"
1953674,219700,108069
1953674,219700,108069
1953674,219700,108069
1953674,219702,1002197
1953674,219702,1002197
1953674,219702,1002197
1953674,219708,1006249
1953674,219708,1006249
1953674,219708,1006249
1953674,219710,1388402
1953674,219710,1388402
1953674,219710,1388402
1953674,219713,1322981
1953674,219713,1322981
1953674,219713,1322981
1953674,219714,1461626
1953674,219714,1461626
1953674,219714,1461626
1953674,219716,1559919
1953674,219716,1559919
1953674,219716,1559919
1953674,219719,1388401
1953674,219719,1388401
1953674,219719,1388401
1953674,219721,108928
1953674,219721,108928
1953674,219721,108928
1953674,219722,1528987
1953674,219722,1528987
1953674,219722,1528987
1953674,219748,1549649
1953674,219748,1549649
1953674,219748,1549649
1953674,219765,1579407
1953674,219765,1579407
1953674,219765,1579407
1953674,240168,1050459
1953674,240168,1050459
1953674,240168,1050459
1953674,240176,1559920
1953674,240176,1559920
1953674,240176,1559920
1953674,240177,913414
1953674,240177,913414
1953674,240177,913414
1953674,298764,1512562
1953674,298764,1512562
1953674,298764,1512562
1953690,9703,106614
1953690,9703,106614
1953690,9704,108069
1953690,9704,108069
1953690,9704,108069
1953690,9704,108069
1953690,43991,1579407
1953690,43991,1579407
1953690,59483,108928
1953690,59483,108928
1953690,82162,1322981
1953690,82162,1322981
1953690,85178,1006249
1953690,85178,1006249
1953690,93321,1528987
1953690,93321,1528987
1953690,93326,1002197
1953690,93326,1002197
1953690,125969,1034551
1953690,125969,1034551
1953690,126014,1388401
1953690,126014,1388401
1953690,126019,1559919
1953690,126019,1559919
1953690,126058,1388402
1953690,126058,1388402
1953690,126120,913414
1953690,126120,913414
1953690,126124,1559921
1953690,126124,1559921
1953690,126139,1461626
1953690,126139,1461626
1953690,129505,1549649
1953690,129505,1549649
1953690,142181,1559920
1953690,142181,1559920
1953690,156879,1654470
1953690,156879,1654470
1953690,202428,1388403
1953690,202428,1388403
1953690,202430,1579406
1953690,202430,1579406
1953690,220262,1415064
1953690,220262,1415064
1953690,239877,1050459
1953690,239877,1050459
1953690,239883,290336
1953690,239883,290336
1953690,298791,1512562
1953690,298791,1512562
1971600,194190,1439866
1971600,194206,1534026
1971600,353700,1297254
1971600,353703,1607760
1966493,111981,1731031
1966493,207577,1721560
1969973,352771,1949307
1930036,108996,1409591
1930036,139341,1730838
1930036,197160,1661674
1967984,337976,1090413
1964372,122086,786393
1965764,249455,1813838
1965764,249634,1813869
1965764,266349,1813836
1974634,299669,1053725
1974634,299669,1445893
1969970,176316,1990907
1969970,242439,1848427
1969970,370260,1697117
1966559,242445,1593528
1966559,287187,1770167
1966559,327422,1872665
1966559,375526,1978888
1966559,391006,2063528
1965877,345714,1159311
1971519,246472,1407543
1971519,246512,1998033
1971519,287796,1996454
