"FilingID","ReferenceID","Form D File Number"
1976391,302047,"021-388687"
1976391,302047,"021-379437"
1976391,251434,"021-386972"
1976391,251434,"021-387202"
1976391,251434,"021-387220"
1976391,251434,"021-379437"
1976391,251434,"021-379438"
1976391,251434,"021-387217"
1976391,251434,"021-387219"
1976391,251434,"021-387226"
1977036,314198,"021-222036"
1977036,314199,"021-222038"
1978430,256622,"021-375576"
1978430,256622,"021-375577"
1978430,215499,"021-320656"
1978430,215499,"021-320655"
1978430,60736,"021-239838"
1978430,60736,"021-213437"
1978430,60736,"021-213432"
1978430,60736,"021-205250"
1979272,397860,"021-1995666"
1979111,371586,"021-222625"
1979111,312193,"021-222625"
1979111,371589,"021-222625"
1979111,314719,"021-222625"
1979111,477149,"021-222625"
1979111,312192,"021-222625"
1979111,377675,"021-505806"
1979111,371584,"021-222625"
1979111,371599,"021-222625"
1979111,377692,"021-505808"
1979111,314720,"021-222625"
1979111,477142,"021-222625"
1979111,477155,"021-222625"
1979111,477159,"021-222625"
1979323,243535,"021-356022"
1979323,170249,"021-244884"
1979323,357464,"021-463948"
1979323,2853,"021-113012"
1979323,59817,"021-205249"
1979323,256608,"021-376074"
1979323,306809,"021-389797"
1979323,65672,"021-214681"
1979323,377199,"021-480650"
1979323,244645,"021-354709"
1979323,2847,"021-56028"
1979323,377193,"021-496563"
1979323,480699,"021-523847"
1979323,480376,"021-508184"
1979323,480663,"021-518184"
1979323,480665,"021-519463"
1979323,243540,"021-354711"
1979323,377052,"021-484602"
1979323,2855,"021-149262"
1979323,187607,"021-272835"
1979323,235974,"021-346545"
1979323,187606,"021-274254"
1979323,480402,"021-514850"
1934162,216274,"021-305956"
1934162,192687,"021-232752"
1979039,397208,"021-493488"
1979039,397208,"021-493489"
1979039,397208,"021-493490"
1979039,397238,"021-493488"
1979039,397238,"021-493489"
1979039,397238,"021-493490"
1979039,397178,"021-493488"
1979039,397178,"021-493489"
1979039,397178,"021-493490"
1979039,397246,"021-493489"
1979039,397246,"021-493488"
1979039,397246,"021-493490"
1979039,295898,"021-290943"
1979039,4864,"021-148763"
1979039,4864,"021-86428"
1979039,4864,"021-310041"
1979018,246589,"021-361500"
1979018,246587,"021-362924"
1979018,246587,"021-362917"
1979018,246587,"021-365934"
1979018,246587,"021-365970"
1979018,246587,"021-369824"
1979018,253236,"021-1"
1977872,366283,"021-1964089"
1977872,277788,"021-1807788"
1977872,277787,"021-1807787"
1977872,248795,"021-1792600"
1977872,248796,"021-1792607"
1977872,248794,"021-1782096"
1977872,277824,"021-1840269"
1977872,248792,"021-1782098"
1977872,248793,"021-1782100"
1977872,209554,"021-312256"
1967927,480252,"021-190708"
1978232,204285,"021-320460"
1978232,312165,"021-454002"
1979485,62045,"021-209635"
1979485,5468,"021-96254"
1978990,426670,"021-516928"
1978990,426670,"021-516927"
1982676,319792,"021-436338"
1982676,319793,"021-463410"
1982676,300617,"021-420688"
1982676,301253,"021-408992"
1982676,301220,"021-424045"
1982676,301186,"021-383367"
1982676,264706,"021-362388"
1982676,264733,"021-373854"
1982676,319795,"021-455161"
1982676,370486,"021-455161"
1982676,364403,"021-471512"
1982676,373479,"021-491671"
1982676,439232,"021-513465"
