"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
1932635,6821,"FIDELITY BROKERAGE SERVICES LLC","8-23292",7784,"SMITHFIELD","Rhode Island","United States","Y"
1932635,6807,"FIDELITY BROKERAGE SERVICES LLC","8-23292",7784,"SMITHFIELD","Rhode Island","United States","Y"
1932635,167429,"FIDELITY BROKERAGE SERVICES LLC","8-23292",7784,"SMITHFIELD","Rhode Island","United States","Y"
1932709,376678,"CITIBANK N.A.","",,"LONDON","","United Kingdom","N"
1932709,376680,"DEUTSCHE BANK AG","",,"LONDON","","United Kingdom","N"
1932709,376680,"CITIBANK N.A.","",,"LONDON","","United Kingdom","N"
1932709,376681,"DEUTSCHE BANK AG","",,"LONDON","","United Kingdom","N"
1932709,376678,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","N"
1932709,376678,"J.P. MORGAN CHASE BANK N.A.","",,"LONDON","","United Kingdom","N"
1932709,376678,"DEUTSCHE BANK AG","",,"LONDON","","United Kingdom","N"
1932709,261103,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","N"
1932709,261103,"J.P. MORGAN CHASE BANK N.A.","",,"LONDON","","United Kingdom","N"
1932709,242624,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","N"
1932709,242624,"J.P. MORGAN CHASE BANK N.A.","",,"LONDON","","United Kingdom","N"
1932709,203227,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","N"
1932709,203227,"DEUTSCHE BANK AG","",,"LONDON","","United Kingdom","N"
1932709,40635,"CITIBANK N.A.","",,"LONDON","","United Kingdom","N"
1932709,40635,"DEUTSCHE BANK AG","",,"LONDON","","United Kingdom","N"
1932709,242624,"DEUTSCHE BANK AG","",,"LONDON","","United Kingdom","N"
1932709,256143,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","N"
1932709,256143,"DEUTSCHE BANK AG","",,"LONDON","","United Kingdom","N"
1932721,31958,"J.P. MORGAN CLEARING CORP.","8-43724",28432,"NEW YORK","New York","United States","Y"
1932721,31966,"J.P. MORGAN CLEARING CORP.","8-43724",28432,"NEW YORK","New York","United States","Y"
1932721,31966,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1932721,31966,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1932721,31966,"NATIONAL FINANCIAL SERVICES LLC","8-26740",13041,"BOSTON","Massachusetts","United States","Y"
1932721,65627,"J.P. MORGAN CLEARING CORP.","8-43724",28432,"NEW YORK","New York","United States","Y"
1932721,65627,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1932721,65627,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1932721,180712,"NATIONAL FINANCIAL SERVICES LLC","8-26740",13041,"BOSTON","Massachusetts","United States","Y"
1932721,193798,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1932721,193798,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1932721,180712,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1932721,31855,"J.P. MORGAN CLEARING CORP.","8-43724",28432,"NEW YORK","New York","United States","Y"
1932721,31855,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1932721,31855,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1932721,31855,"NATIONAL FINANCIAL SERVICES LLC","8-26740",13041,"BOSTON","Massachusetts","United States","Y"
1932721,377760,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1932721,426053,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1932721,280364,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1932721,280364,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1932721,65627,"NATIONAL FINANCIAL SERVICES LLC","8-26740",13041,"BOSTON","Massachusetts","United States","Y"
1932721,193798,"NATIONAL FINANCIAL SERVICES LLC","8-26740",13041,"BOSTON","Massachusetts","United States","Y"
1932721,268356,"NATIONAL FINANCIAL SERVICES LLC","8-26740",13041,"BOSTON","Massachusetts","United States","Y"
1932721,280364,"J.P. MORGAN CLEARING CORP.","8-43724",28432,"NEW YORK","New York","United States","Y"
1932721,280364,"NATIONAL FINANCIAL SERVICES LLC","8-26740",13041,"BOSTON","Massachusetts","United States","Y"
1932721,193798,"J.P. MORGAN CLEARING CORP.","8-43724",28432,"NEW YORK","New York","United States","Y"
1932721,211593,"NATIONAL FINANCIAL SERVICES LLC","8-26740",13041,"BOSTON","Massachusetts","United States","Y"
1932721,31958,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1932721,31958,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1932721,31958,"NATIONAL FINANCIAL SERVICES LLC","8-26740",13041,"BOSTON","Massachusetts","United States","Y"
1931557,186368,"UBS AG","",,"NEW YORK","New York","United States","Y"
1931557,186368,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1931557,186368,"UBS SECURITIES LLC","8-22651",7654,"NEW YORK","New York","United States","Y"
1914624,363705,"INTERACTIVE BROKERS LLC","8-47257",36418,"GREENWICH","Connecticut","United States","Y"
