"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","Legal Entity Identifier"
2008153,224863,"JEFFERIES LLC","JEFFERIES LLC","NEW YORK","New York","United States","N","8-15074",
2008153,224863,"U.S. BANK NATIONAL ASSOCIATION","U.S. BANK","MILWAUKEE","Wisconsin","United States","N","",6BYL5QZYBDK8S7L73M02
2008000,277704,"FIRST-CITIZENS BANK & TRUST COMPANY","FIRST-CITIZENS BANK & TRUST COMPANY","RALEIGH","North Carolina","United States","N","",L9VVX1KT5TFTKS0MLF66
2008000,417759,"FIRST-CITIZENS BANK & TRUST COMPANY","FIRST-CITIZENS BANK & TRUST COMPANY","RALEIGH","North Carolina","United States","N","",L9VVX1KT5TFTKS0MLF66
2008000,417762,"FIRST-CITIZENS BANK & TRUST COMPANY","FIRST-CITIZENS BANK & TRUST COMPANY","RALEIGH","North Carolina","United States","N","",L9VVX1KT5TFTKS0MLF66
2008000,418229,"FIRST-CITIZENS BANK & TRUST COMPANY","FIRST-CITIZENS BANK & TRUST COMPANY","RALEIGH","North Carolina","United States","N","",L9VVX1KT5TFTKS0MLF66
2008000,418229,"SFOX INC.","SFOX INC.","DALLAS","Texas","United States","N","",
2008000,417731,"FIRST-CITIZENS BANK & TRUST COMPANY","FIRST-CITIZENS BANK & TRUST COMPANY","RALEIGH","North Carolina","United States","N","",L9VVX1KT5TFTKS0MLF66
2008000,417472,"FIRST-CITIZENS BANK & TRUST COMPANY","FIRST-CITIZENS BANK & TRUST COMPANY","RALEIGH","North Carolina","United States","N","",L9VVX1KT5TFTKS0MLF66
2008000,417492,"FIRST-CITIZENS BANK & TRUST COMPANY","FIRST-CITIZENS BANK & TRUST COMPANY","RALEIGH","North Carolina","United States","N","",L9VVX1KT5TFTKS0MLF66
2008000,417496,"FIRST-CITIZENS BANK & TRUST COMPANY","FIRST-CITIZENS BANK & TRUST COMPANY","RALEIGH","North Carolina","United States","N","",L9VVX1KT5TFTKS0MLF66
2008000,417750,"FIRST-CITIZENS BANK & TRUST COMPANY","FIRST-CITIZENS BANK & TRUST COMPANY","RALEIGH","North Carolina","United States","N","",L9VVX1KT5TFTKS0MLF66
2008000,417757,"FIRST-CITIZENS BANK & TRUST COMPANY","FIRST-CITIZENS BANK & TRUST COMPANY","RALEIGH","North Carolina","United States","N","",L9VVX1KT5TFTKS0MLF66
2008000,279148,"FIRST-CITIZENS BANK & TRUST COMPANY","FIRST-CITIZENS BANK & TRUST COMPANY","RALEIGH","North Carolina","United States","N","",L9VVX1KT5TFTKS0MLF66
2008000,279149,"FIRST-CITIZENS BANK & TRUST COMPANY","FIRST-CITIZENS BANK & TRUST COMPANY","RALEIGH","North Carolina","United States","N","",L9VVX1KT5TFTKS0MLF66
2008000,277697,"FIRST-CITIZENS BANK & TRUST COMPANY","FIRST-CITIZENS BANK & TRUST COMPANY","RALEIGH","North Carolina","United States","N","",L9VVX1KT5TFTKS0MLF66
2008000,277697,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","COLUMBUS","Ohio","United States","N","",7H6GLXDRUGQFU57RNE97
2008000,277697,"CITY NATIONAL BANK","CITY NATIONAL BANK","LOS ANGELES","California","United States","N","",593C3GZG957YOJPS2Z63
