"FilingID","ReferenceID","Name of Administrator","City","State","Country","Related Person","Statements","Who Sends Statements"
1999342,227186,"ALTER DOMUS LLC","BOSTON","Massachusetts","United States","N","Yes (provided to all investors)",""
1999342,281955,"ALTER DOMUS LLC","BOSTON","Massachusetts","United States","N","Yes (provided to all investors)",""
1995505,312914,"CARTA","HAMILTON","New Jersey","United States","N","Yes (provided to all investors)",""
1995505,312915,"CARTA","HAMILTON","New Jersey","United States","N","Yes (provided to all investors)",""
1995505,312912,"CARTA","HAMILTON","New Jersey","United States","N","Yes (provided to all investors)",""
1995505,206409,"CARTA","HAMILTON","New Jersey","United States","N","Yes (provided to all investors)",""
1995505,232824,"CARTA","HAMILTON","New Jersey","United States","N","Yes (provided to all investors)",""
1995505,232834,"CARTA","HAMILTON","New Jersey","United States","N","Yes (provided to all investors)",""
1995505,252493,"CARTA","HAMILTON","New Jersey","United States","N","Yes (provided to all investors)",""
1995505,232836,"CARTA","HAMILTON","New Jersey","United States","N","Yes (provided to all investors)",""
1995505,372232,"CARTA","HAMILTON","New Jersey","United States","N","Yes (provided to all investors)",""
1995505,317595,"CARTA","HAMILTON","New Jersey","United States","N","Yes (provided to all investors)",""
1995505,312913,"CARTA","HAMILTON","New Jersey","United States","N","Yes (provided to all investors)",""
1995505,312909,"CARTA","HAMILTON","New Jersey","United States","N","Yes (provided to all investors)",""
1995505,312911,"CARTA","HAMILTON","New Jersey","United States","N","Yes (provided to all investors)",""
1995505,464723,"CARTA","HAMILTON","New Jersey","United States","N","Yes (provided to all investors)",""
1995505,464660,"CARTA","HAMILTON","New Jersey","United States","N","Yes (provided to all investors)",""
1989160,269950,"MAPLESFS","GRAND CAYMAN","","Cayman Islands","N","No (provided to no investors)","MAPLESFS, AS A THIRD-PARTY ADMINISTRATOR, PROVIDES OVERSIGHT AND MANAGEMENT OF REGULATORY MATTERS RELATING TO THE MAINTENANCE OF THE FEEDER FUND INCLUDING, BUT NOT LIMITED TO, FATCA, AND CRS REPORTING. INVESTMENT STATEMENTS ARE INTERNALLY PREPARED BY INTER ALPEN PARTNERS AND DELIVERED DIRECTLY BY INTER ALPEN PARTNERS TO THE INVESTOR."
