"FilingID","ReferenceID","Filing/Relying Adviser"
1928848,420359,"ALTES CAPITAL, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             420359
1928848,420360,"ALTES CAPITAL, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             420360
1928848,420365,"ALTES CAPITAL, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             420365
1928848,420362,"ALTES CAPITAL, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             420362
1927274,200272,"POINT72 HONG KONG LIMITED"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      200272            1789
1927274,200275,"POINT72 HONG KONG LIMITED"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      200275            1789
1927274,200272,"POINT72 ASIA (SINGAPORE) PTE. LTD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              200272            1796
1927274,200275,"POINT72 ASIA (SINGAPORE) PTE. LTD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              200275            1796
1927274,200265,"POINT72 ASIA (SINGAPORE) PTE. LTD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              200265            1796
1927274,200275,"POINT72 JAPAN LIMITED"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          200275            1799
1927274,200265,"POINT72 EUROPE (LONDON) LLP"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    200265            1801
1927274,200272,"POINT72 EUROPE (LONDON) LLP"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    200272            1801
1927274,200275,"POINT72 EUROPE (LONDON) LLP"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    200275            1801
1927274,200272,"POINT72 FRANCE SAS"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             200272            1807
1927274,200265,"POINT72 FRANCE SAS"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             200265            1807
1927274,200265,"CUBIST SYSTEMATIC STRATEGIES, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              200265            1808
1927274,200275,"CUBIST SYSTEMATIC STRATEGIES, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              200275            1808
1927274,319748,"CPV PARTNERS, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              319748            5757
1927274,254834,"POINT72 HYPERSCALE ADVISERS, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               254834            8132
1927274,254831,"POINT72 HYPERSCALE ADVISERS, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               254831            8132
1927274,254837,"POINT72 HYPERSCALE ADVISERS, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               254837            8132
1927274,284899,"CPV REAL ESTATE PARTNERS, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  284899            9245
1927274,200272,"POINT72 ITALY S.R.L."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           200272           11208
1927274,200272,"POINT72 (DIFC) LIMITED"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         200272           11360
