"FilingID","ReferenceID","Foreign Regulatory Authority"
1981299,318889,"Cayman Islands - Cayman Islands Monetary Authority"
1981299,318878,"Cayman Islands - Cayman Islands Monetary Authority"
1981299,318884,"Cayman Islands - Cayman Islands Monetary Authority"
1981299,318886,"Cayman Islands - Cayman Islands Monetary Authority"
1981299,318897,"Cayman Islands - Cayman Islands Monetary Authority"
1981200,476796,"Netherlands - The Netherlands Authority for the Financial Markets"
1981200,476796,"Germany - German Federal Financial Supervisory Agency"
1981200,476796,"Sweden - Swedish Financial Supervisory Authority"
1981200,476796,"United Kingdom - Financial Conduct Authority"
1981200,476796,"Japan - Financial Services Agency"
1981200,476796,"Finland - Financial Supervision Authority"
1981200,476796,"Norway - The Banking, Insurance and Securities Commission"
1981029,210645,"Cayman Islands - Cayman Islands Monetary Authority"
1981029,288749,"Cayman Islands - Cayman Islands Monetary Authority"
1981029,456002,"Cayman Islands - Cayman Islands Monetary Authority"
1981505,435142,"Cayman Islands - Cayman Islands Monetary Authority"
1981505,435138,"Cayman Islands - Cayman Islands Monetary Authority"
1981505,426030,"Cayman Islands - Cayman Islands Monetary Authority"
1981505,46765,"Cayman Islands - Cayman Islands Monetary Authority"
1981505,16583,"Cayman Islands - Cayman Islands Monetary Authority"
1981505,16587,"Cayman Islands - Cayman Islands Monetary Authority"
1981505,245746,"Cayman Islands - Cayman Islands Monetary Authority"
1981505,16590,"Cayman Islands - Cayman Islands Monetary Authority"
1981505,16607,"Cayman Islands - Cayman Islands Monetary Authority"
1981505,46767,"Cayman Islands - Cayman Islands Monetary Authority"
1981505,46768,"Cayman Islands - Cayman Islands Monetary Authority"
1981505,205111,"Cayman Islands - Cayman Islands Monetary Authority"
1981505,372171,"Cayman Islands - Cayman Islands Monetary Authority"
1981505,16592,"Cayman Islands - Cayman Islands Monetary Authority"
1981505,426031,"Cayman Islands - Cayman Islands Monetary Authority"
1981505,437378,"India - Securities and Exchange Board of India"
1981505,46768,"India - Securities and Exchange Board of India"
1970089,482016,"Cayman Islands - Cayman Islands Monetary Authority"
1970089,482021,"Cayman Islands - Cayman Islands Monetary Authority"
1970089,366799,"Cayman Islands - Cayman Islands Monetary Authority"
1970089,366811,"Cayman Islands - Cayman Islands Monetary Authority"
1970089,366814,"Cayman Islands - Cayman Islands Monetary Authority"
1970089,366810,"Cayman Islands - Cayman Islands Monetary Authority"
1970089,366813,"Cayman Islands - Cayman Islands Monetary Authority"
1970089,366800,"Cayman Islands - Cayman Islands Monetary Authority"
1974678,213361,"Cayman Islands - Cayman Islands Monetary Authority"
1974678,306463,"Cayman Islands - Cayman Islands Monetary Authority"
1975217,439298,"Cayman Islands - Cayman Islands Monetary Authority"
1975217,439293,"Cayman Islands - Cayman Islands Monetary Authority"
1975217,441441,"Cayman Islands - Cayman Islands Monetary Authority"
1975217,439289,"Jersey - Jersey Financial Services Commission"
1975217,371638,"Jersey - Jersey Financial Services Commission"
1975217,371640,"Jersey - Jersey Financial Services Commission"
1975217,358473,"Jersey - Jersey Financial Services Commission"
1975217,228921,"Cayman Islands - Cayman Islands Monetary Authority"
1975217,184049,"Cayman Islands - Cayman Islands Monetary Authority"
1975217,13572,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1975217,318323,"Cayman Islands - Cayman Islands Monetary Authority"
1973373,482874,"Ireland -  Central Bank of Ireland"
1973373,364158,"Ireland -  Central Bank of Ireland"
1973373,360461,"Ireland -  Central Bank of Ireland"
1973373,360462,"Ireland -  Central Bank of Ireland"
1973373,312415,"Cayman Islands - Cayman Islands Monetary Authority"
1973373,360460,"Mexico - National Commission for Banking and Securities"
1973373,64961,"Ireland -  Central Bank of Ireland"
1973373,23845,"Cayman Islands - Cayman Islands Monetary Authority"
1973373,251925,"Ireland -  Central Bank of Ireland"
1973373,23876,"Ireland -  Central Bank of Ireland"
1973373,24013,"Cayman Islands - Cayman Islands Monetary Authority"
1973373,64959,"Cayman Islands - Cayman Islands Monetary Authority"
1973373,303418,"Ireland -  Central Bank of Ireland"
1973373,482867,"Ireland -  Central Bank of Ireland"
1973373,482868,"Ireland -  Central Bank of Ireland"
1975380,260154,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1975380,260254,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1975380,229499,"Cayman Islands - Cayman Islands Monetary Authority"
1975380,289863,"Cayman Islands - Cayman Islands Monetary Authority"
