"FilingID","ReferenceID","Private Fund Name","Fund ID"
1975177,201868,"STARWOOD OPPORTUNITY FUND XI INVESTOR KT, L.P.",805-1568681018
1975177,201868,"SOF-XI VIP OFFSHORE, L.P.",805-1753258765
1975177,186198,"SOF-XI VIP TE, L.P.",805-6701546422
1975177,480596,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. INSTITUTIONAL MAR-S AIV II L.P.",805-1522577493
1975177,480596,"STARWOOD OPPORTUNITY FUND XI INVESTOR KT, L.P.",805-1568681018
1975177,480596,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. PRIVATE AGGREGATOR AIV, L.P.",805-8642221448
1975177,480596,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. PRIVATE NRE AIV I, L.P.",805-4634038116
1975177,480596,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. INSTITUTIONAL MAR-S AIV I L.P.",805-9809677362
1975177,480596,"STARWOOD OPPORTUNITY FUND XI INVESTOR KA, L.P.",805-3901103275
1975177,480596,"STARWOOD OPPORTUNITY FUND XI U.S. INSTITUTIONAL MAR AGGREGATOR AIV, L.P.",805-5154382986
1975177,480596,"STARWOOD OPPORTUNITY FUND XI INVESTOR KS, L.P.",805-2743638953
1975177,201024,"SOF-XI VIP TE, L.P.",805-6701546422
1975177,220479,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. INSTITUTIONAL MAR, L.P.",805-2462394259
1975177,220479,"STARWOOD OPPORTUNITY FUND XI INVESTOR KS, L.P.",805-2743638953
1975177,478103,"SOF-XIII FEEDER I, L.P.",805-5941408582
1975177,478136,"SOF-XIII VIP TE, L.P.",805-3724722619
1975177,478136,"SOF-XIII VIP OFFSHORE, L.P.",805-9796521038
1975177,478136,"SOF-XIII KA FEEDER, L.P.",805-1342857142
1975177,201965,"STARWOOD OPPORTUNITY FUND XI INVESTOR KS, L.P.",805-2743638953
1975177,201965,"STARWOOD OPPORTUNITY FUND XI INVESTOR KP, L.P.",805-1174781467
1975177,201965,"SOF-XI VIP TE, L.P.",805-6701546422
1975177,478011,"SGREDS FEEDER I, L.P.",805-9059474959
1975177,478232,"SOF-XIII VIP TE, L.P.",805-3724722619
1975177,478232,"SOF-XIII VIP OFFSHORE, L.P.",805-9796521038
1975177,478232,"STARWOOD DISTRESSED OPPORTUNITY FUND XIII UK AIV BLOCKERCO LIMITED",805-1941461924
1975177,478232,"STARWOOD DISTRESSED OPPORTUNITY FUND XIII UK AIV LP",805-9870580604
1975177,478232,"STARWOOD DISTRESSED OPPORTUNITY FUND XIII UK AIV (BLOCKED) LP",805-6680418831
1975177,478232,"SDOF XIII FEEDER UK AIV (BLOCKED) LP",805-9028610397
1975177,287227,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. PRIVATE NRE AIV II, L.P.",805-8477236053
1975177,478232,"SOF-XIII FEEDER I, L.P.",805-5941408582
1975177,478232,"SOF-XIII VIP ONSHORE, L.P.",805-5070022950
1975177,478226,"SOF-XIII INTERNATIONAL BLOCKER, L.P.",805-1765409136
1975177,478103,"SOF-XIII VIP ONSHORE, L.P.",805-5070022950
1975177,287227,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. PRIVATE AGGREGATOR AIV, L.P.",805-8642221448
1975177,287227,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. PRIVATE NRE AIV I, L.P.",805-4634038116
1975177,287227,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. INSTITUTIONAL MAR-S AIV I L.P.",805-9809677362
1975177,287227,"STARWOOD OPPORTUNITY FUND XI INVESTOR KA, L.P.",805-3901103275
1975177,287227,"STARWOOD OPPORTUNITY FUND XI U.S. INSTITUTIONAL MAR AGGREGATOR AIV, L.P.",805-5154382986
1975177,287227,"STARWOOD OPPORTUNITY FUND XI INVESTOR KS, L.P.",805-2743638953
1975177,478189,"SOF-XIII VIP TE, L.P.",805-3724722619
1975746,36171,"PARSEC INSTITUTIONAL FUND, LTD.",805-8791633358
1975746,36171,"PARSEC ONSHORE PARTNERS, L.P.",805-5381553865
1975746,421314,"PARSEC PLUS INSTITUTIONAL FUND, LTD.",805-5646135283
1975746,421314,"PARSEC PLUS ONSHORE PARTNERS, L.P.",805-7169151205
1975949,198276,"KIMBERLITE FRONTIER AFRICA FUND (US), LP",805-1234309999
1975949,198276,"KIMBERLITE FRONTIER AFRICA FUND OFFSHORE, L.P.",805-7671768606
1976024,24616,"AURELIAN GLOBAL RESOURCES LTD",805-7543209878
1982709,480347,"F&S I BLOCKER MEMBER LLC",805-1195360196
1982709,480347,"F&S I BLOCKER, LP",805-2294097044
1982709,480347,"F&S I FEEDER, LP",805-1725671610
1981299,454429,"IBEX ISRAEL SECONDARY (OFFSHORE) LP",805-9120476942
1981299,371440,"IBEX ISRAEL VC II (OFFSHORE) LP",805-6450430798
1981299,285402,"IBEX MOBILITY REVOLUTION VC (OFFSHORE) LP",805-5446996941
1981299,193242,"IBEX MOBILITY REVOLUTION FUND (OFFSHORE) LTD.",805-2426565454
1981299,162185,"IBEX ISRAEL FUND (OFFSHORE) LTD.",805-8466409916
1981299,162185,"IBEX ISRAEL FUND 1 LLLP",805-3136487280
