"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
1989625,253302,147187,"TREFOIL/GARNET CAPITAL PARTNERS, L.P.",805-6855839356,"Delaware","United States","Y","N"
1990004,337596,143018,"QUID CAPITAL III FEEDER FUND B, LLC",805-7017042356,"Delaware","United States","N","Y"
1990004,251520,133908,"QUID CAPITAL FEEDER FUND A",805-8232458947,"Delaware","United States","N","Y"
1990004,251520,133909,"QUID CAPITAL FEEDER FUND B",805-5522605880,"Delaware","United States","N","Y"
1990004,337596,143017,"QUID CAPITAL III FEEDER FUND A, LLC",805-2983253897,"Delaware","United States","N","Y"
1990004,397075,146284,"QUID CAPITAL III FEEDER FUND A, LLC",805-2983253897,"Delaware","United States","N","Y"
1989101,308044,140061,"PRIMARY WAVE MUSIC FEEDER, LP",805-3414798320,"","Cayman Islands","N","Y"
1989101,398417,152250,"PRIMARY WAVE MUSIC F4 FEEDER, LP",805-7538372383,"Delaware","United States","N","Y"
1989101,398417,152251,"PRIMARY WAVE MUSIC F4 OFFSHORE FEEDER LP",805-4595943039,"","Cayman Islands","N","Y"
1989118,11124,2609,"TAIYO OFFSHORE FUND, LTD.",805-9734430400,"","Cayman Islands","Y","Y"
1989118,62149,12758,"TAIYO GREATER INDIA EMPLOYEES, L.P.",805-3027061966,"Delaware","United States","Y","N"
1990108,184496,145816,"GDIF US HEDGED FEEDER FUND LP",805-2161637486,"","Cayman Islands","N","Y"
1990111,184317,145252,"GDIF US HEDGED FEEDER FUND LP",805-2161637486,"","Cayman Islands","N","Y"
1989547,463552,151119,"WD THANOS BLOCKER FEEDER LLC",805-5324997203,"Delaware","United States","N","Y"
1988253,17424,3869,"BROOKSIDE CAYMAN LTD",805-3261518568,"","Cayman Islands","N","Y"
1988253,17424,3868,"BROOKSIDE CAYMAN PA LTD",805-3242874157,"","Cayman Islands","N","Y"
1988253,193147,122060,"BAIN CAPITAL PUBLIC EQUITY GLOBAL PARTNERS FUND (OFFSHORE), L.P.",805-3886668924,"","Cayman Islands","N","Y"
1988253,232158,137345,"BAIN CAPITAL PUBLIC EQUITY GLOBAL LONG EQUITY FUND (OFFSHORE), L.P.",805-9556734257,"","Cayman Islands","N","Y"
1988253,232158,137343,"BAIN CAPITAL PUBLIC EQUITY GLOBAL LONG EQUITY FUND (DI), L.P.",805-3810557389,"Delaware","United States","N","Y"
1989347,487336,153214,"ALCENTRA VIADUCT FUND II (DELAWARE) L.P.",805-5921636284,"Delaware","United States","N","Y"
1989347,433609,149819,"ASCOF V BLOCKER L.P.",805-3766155930,"","Guernsey","N","Y"
1989347,214199,126046,"ALCENTRA VIADUCT FUND (DELAWARE) L.P.",805-3529449478,"Delaware","United States","N","Y"
1989347,247317,133261,"ALCENTRA STRUCTURED CREDIT OPPORTUNITIES FUND IV (USD) L.P.",805-2486852884,"","Guernsey","N","Y"
1989347,247317,133275,"ALCENTRA STRUCTURED CREDIT OPPORTUNITIES FUND IV (DELAWARE) L.P.",805-3774577065,"Delaware","United States","N","Y"
1989347,247317,133260,"ALCENTRA STRUCTURED CREDIT OPPORTUNITIES FUND IV (MASTER FUND) L.P.",805-1384679801,"","Guernsey","N","Y"
1989347,247317,133276,"ASCOF IV BLOCKER L.P.",805-8408638784,"","Guernsey","N","Y"
1989347,433609,149816,"ALCENTRA STRUCTURED CREDIT OPPORTUNITIES FUND V (DELAWARE) L.P.",805-5859605227,"Delaware","United States","N","Y"
1989347,433609,149818,"ALCENTRA STRUCTURED CREDIT OPPORTUNITIES FUND V (USD) L.P.",805-4301286403,"","Guernsey","N","Y"
1989347,433609,149817,"ALCENTRA STRUCTURED CREDIT OPPORTUNITIES FUND V (MASTER FUND) L.P.",805-7324384010,"","Guernsey","N","Y"
1993620,377760,151488,"GGK CAPITAL OFFSHORE, LTD",805-6019277096,"","Cayman Islands","N","Y"
1993620,426053,148044,"17TH STREET CAPITAL, LP",805-6954640577,"Delaware","United States","N","Y"
1993620,377760,145911,"GGK CAPITAL, LP",805-5611208108,"Delaware","United States","N","Y"
1993620,65627,135256,"THEBES PARTNERS OFFSHORE, LTD",805-1388968709,"","Cayman Islands","N","Y"
1993620,193798,126107,"LUGARD ROAD CAPITAL OFFSHORE, LTD.",805-7633817903,"","Cayman Islands","N","Y"
1993620,179151,126138,"LUXOR CAPITAL PARTNERS OFFSHORE LIQUIDATING SPV, LTD.",805-3548413058,"","Cayman Islands","N","Y"
1993620,180712,135333,"QENA CAPITAL PARTNERS OFFSHORE, LTD.",805-4813437260,"","Cayman Islands","Y","N"
1993620,268356,135797,"WHITLOW PARTNERS OFFSHORE, SPC - SERIES A",805-2534571217,"","Cayman Islands","Y","N"
1993620,268356,135798,"WHITLOW PARTNERS, LP - SERIES A",805-6307931620,"Delaware","United States","Y","N"
1993620,377878,145923,"HNG HOSPITALITY OFFSHORE, LP",805-2167487949,"","Cayman Islands","N","Y"
1993620,249387,133677,"LRC VICTORIA OFFSHORE, LP",805-9565664765,"","Cayman Islands","N","Y"
1993620,193798,122240,"LUGARD ROAD CAPITAL, LP",805-9207414051,"Delaware","United States","N","Y"
1993620,31855,5807,"LUXOR CAPITAL PARTNERS OFFSHORE, LTD.",805-1220716589,"","Cayman Islands","N","Y"
1993620,65627,13408,"THEBES PARTNERS, LP",805-9992552198,"Delaware","United States","N","Y"
1993620,180712,118426,"QENA CAPITAL PARTNERS, LP",805-2492495289,"Delaware","United States","Y","N"
1993646,48086,8876,"WCP REAL ESTATE FUND III(BL), LLC",805-5949024786,"Delaware","United States","Y","N"
1986570,308655,142340,"CAA-WCP ENHANCED LOAN FUND I L.P.",805-2213497133,"Delaware","United States","N","Y"
1984972,178849,134617,"MOORE ASSET BACKED FUND, LP",805-1506980222,"Delaware","United States","N","Y"
1986666,247280,146087,"SEPIO CAPITAL PARTNERS, LP",805-6969990015,"Delaware","United States","N","Y"
1986666,247280,146086,"SEPIO CAPITAL PARTNERS OFFSHORE, LTD.",805-3527344119,"","Cayman Islands","N","Y"
1986602,432002,149770,"WILSHIRE BRIDGEWATER MANAGED ALPHA FUND LIMITED",805-2012191580,"","Cayman Islands","N","Y"
1986602,372404,145333,"WM ALTERNATIVES WNT TREND FUND LLC",805-8270223960,"Delaware","United States","N","Y"
1986602,372404,145334,"WM ALTERNATIVES WNT TREND FUND LIMITED",805-4458515700,"","Cayman Islands","N","Y"
1986602,432002,149771,"WILSHIRE BRIDGEWATER MANAGED ALPHA (IRELAND) FUND",805-5318741458,"","Ireland","N","Y"
1986036,456032,151019,"LSP MEMBERS FUND V FEEDER, L.P.",805-4244172352,"Delaware","United States","N","Y"
1986036,456032,151020,"LS POWER FUND V FEEDER 1, L.P.",805-6897578904,"Delaware","United States","N","Y"
1986036,456032,151021,"LS POWER FUND V FEEDER 2, L.P.",805-2969330526,"Delaware","United States","N","Y"
1986036,456032,151022,"LS POWER FUND V FEEDER 1A, L.P.",805-9787914591,"Delaware","United States","N","Y"
1986036,319912,143397,"LSP MEMBERS FUND V FEEDER, L.P.",805-4244172352,"Delaware","United States","N","Y"
1986036,285275,137877,"LS POWER FUND IV FEEDER 2, L.P.",805-4140318881,"Delaware","United States","N","Y"
1986036,285275,137878,"LSP MEMBERS FUND IV FEEDER, L.P.",805-9206927770,"Delaware","United States","N","Y"
1986036,285275,137876,"LS POWER FUND IV FEEDER 1, L.P.",805-6229960689,"Delaware","United States","N","Y"
1986036,199589,123283,"LSP MEMBERS FUND IV FEEDER, L.P.",805-9206927770,"Delaware","United States","N","Y"
1986036,61967,12580,"LS POWER FUND III FEEDER 1, L.P.",805-9264382145,"Delaware","United States","N","Y"
1986036,61967,12584,"LS POWER FUND III FEEDER 2, L.P.",805-2428063545,"Delaware","United States","N","Y"
1986036,61967,12586,"LS POWER FUND III FEEDER 3, L.P.",805-5290127221,"Delaware","United States","N","Y"
1986036,61967,12587,"LSP MEMBERS FUND III FEEDER, L.P.",805-2473484139,"Delaware","United States","N","Y"
1986036,199589,123281,"LS POWER FUND IV FEEDER 2, L.P.",805-4140318881,"Delaware","United States","N","Y"
1986036,61967,126441,"LS POWER FUND III FEEDER 2B, L.P.",805-1896464365,"Delaware","United States","N","Y"
1986036,199589,123280,"LS POWER FUND IV FEEDER 1, L.P.",805-6229960689,"Delaware","United States","N","Y"
1986036,319912,143395,"LS POWER FUND V FEEDER 1, L.P.",805-6897578904,"Delaware","United States","N","Y"
1986036,319912,143396,"LS POWER FUND V FEEDER 2, L.P.",805-2969330526,"Delaware","United States","N","Y"
1986036,199589,145384,"LS POWER FUND IV FEEDER II AIV, L.P.",805-9976573340,"Delaware","United States","N","Y"
1986036,319912,145386,"LS POWER FUND V FEEDER 1A, L.P.",805-9787914591,"Delaware","United States","N","Y"
1985595,252033,133987,"MSD PRIVATE CREDIT OPPORTUNITY FUND 2, L.P.",805-5709140785,"Delaware","United States","N","Y"
1985595,328031,142864,"MSD SPECIAL INVESTMENTS FUND (CAYMAN) II, L.P.",805-4870535180,"","Cayman Islands","N","Y"
1985595,328011,142862,"MSD REAL ESTATE CREDIT OPPORTUNITY FUND II-C, L.P.",805-2389610966,"Delaware","United States","N","Y"
1985595,328011,142863,"MSD REAL ESTATE CREDIT OPPORTUNITY FUND II-C1, L.P.",805-9612100642,"Delaware","United States","N","Y"
1985595,232276,139795,"MSD REAL ESTATE CREDIT OPPORTUNITY FUND-C, L.P.",805-7056106143,"Delaware","United States","N","Y"
1985595,432962,149796,"BDT & MSD PCOF CO-INVESTMENT B FEEDER FUND, L.P.",805-2933044780,"Delaware","United States","N","Y"
1985595,432962,149809,"BDT & MSD PCOF CO-INVESTMENT B-1 FEEDER FUND, L.P.",805-3174674859,"Delaware","United States","N","Y"
1985595,252033,133988,"MSD PRIVATE CREDIT OPPORTUNITY FUND (CAYMAN) 2, L.P.",805-1690692888,"","Cayman Islands","N","Y"
1985595,247391,133287,"MSD SPECIAL INVESTMENTS FUND (CAYMAN), L.P.",805-2815133467,"","Cayman Islands","N","Y"
1985595,190771,120965,"MSD PRIVATE CREDIT OPPORTUNITY FUND, L.P.",805-7707335395,"Delaware","United States","N","Y"
1985595,289870,139713,"MSD AQUA PARTNERS, L.P.",805-5541237060,"Delaware","United States","N","Y"
1985595,190771,120966,"MSD PRIVATE CREDIT OPPORTUNITY FUND (CAYMAN), L.P.",805-2567573851,"","Cayman Islands","N","Y"
1985595,190775,120969,"MSD PRIVATE CREDIT OPPORTUNITY FUND II, L.P.",805-4450948219,"Delaware","United States","N","Y"
1985595,14975,3135,"MSD CREDIT OPPORTUNITY FUND, L.P.",805-1528957798,"Delaware","United States","N","Y"
1985595,183769,123733,"MSD SPORTS PARTNERS (CAYMAN) TRUST",805-3743864832,"","Cayman Islands","N","Y"
1985595,202401,123629,"MSD RING PARTNERS II, LLC",805-1245352237,"Delaware","United States","N","Y"
1986409,55555,10958,"ENDURANT HEALTH OFFSHORE FUND LTD",805-1493120947,"","Cayman Islands","N","Y"
1986409,55555,10957,"ENDURANT HEALTH FUND LP",805-8446720063,"Delaware","United States","N","Y"
1986715,248867,151010,"THE MIRI STRATEGIC EMERGING MARKETS OFFSHORE FUND, LTD.",805-2320737157,"","Cayman Islands","N","Y"
1986601,267077,135476,"BLUE OWL GP STAKES IV US INVESTORS LP",805-3596392124,"Delaware","United States","N","Y"
