"FilingID","ReferenceID","SubreferenceID","Name of General Partner, etc."
1978215,366322,146276,"PRETIUM RESIDENTIAL CREDIT ANNEX FUND GP, LP"
1978215,366322,144558,"PRETIUM RESIDENTIAL CREDIT ANNEX FUND GP, LP"
1978215,366322,144559,"PRETIUM RESIDENTIAL CREDIT ANNEX FUND GP, LP"
1978215,252105,133993,"PRETIUM RESIDENTIAL CREDIT FUND II GP, LP"
1978204,229992,130493,"PRETIUM STRUCTURED CREDIT OPPORTUNITIES FUND GP, LP"
1978204,229992,130494,"PRETIUM STRUCTURED CREDIT OPPORTUNITIES FUND GP, LP"
1978204,5573,121973,"VALCOUR OPPORTUNITIES ASSOCIATES I LLC"
1978204,5573,121974,"INDERJIT, SINGH, SCOTT APPLEBY"
1978204,310220,146417,"PRETIUM STRUCTURED CREDIT OPPORTUNITIES FUND II GP, LP"
1978204,357036,146406,"PRETIUM LEGAL OPPORTUNITIES FUND GP, LLC"
1999775,318739,145276,"SELBY LANE VENTURE CAPITAL GP, LLC"
1999775,318740,145275,"SELBY LANE PRIVATE EQUITY GP, LLC"
2003152,419495,146798,"EDWARD TOLSON"
2003152,419495,146799,"KBIT MANAGEMENT LTD."
2003152,419495,146798,"LAURA MCGEEVER"
2003152,419495,146798,"MILES PERRYMAN"
2003258,487850,153282,"GLIDE PLATFORM, LLC"
2003258,487838,153280,"LEON CAPITAL MANAGEMENT, LLC"
2003258,487856,153284,"GLIDE PLATFORM, LLC"
2003258,487847,153281,"GLIDE PLATFORM, LLC"
2003258,487855,153283,"GLIDE PLATFORM, LLC"
2003546,280371,144398,"ERIC FORTIER"
2003546,280371,144398,"JENNIFER COLLINS"
2003546,280371,144398,"SIMON PALMER"
2006359,277703,136629,"BLOCKCHAIN COINVESTORS FUND MANAGER, LLC"
2006359,277703,136630,"MATTHEW LE MERLE"
2006359,277703,136630,"ALISON DAVIS"
2006359,417472,146572,"BLOCKCHAIN COINVESTORS GROWTH FUND MANAGER LLC"
2006359,417472,146573,"BLOCKCHAIN COINVESTORS GROWTH FUND MANAGER LLC"
2006431,249485,133691,"STABLE ASSET MANAGEMENT INVESTMENTS, LTD."
2006431,249485,133690,"MARK VICTOR MURRAY"
2006431,249485,133690,"DENISE K. ARCHER"
2006431,249489,133787,"VICTOR MURRAY"
2006431,249489,133787,"DENISE K. ARCHER"
2006431,249489,133787,"ERIK SERRANO BERNTSEN"
2006431,249489,133788,"ERIK SERRANO BERNTSEN"
2006431,249489,133788,"DENISE K. ARCHER"
2006431,249489,133788,"VICTOR MURRAY"
2006431,476812,151364,"MARK VICTOR MURRAY"
2006431,476812,151365,"MARK VICTOR MURRAY"
2006431,476812,151364,"ERIK SERRANO BERNTSEN"
2006431,476812,151365,"ERIK SERRANO BERNTSEN"
2006431,476812,151364,"DENISE K. ARCHER"
2006431,476812,151365,"DENISE K. ARCHER"
2006431,305824,139856,"VICTOR MURRAY"
2006431,305824,139856,"DENISE K. ARCHER"
2006431,305824,139856,"ERIK SERRANO BERNTSEN"
2006431,249485,133690,"ERIK SERRANO BERNTSEN"
1985333,454234,150933,"WARBURG PINCUS (CAYMAN) JOVIAN GP, L.P."
1985333,372937,150947,"WP DYNASTY HOLDINGS I GP, L.P."
1985333,452303,150886,"WARBURG PINCUS (CAYMAN) CAPITAL SOLUTIONS FOUNDERS FUND GP, L.P."
1985333,454256,150943,"WARBURG PINCUS (CAYMAN) JOVIAN GP, L.P."
1985333,372937,150948,"WP DYNASTY HOLDINGS I GP, L.P."
1985333,237651,131801,"WARBURG PINCUS (CAYMAN) GLOBAL GROWTH GP, L.P."
1985333,188378,120591,"WARBURG PINCUS (CAYMAN) XII, L.P."
1985333,188378,120585,"WARBURG PINCUS (CAYMAN) XII, L.P."
1985333,71308,19372,"WARBURG PINCUS ENERGY ADMINISTRATIVE LLC"
1985333,4234,1473,"CONTROL PERSONS LISTED ON SCHEDULE A AS MANAGERS (EXCLUDING HARSHA MARTI)"
1985333,200736,123420,"WARBURG PINCUS (CAYMAN) FINANCIAL SECTOR GP, L.P."
1985333,173380,117155,"WARBURG PINCUS (CAYMAN) XII GP LLC"
1985333,173373,117144,"WARBURG PINCUS (CAYMAN) XII GP LLC"
1985333,237651,131802,"WARBURG PINCUS (CAYMAN) GLOBAL GROWTH GP, L.P."
1985333,237699,131816,"WARBURG PINCUS (CAYMAN) GLOBAL GROWTH GP, L.P."
1985333,71308,19371,"WARBURG PINCUS ENERGY ADMINISTRATIVE LLC"
1985333,287805,139874,"WARBURG PINCUS ASIA REAL ESTATE GP, LLC"
1985333,173373,120621,"WARBURG PINCUS (CAYMAN) XII, L.P."
1985333,188378,120588,"WARBURG PINCUS (CAYMAN) XII, L.P."
1985333,188428,120610,"WARBURG PINCUS (CAYMAN) XII, L.P."
1985333,320378,142786,"WARBURG PINCUS GLOBAL GROWTH 14 (E&P) GP, L.P."
1985333,320378,142787,"WARBURG PINCUS GLOBAL GROWTH 14 (E&P) GP, L.P."
1985333,320378,142788,"WARBURG PINCUS GLOBAL GROWTH 14 (E&P) GP, L.P."
