"FilingID","ReferenceID","SubreferenceID","Filing/Relying Adviser"
1996816,77298,119933,"VEPF MANAGEMENT, L.P."
1996816,77298,119932,"VEPF MANAGEMENT, L.P."
1996816,185313,120452,"VEPF MANAGEMENT, L.P."
1996816,305906,139844,"VEPF MANAGEMENT, L.P."
1996816,305906,139845,"VEPF MANAGEMENT, L.P."
2005560,23102,4365,"ALPHADYNE ASSET MANAGEMENT (UK) LLP"
2005560,22554,4303,"ALPHADYNE ASSET MANAGEMENT (UK) LLP"
2005560,23034,4363,"ALPHADYNE ASSET MANAGEMENT (UK) LLP"
2005560,23102,4365,"ALPHADYNE ASSET MANAGEMENT HOLDINGS LIMITED"
2005560,22554,4303,"ALPHADYNE ASSET MANAGEMENT HOLDINGS LIMITED"
2005560,23034,4363,"ALPHADYNE ASSET MANAGEMENT HOLDINGS LIMITED"
2002609,478681,151647,"RCP ADVISORS 3, LLC"
2002609,236343,152013,"RCP ADVISORS 3, LLC"
2002609,291713,139023,"RCP ADVISORS 3, LLC"
2002609,358398,143554,"RCP ADVISORS 3, LLC"
2002609,379456,146191,"RCP ADVISORS 3, LLC"
2002609,397129,146293,"RCP ADVISORS 3, LLC"
2002609,289884,138324,"RCP ADVISORS 3, LLC"
2002609,253414,134189,"RCP ADVISORS 3, LLC"
2002609,253414,134190,"RCP ADVISORS 3, LLC"
2002609,236343,131593,"RCP ADVISORS 3, LLC"
2002609,236343,131594,"RCP ADVISORS 3, LLC"
2002609,218778,126815,"RCP ADVISORS 3, LLC"
2002609,218778,126816,"RCP ADVISORS 3, LLC"
2002609,193109,122043,"RCP ADVISORS 3, LLC"
2002609,193109,122044,"RCP ADVISORS 3, LLC"
2002609,218974,126840,"RCP ADVISORS 3, LLC"
2002609,195115,127264,"RCP ADVISORS 3, LLC"
2002609,218974,126841,"RCP ADVISORS 3, LLC"
2002609,193112,122047,"RCP ADVISORS 3, LLC"
2002609,195112,122484,"RCP ADVISORS 3, LLC"
2002609,195112,122485,"RCP ADVISORS 3, LLC"
2002609,193105,122040,"RCP ADVISORS 3, LLC"
2002609,193110,122045,"RCP ADVISORS 3, LLC"
2002609,193106,122041,"RCP ADVISORS 3, LLC"
2002609,195115,122487,"RCP ADVISORS 3, LLC"
2002609,193104,122039,"RCP ADVISORS 3, LLC"
2002609,236308,134973,"RCP ADVISORS 3, LLC"
2002609,291471,139001,"RCP ADVISORS 3, LLC"
2002609,478940,151668,"RCP ADVISORS 3, LLC"
2004153,489955,153734,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,247339,133274,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,282501,137379,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,212384,139745,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,247338,139748,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,309164,140998,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,314302,141959,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,314302,141960,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,314302,141961,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,314295,141958,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,314295,141955,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,314295,141956,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,212384,139746,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,212384,139747,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,247339,139749,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,247339,139750,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,280063,137089,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,280060,137087,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,50115,9313,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,50115,14150,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,50115,9314,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,204862,124086,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,247338,133269,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,247338,133270,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,247338,133271,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,247338,133272,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,280060,137088,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,267869,135723,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,267869,135724,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,247339,134759,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,66671,13641,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,66671,13642,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,243734,132466,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,212384,125823,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,177670,124236,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,204862,124085,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,190394,122755,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,190394,122756,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,66671,14152,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,193350,122078,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,18077,14146,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,18077,4467,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,18077,14147,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,18077,3571,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,212384,125822,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,18077,3572,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,54251,118284,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,54251,14148,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,54251,10651,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,54251,14149,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,54251,10652,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,177670,117889,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,177670,122076,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,179956,118285,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,179956,118286,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,179956,118287,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,66669,113566,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,66669,13638,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,66669,14151,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,66669,13639,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,190394,122754,"VÄRDE PARTNERS EUROPE LIMITED"
2004153,54251,10653,"VÄRDE PARTNERS EUROPE LIMITED"
