"FilingID","ReferenceID","SubreferenceID","Foreign Regulatory Authority"
1992359,317568,142501,"Japan - Financial Services Agency"
1992359,317568,142501,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1995861,305845,142286,"Cayman Islands - Cayman Islands Monetary Authority"
1995861,319802,142676,"Cayman Islands - Cayman Islands Monetary Authority"
1995861,480639,151977,"Cayman Islands - Cayman Islands Monetary Authority"
1996285,478951,151670,"Cayman Islands - Cayman Islands Monetary Authority"
1996455,414129,146557,"Other - CAYMAN ISLANDS SPONSOR AUTHORITY"
1996455,398507,146515,"Cayman Islands - Cayman Islands Monetary Authority"
1996455,246275,139670,"Cayman Islands - Cayman Islands Monetary Authority"
1996455,246383,139513,"Cayman Islands - Cayman Islands Monetary Authority"
1996455,482042,152080,"Ireland -  Central Bank of Ireland"
1996242,320538,142827,"Cayman Islands - Cayman Islands Monetary Authority"
1993528,54421,10713,"Cayman Islands - Cayman Islands Monetary Authority"
1997283,414129,146557,"Other - CAYMAN ISLANDS SPONSOR AUTHORITY"
1997283,398507,146515,"Cayman Islands - Cayman Islands Monetary Authority"
1997283,246275,139670,"Cayman Islands - Cayman Islands Monetary Authority"
1997283,246383,139513,"Cayman Islands - Cayman Islands Monetary Authority"
1997283,482042,152080,"Ireland -  Central Bank of Ireland"
1997423,481128,152040,"Cayman Islands - Cayman Islands Monetary Authority"
1997423,481274,152044,"Cayman Islands - Cayman Islands Monetary Authority"
1988693,480693,151996,"Cayman Islands - Cayman Islands Monetary Authority"
1988693,480719,152003,"Cayman Islands - Cayman Islands Monetary Authority"
1988693,480690,151995,"Cayman Islands - Cayman Islands Monetary Authority"
1988693,480697,151997,"Cayman Islands - Cayman Islands Monetary Authority"
1988693,480698,151999,"Cayman Islands - Cayman Islands Monetary Authority"
1988693,398517,146559,"Cayman Islands - Cayman Islands Monetary Authority"
1988693,255509,134444,"Cayman Islands - Cayman Islands Monetary Authority"
1988693,255509,139783,"Cayman Islands - Cayman Islands Monetary Authority"
1988693,304577,139790,"Cayman Islands - Cayman Islands Monetary Authority"
1988693,255509,139784,"Cayman Islands - Cayman Islands Monetary Authority"
1988693,361660,143842,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1988693,361679,143844,"Cayman Islands - Cayman Islands Monetary Authority"
1988693,255509,143989,"Cayman Islands - Cayman Islands Monetary Authority"
1988693,398460,146551,"Cayman Islands - Cayman Islands Monetary Authority"
1988693,398501,146552,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1996038,186368,126952,"Cayman Islands - Cayman Islands Monetary Authority"
1995896,481128,152040,"Cayman Islands - Cayman Islands Monetary Authority"
1995896,481274,152044,"Cayman Islands - Cayman Islands Monetary Authority"
1995395,242949,132305,"Cayman Islands - Cayman Islands Monetary Authority"
1995395,169829,122880,"Cayman Islands - Cayman Islands Monetary Authority"
